,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,RNSPIN,Q3 Financials,1,0,0,q3 financials
1,2019-04-23,RNSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-04-21,RNSPIN,"2 years will require to reconstruct buildings, import & install machine",0,0,0,"2 years will require to reconstruct buildings, import  install machine"
4,2019-04-10,RNSPIN,Massive fire incident in the factory at Comilla EPZ,0,1,0,massive fire incident in the factory at comilla epz
5,2019-01-30,RNSPIN,Q2 Financials,0,0,0,q2 financials
6,2019-01-23,RNSPIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
7,2019-01-16,RNSPIN,Dividend Disbursement,0,0,0,dividend disbursement
8,2018-12-20,RNSPIN,Venue Change of the AGM,1,0,0,venue change of the agm
9,2018-11-20,RNSPIN,Resumption after record date,0,0,0,resumption after record date
10,2018-11-19,RNSPIN,Suspension for Record date,0,0,0,suspension for record date
11,2018-11-15,RNSPIN,Spot News,1,0,0,spot news
12,2018-11-13,RNSPIN,Q1 Financials,0,0,1,q1 financials
13,2018-11-07,RNSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
14,2018-10-28,RNSPIN,Price Limit Open,0,1,1,price limit open
15,2018-10-28,RNSPIN,Dividend Declaration,0,1,1,dividend declaration
16,2018-10-17,RNSPIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-05-03,RNSPIN,Q3 Financials,0,0,0,q3 financials
18,2018-04-24,RNSPIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
19,2018-01-29,RNSPIN,Q2 Financials,0,0,0,q2 financials
20,2018-01-23,RNSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2017-11-15,RNSPIN,Q1 Financials,0,0,0,q1 financials
22,2017-11-09,RNSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
