,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,RSRMSTEEL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
1,2019-01-30,RSRMSTEEL,Q2 Financials,1,0,0,q2 financials
2,2019-01-23,RSRMSTEEL,New date of Board Meeting schedule under LR 16(1),0,1,0,new date of board meeting schedule under lr 161
3,2019-01-20,RSRMSTEEL,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
4,2019-01-10,RSRMSTEEL,Postponement of Board Meeting schedule under LR 16(1),0,0,0,postponement of board meeting schedule under lr 161
5,2019-01-08,RSRMSTEEL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
6,2018-12-23,RSRMSTEEL,Approval of Cash Dividend excluding Sponsors Directors in the AGM,1,0,0,approval of cash dividend excluding sponsors directors in the agm
7,2018-11-22,RSRMSTEEL,Resumption after record date,0,0,0,resumption after record date
8,2018-11-20,RSRMSTEEL,Suspension for Record date,1,0,0,suspension for record date
9,2018-11-19,RSRMSTEEL,Credit Rating Result,0,1,0,credit rating result
10,2018-11-18,RSRMSTEEL,Spot News,1,0,1,spot news
11,2018-11-15,RSRMSTEEL,Q1 Financials,0,0,0,q1 financials
12,2018-11-11,RSRMSTEEL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
13,2018-10-29,RSRMSTEEL,Price Limit Open,0,1,0,price limit open
15,2018-10-29,RSRMSTEEL,Dividend Declaration,0,1,0,dividend declaration
16,2018-10-18,RSRMSTEEL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-06-26,RSRMSTEEL,Query Response,0,1,1,query response
18,2018-04-25,RSRMSTEEL,Q3 Financials,0,1,0,q3 financials
19,2018-04-18,RSRMSTEEL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
20,2018-02-05,RSRMSTEEL,Confirmation of share transfer by a Sponsor Director,0,1,1,confirmation of share transfer by a sponsor director
21,2018-01-31,RSRMSTEEL,Q2 Financials,0,0,0,q2 financials
22,2018-01-30,RSRMSTEEL,Declaration of share transfer by a Sponsor Director,1,0,0,declaration of share transfer by a sponsor director
23,2018-01-25,RSRMSTEEL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
24,2018-01-24,RSRMSTEEL,Resumption after record date,0,0,0,resumption after record date
25,2018-01-23,RSRMSTEEL,Suspension for Record Date,0,0,0,suspension for record date
26,2018-01-21,RSRMSTEEL,Spot for EGM,0,0,0,spot for egm
