,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,RUPALIBANK,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
1,2018-10-30,RUPALIBANK,Q3 Financials,1,0,0,q3 financials
2,2018-10-23,RUPALIBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2018-09-10,RUPALIBANK,Credit Rating Result,0,1,0,credit rating result
4,2018-07-25,RUPALIBANK,Dividend Disbursement,0,0,0,dividend disbursement
5,2018-07-24,RUPALIBANK,Q2 Financials,0,0,0,q2 financials
6,2018-07-17,RUPALIBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
7,2018-05-24,RUPALIBANK,Resumption after record date,0,0,0,resumption after record date
8,2018-05-23,RUPALIBANK,Suspension for Record Date,0,0,0,suspension for record date
10,2018-05-22,RUPALIBANK,BSEC consent for issuing 7 years Subordinated Bond,0,0,0,bsec consent for issuing 7 years subordinated bond
11,2018-05-21,RUPALIBANK,Spot News,0,0,0,spot news
12,2018-05-15,RUPALIBANK,Q1 Financials,0,0,0,q1 financials
13,2018-05-08,RUPALIBANK,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
14,2018-05-03,RUPALIBANK,Price Limit Open,0,0,0,price limit open
16,2018-05-03,RUPALIBANK,Dividend Declaration,0,0,0,dividend declaration
17,2018-04-22,RUPALIBANK,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-01-01,RUPALIBANK,Increasing the amount of issuing 7 years Subordinated Bond,0,0,1,increasing the amount of issuing 7 years subordinated bond
19,2017-10-30,RUPALIBANK,Q3 Financials,0,0,0,q3 financials
20,2017-10-23,RUPALIBANK,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
21,2017-10-19,RUPALIBANK,Issuance of 7 years Subordinated Bond,1,0,0,issuance of 7 years subordinated bond
22,2017-09-18,RUPALIBANK,Query Response,1,0,1,query response
23,2017-09-11,RUPALIBANK,Credit Rating Result,0,0,1,credit rating result
24,2017-08-16,RUPALIBANK,Query Response,0,1,0,query response
25,2017-07-30,RUPALIBANK,Q2 Financials,0,1,1,q2 financials
26,2017-07-23,RUPALIBANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
27,2017-07-10,RUPALIBANK,Dividend Disbursement,1,0,0,dividend disbursement
28,2017-07-04,RUPALIBANK,Query Response,0,0,1,query response
29,2017-05-21,RUPALIBANK,Resumption after Record Date,0,0,1,resumption after record date
