,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,RUPALIINS,Q1 Financials,0,0,0,q1 financials
1,2019-04-30,RUPALIINS,Price Limit Open,0,0,0,price limit open
3,2019-04-30,RUPALIINS,Dividend Declaration,0,0,0,dividend declaration
4,2019-04-24,RUPALIINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-04-23,RUPALIINS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
6,2019-01-27,RUPALIINS,Query Response,0,0,0,query response
7,2018-11-18,RUPALIINS,Credit Rating Result,1,0,1,credit rating result
8,2018-10-30,RUPALIINS,Q3 Financials,0,0,0,q3 financials
9,2018-10-24,RUPALIINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
10,2018-07-30,RUPALIINS,Q2 Financials,1,1,1,q2 financials
11,2018-07-25,RUPALIINS,Dividend Disbursement,1,0,0,dividend disbursement
12,2018-07-24,RUPALIINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
13,2018-07-12,RUPALIINS,Dividend Disbursement,0,0,0,dividend disbursement
14,2018-05-24,RUPALIINS,Resumption after record date,0,0,0,resumption after record date
15,2018-05-23,RUPALIINS,Suspension for Record Date,1,0,0,suspension for record date
16,2018-05-21,RUPALIINS,Spot News,0,1,1,spot news
17,2018-04-26,RUPALIINS,Q1 Financials,0,0,0,q1 financials
18,2018-04-26,RUPALIINS,Price Limit Open,0,0,0,price limit open
20,2018-04-26,RUPALIINS,Dividend Declaration,0,0,0,dividend declaration
21,2018-04-22,RUPALIINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
22,2018-04-18,RUPALIINS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
23,2017-11-16,RUPALIINS,Credit Rating Result,0,0,0,credit rating result
24,2017-10-26,RUPALIINS,Q3 Financials,1,0,0,q3 financials
