,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-01-22,RUPALILIFE,Query Response,1,1,0,query response
1,2018-12-18,RUPALILIFE,Query Response,1,0,0,query response
2,2018-11-28,RUPALILIFE,Query Response,1,1,0,query response
3,2018-11-20,RUPALILIFE,Dividend Disbursement,0,0,0,dividend disbursement
4,2018-10-23,RUPALILIFE,Q3 Financials,1,0,1,q3 financials
5,2018-10-16,RUPALILIFE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
6,2018-10-08,RUPALILIFE,Updating information,1,0,0,updating information
7,2018-09-26,RUPALILIFE,Resumption after Record Date,0,1,0,resumption after record date
8,2018-09-25,RUPALILIFE,Suspension for Record Date,1,0,1,suspension for record date
9,2018-09-23,RUPALILIFE,Spot News,0,0,1,spot news
10,2018-09-04,RUPALILIFE,Q2 Financials,0,0,0,q2 financials
11,2018-09-04,RUPALILIFE,Q1 Financials,0,0,0,q1 financials
12,2018-09-04,RUPALILIFE,Price Limit Open,0,0,0,price limit open
13,2018-09-04,RUPALILIFE,Dividend Declaration,0,0,0,dividend declaration
14,2018-08-27,RUPALILIFE,Board Meeting schedules under LR 16(1),1,0,0,board meeting schedules under lr 161
15,2018-08-26,RUPALILIFE,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
16,2018-04-24,RUPALILIFE,Query Response,0,1,0,query response
17,2018-01-03,RUPALILIFE,Query Response,1,0,0,query response
18,2017-10-30,RUPALILIFE,Dividend Disbursement,0,0,0,dividend disbursement
19,2017-10-26,RUPALILIFE,Q3 Financials,0,0,0,q3 financials
20,2017-10-19,RUPALILIFE,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
21,2017-10-19,RUPALILIFE,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
22,2017-10-17,RUPALILIFE,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
23,2017-10-08,RUPALILIFE,Elected Chairman and Vice-Chairman,0,0,1,elected chairman and vice-chairman
24,2017-08-29,RUPALILIFE,Information for Margin Account Holders,1,0,1,information for margin account holders
25,2017-08-24,RUPALILIFE,Resumption after Record Date,0,0,0,resumption after record date
26,2017-08-23,RUPALILIFE,Suspension for Record Date,0,0,0,suspension for record date
27,2017-08-21,RUPALILIFE,Spot News,0,0,0,spot news
28,2017-07-20,RUPALILIFE,Q2 Financials,0,0,0,q2 financials
29,2017-07-20,RUPALILIFE,Q1 Financials,0,0,0,q1 financials
30,2017-07-20,RUPALILIFE,Price Limit Open,0,0,0,price limit open
31,2017-07-20,RUPALILIFE,Dividend Declaration,0,0,0,dividend declaration
32,2017-07-13,RUPALILIFE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
33,2017-07-12,RUPALILIFE,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
34,2017-03-23,RUPALILIFE,Directorship Purchase of Sonar Bangla Capital Management Ltd.,1,0,0,directorship purchase of sonar bangla capital management ltd.
35,2016-10-30,RUPALILIFE,Q3 Financials,0,1,0,q3 financials
36,2016-10-24,RUPALILIFE,Dividend Disbursement,0,1,0,dividend disbursement
37,2016-10-20,RUPALILIFE,Board Meeting,0,0,0,board meeting
38,2016-09-29,RUPALILIFE,Elected Chairman and Vice Chairman,0,0,0,elected chairman and vice chairman
39,2016-09-20,RUPALILIFE,Updating of information,1,0,0,updating of information
40,2016-08-23,RUPALILIFE,Confirmation of sale by a Sponsor,0,0,0,confirmation of sale by a sponsor
41,2016-08-22,RUPALILIFE,Suspension news for record date,0,0,0,suspension news for record date
42,2016-08-22,RUPALILIFE,Confirmation of sale by a Sponsor,0,0,0,confirmation of sale by a sponsor
43,2016-08-21,RUPALILIFE,Credit Rating Result,0,0,0,credit rating result
44,2016-08-18,RUPALILIFE,Spot for AGM,1,0,0,spot for agm
45,2016-08-17,RUPALILIFE,Declaration of sale by a Sponsor,0,1,0,declaration of sale by a sponsor
46,2016-08-14,RUPALILIFE,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
47,2016-07-31,RUPALILIFE,Q2 Financials,1,0,0,q2 financials
48,2016-07-31,RUPALILIFE,Q1 Financials,1,0,0,q1 financials
49,2016-07-31,RUPALILIFE,Price Limit Open,1,0,0,price limit open
50,2016-07-31,RUPALILIFE,Dividend Declaration,1,0,0,dividend declaration
51,2016-07-21,RUPALILIFE,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
