,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,SAIFPOWER,Q3 Financials,1,0,0,q3 financials
1,2019-04-23,SAIFPOWER,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-04-17,SAIFPOWER,Agreement signed between Powerpac Ports Ltd & Saif  Port Holdings Ltd,0,1,0,agreement signed between powerpac ports ltd  saif  port holdings ltd
3,2019-01-29,SAIFPOWER,Q2 Financials,0,0,0,q2 financials
4,2019-01-22,SAIFPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2019-01-15,SAIFPOWER,Dividend Disbursement,0,0,0,dividend disbursement
6,2018-12-27,SAIFPOWER,Credit Rating Result,0,0,0,credit rating result
8,2018-12-03,SAIFPOWER,Decision to invest in a Subsidiary Company,0,1,0,decision to invest in a subsidiary company
9,2018-11-15,SAIFPOWER,Resumption after Record Date,0,0,0,resumption after record date
10,2018-11-14,SAIFPOWER,Suspension for Record Date,0,0,0,suspension for record date
11,2018-11-14,SAIFPOWER,Q1 Financials,0,0,0,q1 financials
12,2018-11-12,SAIFPOWER,Spot News,1,0,0,spot news
13,2018-11-06,SAIFPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
14,2018-10-28,SAIFPOWER,Price Limit Open,0,0,1,price limit open
15,2018-10-28,SAIFPOWER,Dividend Declaration,0,0,1,dividend declaration
16,2018-10-18,SAIFPOWER,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-04-30,SAIFPOWER,Q3 Financials,0,0,0,q3 financials
18,2018-04-22,SAIFPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-01-29,SAIFPOWER,Q2 Financials,1,0,0,q2 financials
20,2018-01-24,SAIFPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2018-01-01,SAIFPOWER,Dividend Disbursement,0,0,1,dividend disbursement
22,2017-11-16,SAIFPOWER,Resumption after record date,0,0,0,resumption after record date
23,2017-11-15,SAIFPOWER,Suspension for Record Date,0,0,0,suspension for record date
24,2017-11-14,SAIFPOWER,Q1 Financials,0,0,0,q1 financials
25,2017-11-13,SAIFPOWER,Spot News,0,0,0,spot news
26,2017-11-08,SAIFPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-10-29,SAIFPOWER,Price Limit Open,0,0,1,price limit open
29,2017-10-29,SAIFPOWER,Dividend Declaration and Revision of Rights Issue Fund Utilization,0,0,1,dividend declaration and revision of rights issue fund utilization
30,2017-10-19,SAIFPOWER,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
31,2017-08-03,SAIFPOWER,Commencement of production of new Battery unit,0,0,0,commencement of production of new battery unit
32,2017-04-30,SAIFPOWER,Q3 Financials,1,0,1,q3 financials
33,2017-04-24,SAIFPOWER,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
34,2017-04-06,SAIFPOWER,Rights share Credited on BO Account,0,0,0,rights share credited on bo account
35,2017-02-06,SAIFPOWER,Suspension for Record Date,1,0,0,suspension for record date
36,2017-02-02,SAIFPOWER,Record date for Rights entitlement,0,0,0,record date for rights entitlement
37,2017-01-30,SAIFPOWER,Q2 Financials,1,0,0,q2 financials
38,2017-01-18,SAIFPOWER,Subscription period and Record date for Rights Issuance,1,0,0,subscription period and record date for rights issuance
39,2017-01-18,SAIFPOWER,BSEC Approval for issuance of Right Shares,1,0,0,bsec approval for issuance of right shares
40,2017-01-05,SAIFPOWER,Dividend Disbursement,1,0,0,dividend disbursement
41,2016-12-01,SAIFPOWER,Furnishing e-TIN Number and Information relating to Margin Loan,1,0,0,furnishing e-tin number and information relating to margin loan
42,2016-11-16,SAIFPOWER,Resumption after record date,0,0,0,resumption after record date
43,2016-11-15,SAIFPOWER,Suspension for record date,1,0,0,suspension for record date
44,2016-11-14,SAIFPOWER,Q1 Financials,0,1,0,q1 financials
45,2016-11-13,SAIFPOWER,Spot for AGM,0,0,1,spot for agm
46,2016-11-07,SAIFPOWER,Board Meeting,1,1,0,board meeting
47,2016-10-27,SAIFPOWER, Price Limit Open,0,0,0,price limit open
48,2016-10-27,SAIFPOWER,Dividend Declaration and Revising the rights offer,0,0,0,dividend declaration and revising the rights offer
49,2016-10-20,SAIFPOWER,Board Meeting,0,0,0,board meeting
