,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,SAIHAMCOT,Assets revaluation of the Company,0,1,0,assets revaluation of the company
1,2019-04-24,SAIHAMCOT,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
2,2019-03-04,SAIHAMCOT,Credit Rating Result,0,1,0,credit rating result
3,2019-01-31,SAIHAMCOT,Q2 Financials,0,0,0,q2 financials
4,2019-01-24,SAIHAMCOT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-16,SAIHAMCOT,Dividend Disbursement,0,0,0,dividend disbursement
6,2018-11-20,SAIHAMCOT,Resumption after record date,0,0,0,resumption after record date
7,2018-11-19,SAIHAMCOT,Suspension for Record date,0,0,0,suspension for record date
8,2018-11-15,SAIHAMCOT,Spot News,1,0,0,spot news
9,2018-11-15,SAIHAMCOT,Q1 Financials,1,0,0,q1 financials
10,2018-11-11,SAIHAMCOT,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
11,2018-10-29,SAIHAMCOT,Price Limit Open,1,1,1,price limit open
12,2018-10-29,SAIHAMCOT,Dividend Declaration,1,1,1,dividend declaration
13,2018-10-16,SAIHAMCOT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-04-26,SAIHAMCOT,Q3 Financials,0,0,0,q3 financials
15,2018-04-23,SAIHAMCOT,Confirmation of transfer by Sponsors Directors,0,0,0,confirmation of transfer by sponsors directors
16,2018-04-22,SAIHAMCOT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
17,2018-04-18,SAIHAMCOT,Confirmation of share transfer by Sponsors Directors,0,0,0,confirmation of share transfer by sponsors directors
18,2018-04-18,SAIHAMCOT,Declaration of transfer by Sponsors Directors,0,0,0,declaration of transfer by sponsors directors
19,2018-04-16,SAIHAMCOT,Declaration of transfer by Sponsors Directors,1,0,0,declaration of transfer by sponsors directors
20,2018-03-25,SAIHAMCOT,Credit Rating Result,0,0,0,credit rating result
21,2018-03-19,SAIHAMCOT,Declaration of transfer by a Sponsor Director,0,0,0,declaration of transfer by a sponsor director
22,2018-02-14,SAIHAMCOT,Confirmation of share transfer by a Sponsor Director,1,0,0,confirmation of share transfer by a sponsor director
23,2018-02-12,SAIHAMCOT,Declaration of share transfer by a Sponsor Director,0,0,1,declaration of share transfer by a sponsor director
24,2018-01-31,SAIHAMCOT,Q2 Financials,0,0,0,q2 financials
25,2018-01-23,SAIHAMCOT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
26,2018-01-14,SAIHAMCOT,Dividend Disbursement,0,0,1,dividend disbursement
27,2017-12-05,SAIHAMCOT,Purchase of an Office Space,0,0,0,purchase of an office space
28,2017-11-14,SAIHAMCOT,Resumption after record date,0,0,1,resumption after record date
29,2017-11-13,SAIHAMCOT,Q1 Financials,0,0,0,q1 financials
30,2017-11-13,SAIHAMCOT,Suspension for Record Date,0,0,0,suspension for record date
31,2017-11-09,SAIHAMCOT,Spot News,0,0,0,spot news
32,2017-11-08,SAIHAMCOT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
33,2017-10-24,SAIHAMCOT,Price Limit Open,1,1,0,price limit open
34,2017-10-24,SAIHAMCOT,Dividend Declaration,1,1,0,dividend declaration
35,2017-10-15,SAIHAMCOT,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
36,2017-07-17,SAIHAMCOT,Query Response,0,0,0,query response
37,2017-04-27,SAIHAMCOT,Q3 Financials,1,0,0,q3 financials
38,2017-04-24,SAIHAMCOT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
39,2017-02-23,SAIHAMCOT,Credit Rating Result,0,0,0,credit rating result
40,2017-02-20,SAIHAMCOT,Confirmation of transfer by a Sponsor Director,0,0,1,confirmation of transfer by a sponsor director
41,2017-01-30,SAIHAMCOT,Q2 Financials,0,1,0,q2 financials
42,2017-01-23,SAIHAMCOT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
43,2016-11-17,SAIHAMCOT,Resumption after record date,1,0,0,resumption after record date
44,2016-11-16,SAIHAMCOT,Suspension for record date,1,1,0,suspension for record date
45,2016-11-15,SAIHAMCOT,Q1 Financials,0,1,1,q1 financials
46,2016-11-14,SAIHAMCOT,Spot for AGM,0,0,1,spot for agm
47,2016-11-07,SAIHAMCOT,Board Meeting,1,1,0,board meeting
