,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
2,2019-04-29,SALAMCRST,Q3 Financials,0,0,0,q3 financials
3,2019-04-23,SALAMCRST,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
5,2019-02-11,SALAMCRST,Dividend Disbursement,1,0,1,dividend disbursement
7,2019-01-30,SALAMCRST,Q2 Financials,0,0,0,q2 financials
8,2019-01-23,SALAMCRST,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
9,2018-12-18,SALAMCRST,Credit Rating Result,0,0,1,credit rating result
10,2018-11-25,SALAMCRST,Resumption after record date,0,1,0,resumption after record date
11,2018-11-22,SALAMCRST,Suspension for Record date,0,0,0,suspension for record date
12,2018-11-19,SALAMCRST,Spot News,1,0,0,spot news
13,2018-11-11,SALAMCRST,Q1 Financials,0,0,0,q1 financials
14,2018-11-04,SALAMCRST,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
15,2018-10-28,SALAMCRST,Price Limit Open,0,0,1,price limit open
16,2018-10-28,SALAMCRST,Dividend Declaration,0,0,1,dividend declaration
17,2018-10-18,SALAMCRST,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
20,2018-04-30,SALAMCRST,Q3 Financials,0,0,0,q3 financials
21,2018-04-23,SALAMCRST,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
23,2018-02-04,SALAMCRST,Dividend Disbursement,0,1,0,dividend disbursement
25,2018-01-14,SALAMCRST,Q2 Financials,0,0,1,q2 financials
26,2018-01-09,SALAMCRST,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-12-10,SALAMCRST,Credit Rating Result,0,0,0,credit rating result
28,2017-11-14,SALAMCRST,Resumption after record date,0,0,1,resumption after record date
29,2017-11-13,SALAMCRST,Suspension for Record Date,1,0,0,suspension for record date
30,2017-11-09,SALAMCRST,Spot News,0,0,0,spot news
33,2017-10-25,SALAMCRST,Updating of information,0,0,0,updating of information
34,2017-10-25,SALAMCRST,Q1 Financials,0,0,0,q1 financials
35,2017-10-25,SALAMCRST,Price Limit Open,0,0,0,price limit open
37,2017-10-25,SALAMCRST,Dividend Declaration,0,0,0,dividend declaration
38,2017-10-15,SALAMCRST,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
39,2017-10-15,SALAMCRST,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
40,2017-09-12,SALAMCRST,Query Response,0,0,0,query response
41,2017-04-24,SALAMCRST,Q3 Financials (Additional information),1,1,1,q3 financials additional information
42,2017-04-23,SALAMCRST,Q3 Financials,0,1,1,q3 financials
43,2017-04-23,SALAMCRST,Q3 Financials,0,1,1,q3 financials
44,2017-04-16,SALAMCRST,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
45,2017-01-25,SALAMCRST,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
46,2017-01-08,SALAMCRST,Q2,0,1,1,q2
47,2017-01-02,SALAMCRST,Board Meeting,1,1,1,board meeting
48,2016-11-30,SALAMCRST,Credit Rating Result,1,1,0,credit rating result
49,2016-11-30,SALAMCRST,Credit Rating Result,1,1,0,credit rating result
50,2016-11-07,SALAMCRST,Resumption after record date,0,1,1,resumption after record date
51,2016-11-06,SALAMCRST,Suspension for record date,0,0,1,suspension for record date
52,2016-11-06,SALAMCRST,Q1 Financials,0,0,1,q1 financials
53,2016-11-02,SALAMCRST,Spot for AGM,1,0,0,spot for agm
54,2016-10-30,SALAMCRST,Board Meeting,0,1,1,board meeting
55,2016-10-02,SALAMCRST,Price Limit Open,0,0,0,price limit open
56,2016-10-02,SALAMCRST,Dividend Declaration,0,0,0,dividend declaration
57,2016-09-22,SALAMCRST,Board Meeting,0,0,0,board meeting
58,2016-08-28,SALAMCRST,Commercial operation of power plant,1,0,0,commercial operation of power plant
59,2016-04-28,SALAMCRST,Q2 Financials,0,0,0,q2 financials
60,2016-04-21,SALAMCRST,Board Meeting,0,0,0,board meeting
61,2016-04-07,SALAMCRST,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
62,2016-01-28,SALAMCRST,Resumption after Record date,0,0,0,resumption after record date
63,2016-01-27,SALAMCRST,Suspension for Record Date,0,0,0,suspension for record date
64,2016-01-25,SALAMCRST,Spot for AGM,0,0,0,spot for agm
65,2016-01-10,SALAMCRST,Furnishing 12 digit e-TIN,0,0,1,furnishing 12 digit e-tin
66,2016-01-10,SALAMCRST,Updating of information,0,0,1,updating of information
67,2016-01-10,SALAMCRST,Q1 Financials,0,0,1,q1 financials
68,2016-01-10,SALAMCRST,Price Limit Open,0,0,1,price limit open
69,2016-01-10,SALAMCRST,Dividend Declaration,0,0,1,dividend declaration
70,2016-01-03,SALAMCRST,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
