,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,SALVOCHEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-01-30,SALVOCHEM,Q2 Financials,0,0,0,q2 financials
2,2019-01-28,SALVOCHEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2019-01-16,SALVOCHEM,Dividend Disbursement,1,0,0,dividend disbursement
4,2018-12-19,SALVOCHEM,Credit Rating Result,0,0,0,credit rating result
5,2018-11-19,SALVOCHEM,New Date and Venue of the AGM,0,0,0,new date and venue of the agm
6,2018-11-19,SALVOCHEM,Resumption after record date,0,0,0,resumption after record date
7,2018-11-18,SALVOCHEM,Suspension for Record date,1,0,0,suspension for record date
8,2018-11-15,SALVOCHEM,Q1 Financials,0,0,0,q1 financials
9,2018-11-14,SALVOCHEM,Spot News,0,0,0,spot news
10,2018-11-13,SALVOCHEM,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
11,2018-11-12,SALVOCHEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-10-30,SALVOCHEM,Price Limit Open,1,1,0,price limit open
13,2018-10-30,SALVOCHEM,Dividend Declaration,1,1,0,dividend declaration
14,2018-10-23,SALVOCHEM,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
15,2018-08-09,SALVOCHEM,Installation and Commissioning of the Liquid Glucose Unit,1,0,0,installation and commissioning of the liquid glucose unit
16,2018-07-12,SALVOCHEM,Query Response,0,0,0,query response
17,2018-04-30,SALVOCHEM,Q3 Financials,1,0,0,q3 financials
18,2018-04-23,SALVOCHEM,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
20,2018-04-16,SALVOCHEM,"Restructuring the extended project to produce ""Liquid Glucose"" product",0,1,1,restructuring the extended project to produce liquid glucose product
21,2018-03-27,SALVOCHEM,Query Response,1,0,1,query response
22,2018-01-31,SALVOCHEM,Q2 Financials,0,0,0,q2 financials
23,2018-01-24,SALVOCHEM,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
24,2017-12-28,SALVOCHEM,Dividend Disbursement,1,0,0,dividend disbursement
25,2017-11-19,SALVOCHEM,Resumption after record date,0,1,1,resumption after record date
26,2017-11-16,SALVOCHEM,Suspension for Record Date,1,0,0,suspension for record date
27,2017-11-15,SALVOCHEM,Q1 Financials,0,1,0,q1 financials
28,2017-11-14,SALVOCHEM,Spot News,0,0,1,spot news
29,2017-11-12,SALVOCHEM,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
30,2017-10-30,SALVOCHEM,Price Limit Open,1,1,1,price limit open
31,2017-10-30,SALVOCHEM,Dividend Declaration,1,1,1,dividend declaration
32,2017-10-23,SALVOCHEM,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
33,2017-07-27,SALVOCHEM,Address Change of Registered Office,0,0,0,address change of registered office
34,2017-04-30,SALVOCHEM,Q3 Financials,0,0,0,q3 financials
35,2017-04-25,SALVOCHEM,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
36,2017-03-06,SALVOCHEM,Query Response,1,0,1,query response
37,2017-01-30,SALVOCHEM,Q2 Financials,0,1,0,q2 financials
38,2017-01-26,SALVOCHEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
39,2017-01-16,SALVOCHEM,Query Response,1,1,0,query response
40,2016-12-18,SALVOCHEM,Prohibition on providing loan,0,0,0,prohibition on providing loan
41,2016-12-18,SALVOCHEM,Category Change,0,0,0,category change
42,2016-11-15,SALVOCHEM,Q1 Financials,1,1,0,q1 financials
43,2016-11-13,SALVOCHEM,Board Meeting,0,1,1,board meeting
44,2016-10-31,SALVOCHEM,6 months audited financials,1,1,1,6 months audited financials
45,2016-10-24,SALVOCHEM,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
46,2016-06-06,SALVOCHEM,Resumption after record date,0,0,1,resumption after record date
47,2016-06-05,SALVOCHEM,Suspension news for record date,0,0,0,suspension news for record date
48,2016-06-01,SALVOCHEM,Spot News,1,1,0,spot news
49,2016-05-15,SALVOCHEM,"Postponement of AGM, unchanged Record date",0,1,1,"postponement of agm, unchanged record date"
50,2016-05-15,SALVOCHEM,Unaudited Financial Information,0,1,1,unaudited financial information
51,2016-05-12,SALVOCHEM,Board Meeting,1,0,0,board meeting
52,2016-05-02,SALVOCHEM,Price Limit Open,1,1,0,price limit open
53,2016-05-02,SALVOCHEM,Dividend Declaration,1,1,0,dividend declaration
54,2016-04-21,SALVOCHEM,Credit Rating Result,0,0,0,credit rating result
55,2016-04-21,SALVOCHEM,Board Meeting,0,0,0,board meeting
56,2015-11-01,SALVOCHEM,Q3,0,0,0,q3
57,2015-10-26,SALVOCHEM, Board Meeting,0,0,0,board meeting
58,2015-08-23,SALVOCHEM,Dividend Disbursement,0,0,0,dividend disbursement
59,2015-07-29,SALVOCHEM,Q2 Financials,1,0,0,q2 financials
60,2015-07-22,SALVOCHEM,Change of Date of 13th AGM,0,0,0,change of date of 13th agm
61,2015-06-29,SALVOCHEM, Resumption News after Record Date,0,0,0,resumption news after record date
62,2015-06-28,SALVOCHEM,Suspension News for Record Date,1,0,0,suspension news for record date
63,2015-06-24,SALVOCHEM,Spot News for AGM,0,0,0,spot news for agm
64,2015-05-14,SALVOCHEM,Q1 Financials,0,0,0,q1 financials
65,2015-05-04,SALVOCHEM,Price Limit Open,1,1,1,price limit open
66,2015-05-04,SALVOCHEM,Dividend,1,1,1,dividend
67,2015-04-30,SALVOCHEM,Board Meeting schedule under LR 30,0,0,0,board meeting schedule under lr 30
68,2015-02-04,SALVOCHEM,BSEC Directive,0,0,0,bsec directive
69,2015-01-05,SALVOCHEM, BSEC has fined,0,1,0,bsec has fined
70,2014-10-29,SALVOCHEM,Q3 Earnings,1,1,0,q3 earnings
71,2014-09-15,SALVOCHEM,catagory change,0,1,0,catagory change
72,2014-09-15,SALVOCHEM,bonus share has credited,0,1,0,bonus share has credited
73,2014-08-03,SALVOCHEM,H/Y Earnings,1,0,1,hy earnings
74,2014-06-25,SALVOCHEM,trade resume,0,1,0,trade resume
75,2014-06-24,SALVOCHEM,trade suspension,1,0,1,trade suspension
76,2014-06-22,SALVOCHEM,Spot Market Transaction,0,0,1,spot market transaction
77,2014-05-15,SALVOCHEM,Q1 Earning,0,0,0,q1 earning
78,2014-05-08,SALVOCHEM,decided to increase the Authorized Capital,0,0,0,decided to increase the authorized capital
79,2014-05-08,SALVOCHEM,recommended 10% stock dividend,0,0,0,recommended 10 stock dividend
80,2014-05-08,SALVOCHEM,no price limit,0,0,0,no price limit
81,2014-05-05,SALVOCHEM,board meeting,1,1,1,board meeting
82,2013-10-30,SALVOCHEM,Q3 Earnings,0,0,0,q3 earnings
83,2013-07-29,SALVOCHEM,Q2 Earnings,1,0,0,q2 earnings
84,2013-07-29,SALVOCHEM,Q2 Earnings,1,0,0,q2 earnings
85,2013-05-15,SALVOCHEM,Q1 Earnings,1,1,0,q1 earnings
86,2013-05-09,SALVOCHEM,trade resume,0,0,0,trade resume
87,2013-05-08,SALVOCHEM,trade suspension on record date,1,0,0,trade suspension on record date
88,2013-05-05,SALVOCHEM,Spot Market Trading,0,1,1,spot market trading
89,2013-04-28,SALVOCHEM,Corporate Declaration,0,0,0,corporate declaration
90,2013-04-25,SALVOCHEM,Board meeting,0,0,0,board meeting
91,2012-07-17,SALVOCHEM,- The Company has informed...,1,0,0,the company has informed
92,2012-07-17,SALVOCHEM,- The Company will be placed...,1,0,0,the company will be placed
93,2012-07-17,SALVOCHEM,- The Stock Brokers and Merchant Bankers...,1,0,0,the stock brokers and merchant bankers
94,2012-05-28,SALVOCHEM,- Normal trading...,0,0,0,normal trading
95,2012-05-14,SALVOCHEM,- Trading of the shares...,1,1,0,trading of the shares
96,2012-04-26,SALVOCHEM,- As per regulation ...,0,0,0,as per regulation
97,2011-10-31,SALVOCHEM,- As per un-audited...,0,1,0,as per un-audited
98,2011-08-10,SALVOCHEM,- (H/Y): (Revised): As per un-audited...,1,0,0,hy: revised: as per un-audited
99,2011-08-09,SALVOCHEM,- (H/Y): As per un-audited half yearly...,0,1,0,hy: as per un-audited half yearly
100,2011-08-07,SALVOCHEM,- The Company has informed...,0,0,0,the company has informed
