,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,SAMATALETH,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-03-25,SAMATALETH,Query Response,1,0,0,query response
2,2019-02-03,SAMATALETH,Q2 Financials,1,1,0,q2 financials
3,2019-01-29,SAMATALETH,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
5,2018-12-03,SAMATALETH,Basis for Qualified Opinion,0,0,0,basis for qualified opinion
6,2018-11-25,SAMATALETH,Resumption after record date,0,1,0,resumption after record date
7,2018-11-22,SAMATALETH,Suspension for Record date,0,0,0,suspension for record date
8,2018-11-15,SAMATALETH,Q1 Financials,0,0,0,q1 financials
9,2018-11-12,SAMATALETH,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
10,2018-11-08,SAMATALETH,Spot News,1,0,0,spot news
11,2018-11-01,SAMATALETH,Price Limit Open,1,0,0,price limit open
12,2018-11-01,SAMATALETH,Dividend Declaration,1,0,0,dividend declaration
13,2018-10-23,SAMATALETH,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
14,2018-08-28,SAMATALETH,Query Response,0,0,1,query response
15,2018-07-17,SAMATALETH,Query Response,0,1,0,query response
16,2018-06-12,SAMATALETH,Query Response,1,0,0,query response
17,2018-05-03,SAMATALETH,Q3 Financials,0,0,0,q3 financials
18,2018-04-25,SAMATALETH,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
19,2018-02-01,SAMATALETH,Q2 Financials,1,0,0,q2 financials
20,2018-01-29,SAMATALETH,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
23,2017-12-21,SAMATALETH,Basis for Qualified Opinion,1,0,0,basis for qualified opinion
25,2017-12-17,SAMATALETH,Message from the Company regarding their price hike of shares,0,0,0,message from the company regarding their price hike of shares
26,2017-12-10,SAMATALETH,Resumption after record date,0,1,0,resumption after record date
27,2017-12-10,SAMATALETH,Date change of the EGM,0,1,0,date change of the egm
28,2017-12-07,SAMATALETH,Suspension for Record Date for EGM,1,0,0,suspension for record date for egm
29,2017-11-28,SAMATALETH,Query Response,0,0,0,query response
30,2017-11-26,SAMATALETH,Spot News for EGM,0,1,0,spot news for egm
