,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-17,SAMORITA,Q3 Financials,0,1,0,q3 financials
1,2019-04-08,SAMORITA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-02-17,SAMORITA,Confirmation of share receipt by a Sponsor Director,1,0,0,confirmation of share receipt by a sponsor director
3,2019-02-10,SAMORITA,Deceased share receipt by a Sponsor Director,0,1,1,deceased share receipt by a sponsor director
4,2019-01-30,SAMORITA,Q2 Financials,1,0,0,q2 financials
5,2019-01-23,SAMORITA,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
6,2018-12-27,SAMORITA,Dividend Disbursement,0,0,0,dividend disbursement
7,2018-11-25,SAMORITA,Resumption after record date,0,0,0,resumption after record date
8,2018-11-22,SAMORITA,Suspension for Record date,0,0,0,suspension for record date
9,2018-11-19,SAMORITA,Spot News,1,0,0,spot news
10,2018-10-31,SAMORITA,Change of AGM date,0,0,0,change of agm date
11,2018-10-31,SAMORITA,Q1 Financials,0,0,0,q1 financials
12,2018-10-31,SAMORITA,Price Limit Open,0,0,0,price limit open
13,2018-10-31,SAMORITA,Dividend Declaration,0,0,0,dividend declaration
14,2018-10-23,SAMORITA,Board Meeting schedule under LR 19(1),1,1,1,board meeting schedule under lr 191
15,2018-10-23,SAMORITA,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
16,2018-04-15,SAMORITA,Q3 Financials,0,0,0,q3 financials
17,2018-04-09,SAMORITA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-01-31,SAMORITA,Q2 Financials,0,0,0,q2 financials
20,2018-01-24,SAMORITA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
21,2018-01-14,SAMORITA,Dividend Disbursement,1,0,1,dividend disbursement
22,2018-01-01,SAMORITA,Dividend Disbursement,0,1,0,dividend disbursement
23,2017-11-16,SAMORITA,Resumption after record date,0,0,0,resumption after record date
24,2017-11-15,SAMORITA,Suspension for Record Date,1,0,0,suspension for record date
25,2017-11-13,SAMORITA,Spot News,1,0,1,spot news
26,2017-10-25,SAMORITA,Q1 Financials,0,0,0,q1 financials
27,2017-10-25,SAMORITA,Price Limit Open,0,0,0,price limit open
29,2017-10-25,SAMORITA,Dividend Declaration,0,0,0,dividend declaration
30,2017-10-16,SAMORITA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
31,2017-10-16,SAMORITA,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
32,2017-04-26,SAMORITA,Q3 Financials,1,0,0,q3 financials
33,2017-04-19,SAMORITA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
34,2017-04-13,SAMORITA,Confirmation of Transmission of Deceased Director's shares,1,0,0,confirmation of transmission of deceased director's shares
35,2017-03-30,SAMORITA,Transmission of Deceased Director's shares to his successor,1,0,0,transmission of deceased director's shares to his successor
36,2017-01-25,SAMORITA,Q2 Financials,0,0,0,q2 financials
37,2017-01-18,SAMORITA,Board Meeting,1,1,0,board meeting
38,2017-01-10,SAMORITA,Dividend Disbursement,0,0,0,dividend disbursement
39,2017-01-03,SAMORITA,Query Response,1,0,0,query response
40,2016-12-27,SAMORITA,Stock Dividend Disbursement,1,0,0,stock dividend disbursement
41,2016-11-10,SAMORITA,Suspension for record date,0,0,0,suspension for record date
42,2016-11-09,SAMORITA,Suspension for record date,0,0,0,suspension for record date
43,2016-11-07,SAMORITA,Spot for AGM,0,1,0,spot for agm
44,2016-10-19,SAMORITA,Q1 Financials,0,0,0,q1 financials
45,2016-10-19,SAMORITA,Price Limit Open,0,0,0,price limit open
46,2016-10-19,SAMORITA,Dividend Declaration,0,0,0,dividend declaration
47,2016-10-09,SAMORITA, Board Meeting (Annual & Q1),0,0,0,board meeting annual  q1
48,2016-04-27,SAMORITA,Q3 Financials,0,0,0,q3 financials
49,2016-04-20,SAMORITA, Board Meeting,1,0,0,board meeting
50,2016-01-24,SAMORITA,Q2 Financials,0,0,0,q2 financials
51,2016-01-20,SAMORITA,Dividend Disbursement,0,1,0,dividend disbursement
52,2016-01-20,SAMORITA,Board Meeting,0,1,0,board meeting
53,2015-11-26,SAMORITA,Resumption News after Record date,0,0,0,resumption news after record date
54,2015-11-25,SAMORITA,Suspension News for Record Date,0,0,0,suspension news for record date
55,2015-11-23,SAMORITA,Spot News for AGM,0,0,0,spot news for agm
56,2015-11-04,SAMORITA,Q1,0,1,0,q1
57,2015-11-04,SAMORITA,Price Limit Open,0,1,0,price limit open
58,2015-11-04,SAMORITA,Dividend,0,1,0,dividend
59,2015-10-28,SAMORITA,Board Meeting,0,1,0,board meeting
60,2015-10-26,SAMORITA,Board Meeting,1,0,0,board meeting
61,2015-08-27,SAMORITA,Query Response,1,0,0,query response
62,2015-05-06,SAMORITA,Credit Ratings,1,1,0,credit ratings
63,2015-04-26,SAMORITA,Quarterly Earnings,0,0,0,quarterly earnings
64,2015-01-29,SAMORITA,H/Y,0,0,0,hy
65,2014-11-19,SAMORITA,Trade Resume,0,0,0,trade resume
66,2014-11-18,SAMORITA,Trade Suspended,1,0,0,trade suspended
67,2014-11-16,SAMORITA,Spot Market and Block/Odd lot transactions,1,0,1,spot market and blockodd lot transactions
68,2014-11-11,SAMORITA,Q1,0,0,1,q1
69,2014-11-09,SAMORITA,today no price limit,1,0,0,today no price limit
70,2014-11-09,SAMORITA,Dividend,1,0,0,dividend
71,2014-11-03,SAMORITA,Board Meeting,0,0,1,board meeting
72,2014-04-23,SAMORITA,Q3 Earnings,0,0,0,q3 earnings
73,2014-04-02,SAMORITA,Sponsor/Director Share transfer,1,0,0,sponsordirector share transfer
74,2014-03-16,SAMORITA,Credit Rating,1,0,1,credit rating
75,2014-01-28,SAMORITA,bonus shares credited,0,0,0,bonus shares credited
76,2014-01-28,SAMORITA,H/Y Earnings,0,0,0,hy earnings
77,2013-12-26,SAMORITA,AGM,0,0,0,agm
78,2013-11-25,SAMORITA,Trade Resume After Record date,0,0,0,trade resume after record date
79,2013-11-24,SAMORITA,Trade Suspension On record date,0,0,0,trade suspension on record date
