,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,SAVAREFR,Q3 Financials,0,0,0,q3 financials
1,2019-04-23,SAVAREFR,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
2,2019-01-24,SAVAREFR,Q2 Financials,0,0,0,q2 financials
3,2019-01-17,SAVAREFR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-01-03,SAVAREFR,Query Response,1,0,0,query response
7,2018-12-03,SAVAREFR,Qualified Opinion,0,0,0,qualified opinion
8,2018-11-27,SAVAREFR,Resumption after record date,0,0,0,resumption after record date
9,2018-11-26,SAVAREFR,Suspension for Record date,1,0,0,suspension for record date
10,2018-11-15,SAVAREFR,Q1 Financials,1,0,0,q1 financials
11,2018-11-12,SAVAREFR,Spot News,0,0,0,spot news
12,2018-11-11,SAVAREFR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-10-31,SAVAREFR,Price Limit Open,1,1,0,price limit open
14,2018-10-31,SAVAREFR,Dividend Declaration,1,1,0,dividend declaration
15,2018-10-21,SAVAREFR,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
16,2018-10-04,SAVAREFR,Query Response,1,0,0,query response
17,2018-08-30,SAVAREFR,Query Response,0,0,0,query response
18,2018-07-02,SAVAREFR,Query Response (Repeat News),1,0,1,query response repeat news
19,2018-06-28,SAVAREFR,Query Response,1,0,0,query response
20,2018-06-11,SAVAREFR,Query Response,0,1,0,query response
21,2018-04-23,SAVAREFR,Q3 Financials,1,0,1,q3 financials
22,2018-04-19,SAVAREFR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2018-03-04,SAVAREFR,Query Response,1,0,0,query response
24,2018-02-15,SAVAREFR,Query Response,1,0,0,query response
25,2018-01-30,SAVAREFR,Q2 Financials,0,0,1,q2 financials
26,2018-01-24,SAVAREFR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-11-20,SAVAREFR,Query Response,1,0,1,query response
28,2017-11-15,SAVAREFR,Q1 Financials,0,1,0,q1 financials
29,2017-11-09,SAVAREFR,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2017-10-30,SAVAREFR,Price Limit Open,1,0,0,price limit open
31,2017-10-30,SAVAREFR,Dividend Declaration,1,0,0,dividend declaration
32,2017-10-23,SAVAREFR,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
33,2017-07-30,SAVAREFR,Query Response,1,0,0,query response
34,2017-06-20,SAVAREFR,Query Response,0,1,0,query response
35,2017-04-26,SAVAREFR,Q3 Financials,1,0,0,q3 financials
36,2017-04-23,SAVAREFR,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
37,2017-01-29,SAVAREFR,Q2 Financials,0,1,0,q2 financials
38,2017-01-24,SAVAREFR,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
39,2017-01-17,SAVAREFR,Query Response,1,0,1,query response
40,2016-11-24,SAVAREFR,Suspension for record date,0,0,0,suspension for record date
41,2016-11-14,SAVAREFR,Q1 Financials,0,0,0,q1 financials
42,2016-11-13,SAVAREFR,Spot for AGM,1,0,0,spot for agm
43,2016-11-09,SAVAREFR,Board Meeting,1,0,0,board meeting
44,2016-10-31,SAVAREFR,Price Limit Open,1,0,0,price limit open
45,2016-10-31,SAVAREFR,Dividend Declaration,1,0,0,dividend declaration
46,2016-10-24,SAVAREFR,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
47,2016-04-28,SAVAREFR,Q3 Financials,0,0,0,q3 financials
48,2016-01-27,SAVAREFR,Q2 Financials,1,0,0,q2 financials
49,2015-11-25,SAVAREFR,Resumption News after Record date,0,0,0,resumption news after record date
50,2015-11-24,SAVAREFR,Suspension News for Record Date,1,0,0,suspension news for record date
51,2015-11-12,SAVAREFR,Q1 Financials,1,0,0,q1 financials
52,2015-11-11,SAVAREFR,Spot News,0,1,0,spot news
53,2015-10-29,SAVAREFR,Price Limit Open,0,0,0,price limit open
54,2015-10-29,SAVAREFR,Dividend Declaration,0,0,0,dividend declaration
