,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,SEMLFBSLGF,Q3 Financials,0,0,0,q3 financials
1,2019-04-28,SEMLFBSLGF,Weekly NAV,0,0,0,weekly nav
2,2019-04-23,SEMLFBSLGF,Trustee Committee Meeting under LR 16(1),0,0,0,trustee committee meeting under lr 161
3,2019-04-21,SEMLFBSLGF,Weekly NAV,0,0,0,weekly nav
4,2019-04-15,SEMLFBSLGF,Weekly NAV,0,0,0,weekly nav
5,2019-04-07,SEMLFBSLGF,Weekly NAV,0,0,0,weekly nav
6,2019-03-31,SEMLFBSLGF,Weekly NAV,0,0,0,weekly nav
7,2019-03-24,SEMLFBSLGF,Weekly NAV,1,0,0,weekly nav
8,2019-03-18,SEMLFBSLGF,Weekly NAV,0,0,0,weekly nav
9,2019-03-10,SEMLFBSLGF,Weekly NAV,0,0,0,weekly nav
10,2019-03-04,SEMLFBSLGF,NAV before Debut Trading of the Fund,1,0,0,nav before debut trading of the fund
11,2019-03-04,SEMLFBSLGF,Prohibition to provide loan facilities to purchase Units of the Fund,1,0,0,prohibition to provide loan facilities to purchase units of the fund
12,2019-03-04,SEMLFBSLGF,Trading of New Fund,1,0,0,trading of new fund
