,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,SEMLIBBLSF,Q3 Financials,0,0,0,q3 financials
1,2019-04-28,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
2,2019-04-25,SEMLIBBLSF,Trustee Committee Meeting schedule under LR 16(1),1,0,0,trustee committee meeting schedule under lr 161
3,2019-04-21,SEMLIBBLSF,Weekly NAV,1,0,0,weekly nav
4,2019-04-15,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
5,2019-04-07,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
6,2019-03-31,SEMLIBBLSF,Weekly NAV,0,0,1,weekly nav
7,2019-03-24,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
8,2019-03-18,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
9,2019-03-10,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
10,2019-03-03,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
11,2019-02-24,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
12,2019-02-17,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
13,2019-02-10,SEMLIBBLSF,Weekly NAV,1,0,0,weekly nav
14,2019-02-03,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
15,2019-01-27,SEMLIBBLSF,Weekly NAV,0,0,1,weekly nav
16,2019-01-24,SEMLIBBLSF,Q2 Financials,0,0,0,q2 financials
17,2019-01-21,SEMLIBBLSF,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2019-01-20,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
19,2019-01-13,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
20,2019-01-06,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
21,2019-01-01,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
22,2018-12-23,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
23,2018-12-17,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
24,2018-12-09,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
25,2018-12-02,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
26,2018-11-25,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
27,2018-11-18,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
28,2018-11-11,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
29,2018-11-04,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
30,2018-10-28,SEMLIBBLSF,Q1 Financials,0,0,0,q1 financials
31,2018-10-28,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
32,2018-10-23,SEMLIBBLSF,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
33,2018-10-21,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
34,2018-10-14,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
35,2018-10-07,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
36,2018-09-30,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
37,2018-09-24,SEMLIBBLSF,Dividend Disbursement,0,0,0,dividend disbursement
38,2018-09-23,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
39,2018-09-16,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
40,2018-09-09,SEMLIBBLSF,Resumption after record date,0,1,0,resumption after record date
41,2018-09-09,SEMLIBBLSF,Weekly NAV,0,1,0,weekly nav
42,2018-09-06,SEMLIBBLSF,Suspension for Record Date,0,0,0,suspension for record date
43,2018-09-04,SEMLIBBLSF,Spot News,1,0,0,spot news
44,2018-09-03,SEMLIBBLSF,Weekly NAV,1,1,0,weekly nav
45,2018-08-26,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
46,2018-08-19,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
47,2018-08-12,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
48,2018-08-09,SEMLIBBLSF,Information for Merchant Banks and Depository Participants,0,0,0,information for merchant banks and depository participants
49,2018-08-09,SEMLIBBLSF,Price Limit Open,0,0,0,price limit open
50,2018-08-09,SEMLIBBLSF,Dividend Declaration,0,0,0,dividend declaration
51,2018-08-05,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
52,2018-08-01,SEMLIBBLSF,Trustee Committee Meeting schedule under LR 19(1),0,0,0,trustee committee meeting schedule under lr 191
53,2018-07-29,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
54,2018-07-22,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
55,2018-07-15,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
56,2018-07-08,SEMLIBBLSF,Weekly NAV,0,1,0,weekly nav
57,2018-07-02,SEMLIBBLSF,Weekly NAV,0,1,0,weekly nav
58,2018-06-24,SEMLIBBLSF,Weekly NAV,1,0,0,weekly nav
59,2018-06-18,SEMLIBBLSF,Weekly NAV,0,0,1,weekly nav
60,2018-06-10,SEMLIBBLSF,Weekly NAV,1,0,1,weekly nav
61,2018-06-03,SEMLIBBLSF,Weekly NAV,1,0,1,weekly nav
62,2018-05-27,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
63,2018-05-20,SEMLIBBLSF,Weekly NAV,1,1,1,weekly nav
64,2018-05-13,SEMLIBBLSF,Weekly NAV,1,0,0,weekly nav
65,2018-05-06,SEMLIBBLSF,Weekly NAV,1,1,0,weekly nav
66,2018-04-30,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
67,2018-04-30,SEMLIBBLSF,Q3 Financials,0,0,0,q3 financials
68,2018-04-23,SEMLIBBLSF,Trustee Meeting schedule under LR 16(1),0,0,0,trustee meeting schedule under lr 161
69,2018-04-22,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
70,2018-04-15,SEMLIBBLSF,Weekly NAV,0,0,1,weekly nav
71,2018-04-08,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
72,2018-04-01,SEMLIBBLSF,Weekly NAV,0,1,0,weekly nav
73,2018-03-25,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
74,2018-03-18,SEMLIBBLSF,Weekly NAV,1,1,0,weekly nav
75,2018-03-11,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
76,2018-03-04,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
77,2018-02-25,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
78,2018-02-18,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
79,2018-02-11,SEMLIBBLSF,Weekly NAV,1,0,0,weekly nav
80,2018-02-04,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
81,2018-01-31,SEMLIBBLSF,Q2 Financials,0,0,0,q2 financials
82,2018-01-28,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
83,2018-01-25,SEMLIBBLSF,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
84,2018-01-21,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
85,2018-01-14,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
86,2018-01-07,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
87,2018-01-07,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
88,2018-01-01,SEMLIBBLSF,Weekly NAV,0,0,1,weekly nav
89,2017-12-24,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
90,2017-12-17,SEMLIBBLSF,Weekly NAV,0,1,0,weekly nav
91,2017-12-10,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
92,2017-12-03,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
93,2017-11-26,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
94,2017-11-19,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
95,2017-11-12,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
96,2017-11-07,SEMLIBBLSF,Q1 Financials,0,0,0,q1 financials
97,2017-11-05,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
98,2017-11-02,SEMLIBBLSF,Trustee Committee Meeting under LR 16(1),0,0,0,trustee committee meeting under lr 161
99,2017-10-29,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
100,2017-10-22,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
101,2017-10-15,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
102,2017-10-08,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
103,2017-10-02,SEMLIBBLSF,Weekly NAV,0,0,1,weekly nav
104,2017-09-24,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
105,2017-09-19,SEMLIBBLSF,Dividend Disbursement,0,1,0,dividend disbursement
106,2017-09-17,SEMLIBBLSF,Weekly NAV,0,1,0,weekly nav
107,2017-09-10,SEMLIBBLSF,Weekly NAV,0,1,0,weekly nav
108,2017-09-05,SEMLIBBLSF,Resumption after Record Date,0,0,0,resumption after record date
109,2017-09-04,SEMLIBBLSF,Suspension for Record Date,0,0,0,suspension for record date
110,2017-09-04,SEMLIBBLSF,Weekly NAV,0,0,0,weekly nav
111,2017-08-30,SEMLIBBLSF,Spot News,0,0,0,spot news
