,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,SEMLLECMF,Q3 Financials,0,1,0,q3 financials
1,2019-04-28,SEMLLECMF,Weekly NAV,0,0,1,weekly nav
2,2019-04-23,SEMLLECMF,Trustee Committee Meeting under LR 16(1),0,0,0,trustee committee meeting under lr 161
3,2019-04-21,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
4,2019-04-15,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
5,2019-04-07,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
6,2019-03-31,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
7,2019-03-24,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
8,2019-03-18,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
9,2019-03-10,SEMLLECMF,Weekly NAV,1,0,0,weekly nav
10,2019-03-03,SEMLLECMF,Weekly NAV,0,0,1,weekly nav
11,2019-02-24,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
12,2019-02-17,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
13,2019-02-10,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
14,2019-02-03,SEMLLECMF,Weekly NAV,0,1,0,weekly nav
15,2019-01-27,SEMLLECMF,Weekly NAV,1,0,0,weekly nav
16,2019-01-21,SEMLLECMF,Q2 Financials,0,0,1,q2 financials
17,2019-01-20,SEMLLECMF,Weekly NAV,1,0,0,weekly nav
18,2019-01-16,SEMLLECMF,Trustee Committee Meeting schedule under LR 16(1),0,1,0,trustee committee meeting schedule under lr 161
19,2019-01-13,SEMLLECMF,Weekly NAV,0,1,0,weekly nav
20,2019-01-06,SEMLLECMF,Weekly NAV,1,0,1,weekly nav
21,2019-01-01,SEMLLECMF,Weekly NAV,0,0,1,weekly nav
22,2018-12-23,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
23,2018-12-17,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
24,2018-12-09,SEMLLECMF,Weekly NAV,0,1,0,weekly nav
25,2018-12-02,SEMLLECMF,Weekly NAV,1,0,1,weekly nav
26,2018-11-25,SEMLLECMF,Weekly NAV,0,0,1,weekly nav
27,2018-11-18,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
28,2018-11-11,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
29,2018-11-04,SEMLLECMF,Weekly NAV,0,0,0,weekly nav
