,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,SHAHJABANK,Price Limit Open,0,0,0,price limit open
2,2019-04-25,SHAHJABANK,Dividend Declaration,0,0,0,dividend declaration
3,2019-04-17,SHAHJABANK,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
5,2018-11-07,SHAHJABANK,Consent accorded from BSEC for issuance of 2nd Subordinated Bond,0,0,0,consent accorded from bsec for issuance of 2nd subordinated bond
6,2018-11-06,SHAHJABANK,Buy Confirmation,0,0,0,buy confirmation
7,2018-10-29,SHAHJABANK,Buy Intimation,0,0,0,buy intimation
8,2018-10-28,SHAHJABANK,Completion of share Transfer outside the Trading System of Exchange,0,0,0,completion of share transfer outside the trading system of exchange
9,2018-10-25,SHAHJABANK,Q3 Financials,1,0,0,q3 financials
10,2018-10-18,SHAHJABANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
11,2018-10-11,SHAHJABANK,Transfer of shares outside the Trading System of the Exchange,1,0,0,transfer of shares outside the trading system of the exchange
12,2018-10-10,SHAHJABANK,Sale Confirmation of a Director,0,1,0,sale confirmation of a director
13,2018-10-02,SHAHJABANK,Appointment of Managing Director,1,1,0,appointment of managing director
14,2018-09-23,SHAHJABANK,Sale Declaration of a Director,1,1,0,sale declaration of a director
15,2018-09-16,SHAHJABANK,Buy Confirmation,0,0,1,buy confirmation
16,2018-09-13,SHAHJABANK,Sale Confirmation of a Director,0,0,0,sale confirmation of a director
17,2018-08-28,SHAHJABANK,Sale Declaration of a Director,1,0,0,sale declaration of a director
18,2018-07-30,SHAHJABANK,Buy Intimation,1,1,1,buy intimation
19,2018-07-30,SHAHJABANK,Buy Confirmation,1,1,1,buy confirmation
20,2018-07-26,SHAHJABANK,Q2 Financials,1,0,0,q2 financials
21,2018-07-22,SHAHJABANK,Dividend Disbursement,1,1,0,dividend disbursement
22,2018-07-22,SHAHJABANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
23,2018-07-12,SHAHJABANK,Buy Intimation,1,0,0,buy intimation
24,2018-05-31,SHAHJABANK,Resumption after record date,0,0,0,resumption after record date
25,2018-05-30,SHAHJABANK,Suspension for Record Date,0,0,0,suspension for record date
26,2018-05-29,SHAHJABANK,Credit Rating Result,1,0,0,credit rating result
27,2018-05-28,SHAHJABANK,Spot News,1,1,0,spot news
28,2018-04-26,SHAHJABANK,Decision to issue 7 years redeemable 2nd Mudaraba Subordinated Bond,1,0,0,decision to issue 7 years redeemable 2nd mudaraba subordinated bond
29,2018-04-26,SHAHJABANK,Q1 Financials,1,0,0,q1 financials
30,2018-04-26,SHAHJABANK,Price Limit Open,1,0,0,price limit open
31,2018-04-26,SHAHJABANK,Dividend Declaration,1,0,0,dividend declaration
32,2018-04-26,SHAHJABANK,Dividend Declaration,1,0,0,dividend declaration
33,2018-04-22,SHAHJABANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2018-04-18,SHAHJABANK,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
35,2018-04-11,SHAHJABANK,Share transmission of late Sponsor to the account of his nominee,1,1,0,share transmission of late sponsor to the account of his nominee
36,2018-01-17,SHAHJABANK,Elected Chairman,1,1,0,elected chairman
37,2017-11-26,SHAHJABANK,Query Response,1,0,0,query response
38,2017-10-29,SHAHJABANK,Buy declaration,1,0,0,buy declaration
39,2017-10-26,SHAHJABANK,Q3 Financials,1,0,0,q3 financials
40,2017-10-25,SHAHJABANK,Buy Declaration,0,1,0,buy declaration
41,2017-10-22,SHAHJABANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
42,2017-10-12,SHAHJABANK,Buy declarations,1,0,0,buy declarations
43,2017-09-19,SHAHJABANK,Query Response,1,0,1,query response
44,2017-08-29,SHAHJABANK,Address Change of Registered Office,1,1,0,address change of registered office
45,2017-08-10,SHAHJABANK,Buy confirmation,1,0,0,buy confirmation
46,2017-08-03,SHAHJABANK,Dividend Disbursement,1,0,0,dividend disbursement
47,2017-07-27,SHAHJABANK,Buy confirmation,0,0,0,buy confirmation
48,2017-07-26,SHAHJABANK,Buy declaration,1,0,0,buy declaration
49,2017-07-23,SHAHJABANK,Buy confirmation,1,1,0,buy confirmation
50,2017-07-20,SHAHJABANK,Q2 Financials,1,0,0,q2 financials
51,2017-07-17,SHAHJABANK,Buy declaration,1,1,1,buy declaration
52,2017-07-16,SHAHJABANK,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
53,2017-06-29,SHAHJABANK,Buy declaration,0,0,0,buy declaration
54,2017-06-13,SHAHJABANK,Buy confirmation of a Corporate Sponsor,0,1,0,buy confirmation of a corporate sponsor
55,2017-06-05,SHAHJABANK,Buy declaration of a Corporate Sponsor,1,1,0,buy declaration of a corporate sponsor
56,2017-05-21,SHAHJABANK,Buy confirmation of a Corporate Sponsor,1,0,0,buy confirmation of a corporate sponsor
57,2017-05-16,SHAHJABANK,Credit Rating Result,1,0,0,credit rating result
58,2017-05-14,SHAHJABANK,Buy declaration,1,0,1,buy declaration
59,2017-05-11,SHAHJABANK,Buy declaration of a Corporate Sponsor,0,0,0,buy declaration of a corporate sponsor
60,2017-04-27,SHAHJABANK,Resumption after Record Date,0,0,0,resumption after record date
61,2017-04-27,SHAHJABANK,Change of AGM date and time,0,0,0,change of agm date and time
62,2017-04-27,SHAHJABANK,Q1 Financials,0,0,0,q1 financials
63,2017-04-26,SHAHJABANK,Share transmission of late Sponsor/Director to his successor,1,0,0,share transmission of late sponsordirector to his successor
64,2017-04-26,SHAHJABANK,Suspension for Record Date,1,0,0,suspension for record date
65,2017-04-24,SHAHJABANK,Spot News,0,0,1,spot news
