,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,SHASHADNIM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-02-17,SHASHADNIM,Decision to Acquire Shares of EOS Textile Mills Ltd.,0,0,0,decision to acquire shares of eos textile mills ltd.
2,2019-01-30,SHASHADNIM,Elected Chairman,0,0,0,elected chairman
3,2019-01-30,SHASHADNIM,Reasons for Significant Deviation in EPS,0,0,0,reasons for significant deviation in eps
4,2019-01-30,SHASHADNIM,Procurement of 84 set PICANOL Airjet Weaving Machines,0,0,0,procurement of 84 set picanol airjet weaving machines
5,2019-01-30,SHASHADNIM,Q2 Financials,0,0,0,q2 financials
7,2019-01-24,SHASHADNIM,Sale Confirmation,1,0,0,sale confirmation
8,2019-01-24,SHASHADNIM,Dividend Disbursement,1,0,0,dividend disbursement
9,2019-01-22,SHASHADNIM,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
11,2019-01-13,SHASHADNIM,Sale Intimation,0,0,0,sale intimation
12,2018-11-25,SHASHADNIM,Resumption after record date,0,0,0,resumption after record date
13,2018-11-22,SHASHADNIM,Suspension for Record date,0,0,0,suspension for record date
14,2018-11-19,SHASHADNIM,Spot News,1,0,0,spot news
15,2018-11-12,SHASHADNIM,Q1 Financials,0,1,0,q1 financials
16,2018-11-06,SHASHADNIM,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
17,2018-10-28,SHASHADNIM,Price Limit Open,1,1,0,price limit open
19,2018-10-28,SHASHADNIM,Dividend Declaration,1,1,0,dividend declaration
20,2018-10-18,SHASHADNIM,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
21,2018-09-20,SHASHADNIM,Query Response,1,0,0,query response
22,2018-07-15,SHASHADNIM,Credit Rating Result,1,0,1,credit rating result
23,2018-04-30,SHASHADNIM,Q3 Financials,1,0,0,q3 financials
24,2018-04-22,SHASHADNIM,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
25,2018-04-04,SHASHADNIM,Query Response,0,1,0,query response
27,2018-02-25,SHASHADNIM,MOU Signing with EOS Textiles Ltd.,0,0,0,mou signing with eos textiles ltd.
28,2018-01-28,SHASHADNIM,Q2 Financials,0,0,0,q2 financials
29,2018-01-22,SHASHADNIM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
30,2017-12-20,SHASHADNIM,Dividend Disbursement,0,0,0,dividend disbursement
31,2017-12-05,SHASHADNIM,Stock Dividend Disbursement,1,0,0,stock dividend disbursement
32,2017-11-16,SHASHADNIM,Q1 Financials,0,0,0,q1 financials
33,2017-11-09,SHASHADNIM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-11-01,SHASHADNIM,Information for Margin Account Holders,0,1,0,information for margin account holders
35,2017-11-01,SHASHADNIM,Updating information,0,1,0,updating information
36,2017-10-31,SHASHADNIM,Resumption after Record Date,0,0,1,resumption after record date
37,2017-10-30,SHASHADNIM,Suspension for Record Date,1,0,0,suspension for record date
38,2017-10-26,SHASHADNIM,Spot News,0,0,0,spot news
39,2017-10-11,SHASHADNIM,Price Limit Open,0,0,0,price limit open
41,2017-10-11,SHASHADNIM,Dividend Declaration,0,0,0,dividend declaration
42,2017-10-03,SHASHADNIM,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
43,2017-06-21,SHASHADNIM,Credit Rating Result,1,0,0,credit rating result
44,2017-04-27,SHASHADNIM,Q3 Financials,0,0,0,q3 financials
45,2017-04-20,SHASHADNIM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
46,2017-03-05,SHASHADNIM,Interim Cash Dividend,1,0,0,interim cash dividend
47,2017-01-25,SHASHADNIM,Q2 Financials,0,0,0,q2 financials
48,2017-01-25,SHASHADNIM,Price Limit Open,0,0,0,price limit open
49,2017-01-25,SHASHADNIM, Interim Cash Dividend Declaration,0,0,0,interim cash dividend declaration
50,2017-01-18,SHASHADNIM,Board Meeting,0,1,0,board meeting
51,2016-11-16,SHASHADNIM, Query Response,1,0,0,query response
52,2016-10-24,SHASHADNIM,Q1 Financials,1,1,0,q1 financials
53,2016-10-17,SHASHADNIM,Board Meeting,1,1,0,board meeting
54,2016-07-28,SHASHADNIM,Re-fixation of postponed AGM date,0,0,0,re-fixation of postponed agm date
55,2016-07-28,SHASHADNIM,18 Months Financials,0,0,0,18 months financials
56,2016-07-20,SHASHADNIM,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
57,2016-06-16,SHASHADNIM,Credit Rating Result,0,0,0,credit rating result
58,2016-05-16,SHASHADNIM,"Postponement of AGM, unchanged Record date.",1,0,0,"postponement of agm, unchanged record date."
59,2016-05-08,SHASHADNIM,Q1,0,0,1,q1
60,2016-05-04,SHASHADNIM,Resumption,1,0,0,resumption
61,2016-05-02,SHASHADNIM,Suspension,1,0,1,suspension
62,2016-04-28,SHASHADNIM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
63,2016-04-27,SHASHADNIM,Spot News for AGM,1,0,0,spot news for agm
64,2016-04-10,SHASHADNIM,Price Limit Open,0,1,0,price limit open
65,2016-04-10,SHASHADNIM,Dividend Declaration,0,1,0,dividend declaration
66,2016-03-31,SHASHADNIM,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
67,2016-01-05,SHASHADNIM,Address Change of Corporate Head Office,0,0,0,address change of corporate head office
68,2015-10-29,SHASHADNIM,Q3 Financials,0,0,0,q3 financials
69,2015-10-21,SHASHADNIM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
70,2015-09-07,SHASHADNIM,Interim Cash Dividend Disbursement,0,0,0,interim cash dividend disbursement
71,2015-08-20,SHASHADNIM,Resumption News after Record Date,0,0,0,resumption news after record date
72,2015-08-19,SHASHADNIM,Information for Brokerage house/Merchant bank regarding Margin Loan,1,0,0,information for brokerage housemerchant bank regarding margin loan
73,2015-08-19,SHASHADNIM, Suspension News for Record Date,1,0,0,suspension news for record date
74,2015-08-17,SHASHADNIM,Spot News for Interim Dividend,1,1,1,spot news for interim dividend
75,2015-07-30,SHASHADNIM,Q2 Financials,1,0,0,q2 financials
76,2015-07-30,SHASHADNIM,Price Limit Open,1,0,0,price limit open
77,2015-07-30,SHASHADNIM,Interim Cash Dividend Declaration,1,0,0,interim cash dividend declaration
78,2015-07-30,SHASHADNIM,10% Interim Cash Dividend,1,0,0,10 interim cash dividend
79,2015-07-14,SHASHADNIM,Credit Rating,1,0,0,credit rating
80,2015-06-25,SHASHADNIM,Category Change,1,0,0,category change
81,2015-06-22,SHASHADNIM, Buy confirmation of a Director,0,0,0,buy confirmation of a director
82,2015-06-11,SHASHADNIM,Declaration of buy of Director,0,0,0,declaration of buy of director
83,2015-06-07,SHASHADNIM,Information for the brokerage houses relating to Margin Loan,0,0,0,information for the brokerage houses relating to margin loan
84,2015-06-02,SHASHADNIM,Dividend Disbursement,1,0,0,dividend disbursement
85,2015-05-12,SHASHADNIM,Furnishing 12 digits e-TIN Number,0,1,0,furnishing 12 digits e-tin number
86,2015-05-04,SHASHADNIM,Q1 Financials,0,0,1,q1 financials
87,2015-04-23,SHASHADNIM,Resuption News after Record date,0,0,0,resuption news after record date
88,2015-04-22,SHASHADNIM,Suspension News for Record date,1,0,0,suspension news for record date
89,2015-04-20,SHASHADNIM,Spot News for AGM,0,0,1,spot news for agm
90,2015-04-12,SHASHADNIM,Price Limit Open,0,1,0,price limit open
91,2015-04-12,SHASHADNIM,Dividend Declaration,0,1,0,dividend declaration
92,2015-04-06,SHASHADNIM,Board Meeting schedule under LR 30,0,0,1,board meeting schedule under lr 30
93,2015-03-05,SHASHADNIM,Q3 Financials,0,0,0,q3 financials
94,2015-03-05,SHASHADNIM,Trading of New Security,0,0,0,trading of new security
95,2015-03-04,SHASHADNIM,Q3 Financials,0,0,0,q3 financials
