,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,SHEPHERD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-03-14,SHEPHERD,Credit Rating Result,0,0,0,credit rating result
2,2019-01-27,SHEPHERD,Q2 Financials,0,0,1,q2 financials
3,2019-01-21,SHEPHERD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
4,2019-01-10,SHEPHERD,Dividend Disbursement,1,0,0,dividend disbursement
5,2019-01-06,SHEPHERD,Query Response,0,0,0,query response
6,2018-12-09,SHEPHERD,Venue of the 17th AGM,0,0,0,venue of the 17th agm
9,2018-12-05,SHEPHERD,Emphasis of Matter,0,0,0,emphasis of matter
10,2018-11-15,SHEPHERD,Q1 Financials,0,0,0,q1 financials
11,2018-11-12,SHEPHERD,Resumption after Record Date,0,1,1,resumption after record date
12,2018-11-11,SHEPHERD,Suspension for Record Date,0,0,1,suspension for record date
13,2018-11-11,SHEPHERD,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
14,2018-11-07,SHEPHERD,Spot News,1,1,0,spot news
17,2018-11-04,SHEPHERD,To invest 25.00 crore in paid up capital of Shepherd Textile (BD) Ltd.,1,0,0,to invest 25.00 crore in paid up capital of shepherd textile bd ltd.
20,2018-10-23,SHEPHERD,Updating information,0,1,0,updating information
21,2018-10-23,SHEPHERD,Price Limit Open,0,1,0,price limit open
22,2018-10-23,SHEPHERD,Dividend Declaration,0,1,0,dividend declaration
23,2018-10-15,SHEPHERD,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
24,2018-07-05,SHEPHERD,Query Response,0,0,0,query response
25,2018-05-09,SHEPHERD,Query Response,1,0,0,query response
26,2018-04-30,SHEPHERD,Q3 Financials,0,0,0,q3 financials
27,2018-04-23,SHEPHERD,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
29,2018-02-01,SHEPHERD,Emphasis of Matter,0,0,0,emphasis of matter
30,2018-01-30,SHEPHERD,Q2 Financials,0,0,0,q2 financials
31,2018-01-23,SHEPHERD,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
32,2017-12-21,SHEPHERD,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
33,2017-12-21,SHEPHERD,Category Change,0,0,0,category change
34,2017-12-19,SHEPHERD,Dividend Disbursement,0,0,0,dividend disbursement
35,2017-12-17,SHEPHERD,Credit Rating Result,0,0,0,credit rating result
36,2017-11-13,SHEPHERD,Q1 Financials,0,1,0,q1 financials
37,2017-11-08,SHEPHERD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2017-11-07,SHEPHERD,Revised proposal for utilizing unutilized funds of IPO proceeds,0,0,0,revised proposal for utilizing unutilized funds of ipo proceeds
41,2017-10-31,SHEPHERD,Resumption after Record Date,0,1,1,resumption after record date
42,2017-10-30,SHEPHERD,Suspension for Record Date,0,0,1,suspension for record date
43,2017-10-26,SHEPHERD,Spot News,0,0,0,spot news
44,2017-10-11,SHEPHERD,Price Limit Open,0,0,0,price limit open
45,2017-10-11,SHEPHERD,Dividend Declaration,0,0,0,dividend declaration
46,2017-10-03,SHEPHERD,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
47,2017-04-25,SHEPHERD,Q3 Financials,0,1,0,q3 financials
48,2017-04-18,SHEPHERD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
49,2017-03-08,SHEPHERD,Q2,1,1,0,q2
50,2017-03-08,SHEPHERD,Prohibition on providing loan facilities to purchase securities,1,1,0,prohibition on providing loan facilities to purchase securities
51,2017-03-08,SHEPHERD,Trading of New Security,1,1,0,trading of new security
52,2017-03-07,SHEPHERD,Q2,0,1,1,q2
53,2017-03-07,SHEPHERD,trade debut,0,1,1,trade debut
