,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,SHURWID,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-03-20,SHURWID,Board Decision to engage in business of IT Enabled Service,0,1,0,board decision to engage in business of it enabled service
2,2019-01-31,SHURWID,Q2 Financials,0,0,0,q2 financials
3,2019-01-24,SHURWID,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-01-02,SHURWID,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
5,2019-01-02,SHURWID,Category Change,1,0,0,category change
6,2019-01-02,SHURWID,Dividend Disbursement,1,0,0,dividend disbursement
7,2018-11-15,SHURWID,Resumption after Record Date,0,0,0,resumption after record date
8,2018-11-14,SHURWID,Suspension for Record Date,0,0,0,suspension for record date
9,2018-11-11,SHURWID,Decision to expand factory premises of the Company,0,0,0,decision to expand factory premises of the company
10,2018-11-11,SHURWID,Q1 Financials,0,0,0,q1 financials
11,2018-11-07,SHURWID,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
12,2018-11-01,SHURWID,Spot News,0,0,0,spot news
13,2018-10-28,SHURWID,Price Limit Open,0,1,1,price limit open
14,2018-10-28,SHURWID,Dividend Declaration,0,1,1,dividend declaration
15,2018-10-23,SHURWID,Appointment of Managing Director and CEO,0,0,0,appointment of managing director and ceo
16,2018-10-15,SHURWID,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-09-25,SHURWID,Agreement between guarantors of company & NRB Bank to settle liabilities,0,0,0,agreement between guarantors of company  nrb bank to settle liabilities
19,2018-09-19,SHURWID,Query Response,0,0,0,query response
20,2018-07-15,SHURWID,Query Response,1,0,1,query response
21,2018-05-24,SHURWID,Special resolutions passed in the AGM,0,0,0,special resolutions passed in the agm
22,2018-05-24,SHURWID,Special resolutions passed in the AGM,0,0,0,special resolutions passed in the agm
23,2018-05-24,SHURWID,Special resolutions passed in the AGM,0,0,0,special resolutions passed in the agm
24,2018-05-13,SHURWID,Approval of Titas Gas for Gas connection,0,0,1,approval of titas gas for gas connection
26,2018-04-30,SHURWID,Special Agenda on reduction of paid up share capital in the AGM,0,0,0,special agenda on reduction of paid up share capital in the agm
27,2018-04-16,SHURWID,Q3 Financials,0,0,0,q3 financials
28,2018-04-09,SHURWID,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
29,2018-03-01,SHURWID,Address Change of Share Department,1,0,0,address change of share department
30,2018-03-01,SHURWID,AGM for the calendar year 2017,1,0,0,agm for the calendar year 2017
34,2018-02-28,SHURWID,Court Verdict on pending AGM for the calendar year 2017,0,1,0,court verdict on pending agm for the calendar year 2017
35,2018-02-14,SHURWID,Reduction of fixed assets for handing over leased assets,1,0,0,reduction of fixed assets for handing over leased assets
38,2018-02-11,SHURWID,Basis for Qualified Opinion & Emphasis of Matter,1,0,1,basis for qualified opinion  emphasis of matter
39,2018-01-31,SHURWID,Q2 Financials,0,1,0,q2 financials
40,2018-01-24,SHURWID,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2018-01-10,SHURWID,Interim Court Order regarding the pending AGM,1,0,0,interim court order regarding the pending agm
42,2017-12-26,SHURWID,Postponement of AGM,0,1,0,postponement of agm
43,2017-11-30,SHURWID,Resumption after record date,0,0,0,resumption after record date
44,2017-11-29,SHURWID,Suspension for Record Date,0,0,0,suspension for record date
45,2017-11-16,SHURWID,Spot for AGM,0,0,0,spot for agm
46,2017-11-15,SHURWID,Q1 Financials,1,0,0,q1 financials
47,2017-11-09,SHURWID,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
48,2017-10-29,SHURWID,Address change of Main Office & Share Department,1,1,0,address change of main office  share department
49,2017-10-29,SHURWID,Price Limit Open,1,1,0,price limit open
50,2017-10-29,SHURWID,Dividend Declaration,1,1,0,dividend declaration
51,2017-10-22,SHURWID,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
52,2017-10-08,SHURWID,"Resign & appointment of directors, amending Articles of Association",0,0,1,"resign  appointment of directors, amending articles of association"
53,2017-10-08,SHURWID,"Resign & appointment of directors, amending Articles of Association",0,0,1,"resign  appointment of directors, amending articles of association"
54,2017-10-08,SHURWID,"Elected Chairman, Vice Chairman and Managing Director & CEO",0,0,1,"elected chairman, vice chairman and managing director  ceo"
55,2017-10-05,SHURWID,Resignation of all the Directors of the Company,1,0,0,resignation of all the directors of the company
56,2017-09-11,SHURWID,Resumption after Record Date,0,0,0,resumption after record date
57,2017-09-10,SHURWID,Suspension for Record Date,0,0,0,suspension for record date
58,2017-08-27,SHURWID,Spot News for EGM,1,0,0,spot news for egm
60,2017-08-13,SHURWID,Response to DSE's query,0,0,0,response to dse's query
61,2017-08-13,SHURWID,EGM to handover the management of the Company (Additional Information),0,0,0,egm to handover the management of the company additional information
62,2017-08-13,SHURWID,EGM to handover the Management of the Company,0,0,0,egm to handover the management of the company
63,2017-08-13,SHURWID,EGM to handover the Management of the Company,0,0,0,egm to handover the management of the company
64,2017-08-06,SHURWID,Agreement signing to change the Management,1,0,0,agreement signing to change the management
66,2017-07-30,SHURWID,Decision to sign an agreement to hand over the Management,1,0,0,decision to sign an agreement to hand over the management
67,2017-05-30,SHURWID,Query Response,1,0,0,query response
68,2017-04-30,SHURWID,Q3 Financials,0,0,0,q3 financials
69,2017-04-23,SHURWID,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
70,2017-03-01,SHURWID,Change of Address,0,0,0,change of address
71,2017-01-30,SHURWID,Q2 Financials,0,1,0,q2 financials
72,2017-01-23,SHURWID,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
73,2017-01-02,SHURWID,Query Response,0,0,1,query response
74,2016-12-20,SHURWID,Emphasis of Matter,0,1,1,emphasis of matter
75,2016-11-24,SHURWID,Response to DSE's query,0,0,0,response to dse's query
76,2016-11-17,SHURWID,Resumption after record date,1,0,0,resumption after record date
77,2016-11-16,SHURWID,Suspension for record date,0,1,0,suspension for record date
78,2016-11-15,SHURWID,Q1 Financials,0,0,1,q1 financials
79,2016-11-10,SHURWID,Board Meeting,0,0,0,board meeting
80,2016-11-03,SHURWID,Spot for AGM,0,0,0,spot for agm
81,2016-11-03,SHURWID,Time Change of the 12th AGM,0,0,0,time change of the 12th agm
82,2016-10-26,SHURWID,Price Limit Open,0,0,0,price limit open
83,2016-10-26,SHURWID,Dividend Declaration,0,0,0,dividend declaration
84,2016-10-23,SHURWID,Reschedule of Board Meeting schedule under LR 19(1),0,0,1,reschedule of board meeting schedule under lr 191
85,2016-10-13,SHURWID,Board Meeting,0,0,0,board meeting
86,2016-05-30,SHURWID,"Date, Time & Venue of the 5th EGM and 11th AGM as per court order",0,1,0,"date, time  venue of the 5th egm and 11th agm as per court order"
87,2016-04-19,SHURWID,Q3 Financials,0,0,0,q3 financials
88,2016-04-12,SHURWID,Board Meeting,0,1,0,board meeting
89,2016-03-06,SHURWID,Postponement of 5th EGM and 11th AGM,0,0,0,postponement of 5th egm and 11th agm
90,2016-02-28,SHURWID,Q2 Financials,0,0,0,q2 financials
91,2016-02-23,SHURWID,Resumption after Record date,0,0,1,resumption after record date
92,2016-02-22,SHURWID,Board Meeting,0,0,0,board meeting
93,2016-02-22,SHURWID,Suspension for Record Date,0,0,0,suspension for record date
94,2016-02-18,SHURWID,Q1 Financials,0,0,0,q1 financials
95,2016-02-14,SHURWID,Board Meeting,0,0,0,board meeting
96,2016-02-08,SHURWID,Spot for EGM & AGM,0,0,0,spot for egm  agm
97,2016-01-28,SHURWID,Prohibition on providing loan facilities to purchase securities,1,0,0,prohibition on providing loan facilities to purchase securities
98,2016-01-28,SHURWID,Category Change,1,0,0,category change
99,2016-01-28,SHURWID,Price Limit Open,1,0,0,price limit open
100,2016-01-28,SHURWID,Dividend Declaration and Fixed Assets Selling,1,0,0,dividend declaration and fixed assets selling
101,2016-01-21,SHURWID,Board Meeting,1,0,0,board meeting
102,2015-11-25,SHURWID,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
103,2015-11-25,SHURWID,Category Change,0,1,0,category change
104,2015-10-13,SHURWID,EGM & AGM,0,0,1,egm  agm
105,2015-10-12,SHURWID,Record Date for EGM & AGM,0,0,0,record date for egm  agm
106,2015-10-12,SHURWID,AGM,0,0,0,agm
107,2015-10-08,SHURWID,Spot News,0,0,0,spot news
108,2015-10-04,SHURWID,Revised Record Date and EGM,1,0,0,revised record date and egm
109,2015-10-01,SHURWID,EGM for increasing Authorized Capital,1,0,0,egm for increasing authorized capital
110,2015-09-02,SHURWID,Query Response,1,1,0,query response
111,2015-06-23,SHURWID,Query Response,0,0,1,query response
112,2015-05-21,SHURWID,Query Response,1,0,0,query response
113,2015-05-20,SHURWID,Q3 Financials (Repeat),1,1,0,q3 financials repeat
114,2015-05-04,SHURWID,Q3,0,0,1,q3
115,2015-02-01,SHURWID,Half Yearly Financials,0,0,1,half yearly financials
116,2015-01-22,SHURWID,Company News,0,0,0,company news
117,2015-01-20,SHURWID,credited the bonus shares,0,0,0,credited the bonus shares
118,2015-01-11,SHURWID,NAV,0,1,1,nav
119,2014-12-24,SHURWID,EGM and AGM Date,0,0,0,egm and agm date
120,2014-12-21,SHURWID,AGM & EGM will be notified later on,0,0,0,agm  egm will be notified later on
121,2014-11-20,SHURWID,Trade Resume,0,0,0,trade resume
122,2014-11-19,SHURWID,Trade Suspended,1,0,0,trade suspended
123,2014-11-17,SHURWID,Spot Market and Block/Odd lot transactions,0,1,1,spot market and blockodd lot transactions
124,2014-11-16,SHURWID,Q1,0,0,1,q1
125,2014-11-06,SHURWID,takes new warehouse,1,0,0,takes new warehouse
126,2014-10-28,SHURWID,recommended 15% stock dividend,0,1,1,recommended 15 stock dividend
127,2014-10-21,SHURWID,meeting of the Board of Directors,1,1,0,meeting of the board of directors
128,2014-09-07,Shurwid,Industries Limited Q3 Earning,0,1,1,industries limited q3 earning
129,2014-09-04,SHURWID,trade debut,0,0,0,trade debut
