,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,SHYAMPSUG,Q3 Financials,0,1,0,q3 financials
1,2019-04-28,SHYAMPSUG,Reschedule of Board Meeting under LR 16(1),1,0,1,reschedule of board meeting under lr 161
2,2019-04-28,SHYAMPSUG,Reschedule of Board Meeting under LR 16(1),1,0,1,reschedule of board meeting under lr 161
3,2019-04-21,SHYAMPSUG,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-01-30,SHYAMPSUG,Q2 Financials,0,0,0,q2 financials
5,2019-01-28,SHYAMPSUG,Credit Rating Result,1,0,0,credit rating result
6,2019-01-21,SHYAMPSUG,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
7,2019-01-02,SHYAMPSUG,Query Response,1,0,0,query response
9,2018-12-05,SHYAMPSUG,Emphasis of Matter,1,0,0,emphasis of matter
10,2018-11-18,SHYAMPSUG,Resumption after record date,0,0,0,resumption after record date
11,2018-11-15,SHYAMPSUG,Suspension for Record Date,1,0,0,suspension for record date
12,2018-11-13,SHYAMPSUG,Query Response,0,0,1,query response
13,2018-11-04,SHYAMPSUG,Spot News,0,0,0,spot news
14,2018-10-29,SHYAMPSUG,Q1 Financials,1,1,0,q1 financials
15,2018-10-29,SHYAMPSUG,Price Limit Open,1,1,0,price limit open
16,2018-10-29,SHYAMPSUG,Dividend Declaration,1,1,0,dividend declaration
17,2018-10-18,SHYAMPSUG,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
18,2018-08-07,SHYAMPSUG,Query Response,0,0,0,query response
19,2018-07-19,SHYAMPSUG,Query Response,0,0,0,query response
20,2018-06-03,SHYAMPSUG,Query Response,0,0,1,query response
21,2018-04-25,SHYAMPSUG,Q3 Financials,0,0,0,q3 financials
22,2018-04-17,SHYAMPSUG,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
23,2018-02-14,SHYAMPSUG,Query Response,0,0,0,query response
24,2018-02-13,SHYAMPSUG,Q2 Financials (Repeat),1,0,0,q2 financials repeat
25,2018-01-28,SHYAMPSUG,Q2 Financials,0,1,0,q2 financials
26,2018-01-23,SHYAMPSUG,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
27,2017-12-13,SHYAMPSUG,Query Response,1,0,0,query response
28,2017-12-12,SHYAMPSUG,Q1 Financials (Repeat News),1,1,0,q1 financials repeat news
29,2017-11-22,SHYAMPSUG,Change of AGM Date and Time,1,0,0,change of agm date and time
30,2017-11-22,SHYAMPSUG,Query Response,1,0,0,query response
31,2017-11-16,SHYAMPSUG,Resumption after record date,0,0,0,resumption after record date
32,2017-11-15,SHYAMPSUG,Suspension for Record Date,1,0,0,suspension for record date
33,2017-11-02,SHYAMPSUG,Spot News,0,0,0,spot news
34,2017-10-26,SHYAMPSUG,Q1 Financials,0,0,0,q1 financials
35,2017-10-26,SHYAMPSUG,Price Limit Open,0,0,0,price limit open
36,2017-10-26,SHYAMPSUG,Dividend Declaration,0,0,0,dividend declaration
37,2017-10-22,SHYAMPSUG,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
38,2017-10-19,SHYAMPSUG,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
39,2017-08-29,SHYAMPSUG,Query Response,0,1,1,query response
40,2017-04-26,SHYAMPSUG,Q3 Financials,0,0,0,q3 financials
41,2017-04-19,SHYAMPSUG,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
42,2017-01-23,SHYAMPSUG,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
43,2016-12-29,SHYAMPSUG,Query Response (Repeat),0,0,0,query response repeat
44,2016-12-28,SHYAMPSUG,Query Response,1,0,0,query response
45,2016-12-26,SHYAMPSUG,Enquiry Committee formation by BSEC,1,1,1,enquiry committee formation by bsec
46,2016-12-06,SHYAMPSUG,Dse Query,1,0,0,dse query
47,2016-11-17,SHYAMPSUG,Resumption after record date,1,0,0,resumption after record date
48,2016-11-16,SHYAMPSUG,Suspension for record date,0,1,0,suspension for record date
49,2016-11-03,SHYAMPSUG,Spot for AGM,0,0,0,spot for agm
50,2016-10-27,SHYAMPSUG,Q1 Financials,0,0,0,q1 financials
51,2016-10-27,SHYAMPSUG,Price Limit Open,0,0,0,price limit open
52,2016-10-27,SHYAMPSUG,Dividend Declaration,0,0,0,dividend declaration
53,2016-10-19,SHYAMPSUG,Board Meeting,0,1,0,board meeting
54,2016-08-11,SHYAMPSUG,Response by the Company of DSE Letter (Repeat),0,0,0,response by the company of dse letter repeat
55,2016-08-10,SHYAMPSUG,Response by the Company,0,0,0,response by the company
56,2016-07-26,SHYAMPSUG,Query Response,1,0,0,query response
57,2016-07-26,SHYAMPSUG,Query Response,1,0,0,query response
