,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-07,SINGERBD,Appointment of the Chairman,0,1,0,appointment of the chairman
1,2019-03-24,SINGERBD,Resumption after record date,0,0,0,resumption after record date
4,2019-03-24,SINGERBD,Regarding execution of the SPA by Retail Holdings Asia B.V.,0,0,0,regarding execution of the spa by retail holdings asia b.v.
5,2019-03-21,SINGERBD,Suspension for Record date,1,0,0,suspension for record date
6,2019-03-19,SINGERBD,Spot News,0,0,1,spot news
7,2019-03-03,SINGERBD,Price Limit Open,0,0,1,price limit open
9,2019-03-03,SINGERBD,Dividend Declaration,0,0,1,dividend declaration
10,2019-02-20,SINGERBD,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
11,2018-10-29,SINGERBD,Q3 Financials,1,0,0,q3 financials
12,2018-10-24,SINGERBD,Reschedule of Board Meeting under LR 16(1),0,1,0,reschedule of board meeting under lr 161
13,2018-10-21,SINGERBD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
14,2018-10-02,SINGERBD,Credit Rating Result,0,0,1,credit rating result
17,2018-07-31,SINGERBD,Q2 Financials,0,0,0,q2 financials
18,2018-07-24,SINGERBD,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
20,2018-07-17,SINGERBD,Query Response on a news published in the newspaper,0,1,0,query response on a news published in the newspaper
21,2018-07-16,SINGERBD,Query Response,0,0,1,query response
22,2018-06-20,SINGERBD,Dividend Disbursement,1,0,0,dividend disbursement
23,2018-05-15,SINGERBD,Q1 Financials,1,0,0,q1 financials
24,2018-05-08,SINGERBD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2018-04-09,SINGERBD,Resumption after record date,0,0,0,resumption after record date
26,2018-04-08,SINGERBD,Suspension for Record Date,0,0,0,suspension for record date
27,2018-04-04,SINGERBD,Spot News,1,1,0,spot news
28,2018-03-18,SINGERBD,Price Limit Open,0,0,1,price limit open
29,2018-03-18,SINGERBD,Dividend Declaration,0,0,1,dividend declaration
30,2018-03-18,SINGERBD,Dividend Declaration,0,0,1,dividend declaration
31,2018-03-07,SINGERBD,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
32,2017-10-26,SINGERBD,Sale confirmation of a Corporate Sponsor,1,0,0,sale confirmation of a corporate sponsor
33,2017-10-23,SINGERBD,Credit Rating Result,1,1,1,credit rating result
34,2017-10-17,SINGERBD,Q3 Financials,0,0,0,q3 financials
35,2017-10-11,SINGERBD,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
36,2017-10-04,SINGERBD,Sale declaration of a Corporate Sponsor,0,0,0,sale declaration of a corporate sponsor
37,2017-09-26,SINGERBD,Sale confirmation of a Corporate Sponsor,0,0,0,sale confirmation of a corporate sponsor
38,2017-09-10,SINGERBD,Sale declaration of a Corporate Sponsor,0,1,1,sale declaration of a corporate sponsor
39,2017-07-26,SINGERBD,Q2 Financials,0,0,0,q2 financials
40,2017-07-19,SINGERBD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
41,2017-06-19,SINGERBD,Sale confirmation of a Corporate Sponsor,1,1,0,sale confirmation of a corporate sponsor
42,2017-06-14,SINGERBD,Sale declaration of a Corporate Sponsor,0,1,0,sale declaration of a corporate sponsor
43,2017-06-14,SINGERBD,Dividend Disbursement,0,1,0,dividend disbursement
44,2017-05-11,SINGERBD,Q1 Financials,0,0,0,q1 financials
45,2017-05-03,SINGERBD,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
46,2017-04-19,SINGERBD,Sale confirmation of a Corporate Sponsor,0,0,0,sale confirmation of a corporate sponsor
47,2017-04-05,SINGERBD,Sale declaration of a Corporate Sponsor,0,0,0,sale declaration of a corporate sponsor
48,2017-03-20,SINGERBD,Resumption after record date,0,0,0,resumption after record date
49,2017-03-19,SINGERBD,Suspension for Record Date,0,0,0,suspension for record date
50,2017-03-15,SINGERBD,Spot News,0,0,0,spot news
51,2017-02-27,SINGERBD,Revaluation of Freehold,0,0,0,revaluation of freehold
52,2017-02-27,SINGERBD,Price Limit Open,0,0,0,price limit open
53,2017-02-27,SINGERBD,Dividend Declaration,0,0,0,dividend declaration
54,2016-10-26,SINGERBD,Q3 Financials,0,0,0,q3 financials
55,2016-10-23,SINGERBD,Credit Rating Result,0,0,0,credit rating result
56,2016-10-19,SINGERBD,Board Meeting,0,1,0,board meeting
57,2016-10-18,SINGERBD,Confirmation of sale by a Corporate Sponsor,1,0,1,confirmation of sale by a corporate sponsor
58,2016-10-06,SINGERBD,Confirmation of sale by a Corporate Sponsor,0,0,0,confirmation of sale by a corporate sponsor
59,2016-10-06,SINGERBD,Declaration of sale by a Corporate Sponsor,0,0,0,declaration of sale by a corporate sponsor
60,2016-10-03,SINGERBD,Confirmation of sale by a Corporate Sponsor,1,1,1,confirmation of sale by a corporate sponsor
61,2016-10-02,SINGERBD,Declaration of sale by a Corporate Sponsor,0,1,1,declaration of sale by a corporate sponsor
62,2016-09-27,SINGERBD,Declaration of sale by a Corporate Sponsor,0,0,0,declaration of sale by a corporate sponsor
63,2016-09-07,SINGERBD,Appointment of Managing Director & CEO,1,0,0,appointment of managing director  ceo
64,2016-07-27,SINGERBD,Q2 Financials,1,1,0,q2 financials
65,2016-07-20,SINGERBD,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
66,2016-05-05,SINGERBD,Q1 Financials,0,0,0,q1 financials
67,2016-04-27,SINGERBD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
68,2016-03-23,SINGERBD, Resumption after Record date,0,0,0,resumption after record date
69,2016-03-22,SINGERBD,Suspension for Record date,0,0,0,suspension for record date
70,2016-03-20,SINGERBD,Spot for AGM,0,0,0,spot for agm
71,2016-03-02,SINGERBD,Price Limit Open,1,0,0,price limit open
