,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,SINOBANGLA,Q3 Financials,0,1,0,q3 financials
1,2019-04-23,SINOBANGLA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-03-04,SINOBANGLA,Dividend Disbursement,0,0,0,dividend disbursement
3,2019-01-30,SINOBANGLA,Q2 Financials,0,0,0,q2 financials
4,2019-01-23,SINOBANGLA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
6,2019-01-03,SINOBANGLA,Procurement of Capital Machineries to Increase Production Capacity,1,0,0,procurement of capital machineries to increase production capacity
7,2018-12-18,SINOBANGLA,Credit Rating Result,1,1,0,credit rating result
8,2018-12-05,SINOBANGLA,Resumption after record date,0,0,0,resumption after record date
9,2018-12-04,SINOBANGLA,Suspension for Record date,1,0,0,suspension for record date
10,2018-12-02,SINOBANGLA,Spot News,1,1,1,spot news
11,2018-11-15,SINOBANGLA,Q1 Financials,0,0,0,q1 financials
12,2018-11-08,SINOBANGLA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-10-29,SINOBANGLA,Price Limit Open,1,1,0,price limit open
14,2018-10-29,SINOBANGLA,Dividend Declaration,1,1,0,dividend declaration
15,2018-10-18,SINOBANGLA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
16,2018-07-09,SINOBANGLA,Query Response,1,1,0,query response
17,2018-05-14,SINOBANGLA,Query Response,0,1,0,query response
18,2018-05-03,SINOBANGLA,Q3 Financials,1,0,0,q3 financials
19,2018-04-24,SINOBANGLA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
20,2018-02-27,SINOBANGLA,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
21,2018-02-27,SINOBANGLA,Category Change,0,0,0,category change
22,2018-02-19,SINOBANGLA,Dividend Disbursement,1,0,0,dividend disbursement
23,2018-01-31,SINOBANGLA,Q2 Financials,0,1,0,q2 financials
24,2018-01-24,SINOBANGLA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-12-18,SINOBANGLA,Credit Rating Result,0,0,0,credit rating result
26,2017-11-27,SINOBANGLA,Resumption after record date,0,0,0,resumption after record date
27,2017-11-26,SINOBANGLA,Suspension for Record Date,1,0,0,suspension for record date
28,2017-11-14,SINOBANGLA,Q1 Financials,1,0,0,q1 financials
29,2017-11-13,SINOBANGLA,Spot News for EGM & AGM,0,1,0,spot news for egm  agm
30,2017-11-08,SINOBANGLA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2017-10-29,SINOBANGLA,Price Limit Open,0,0,0,price limit open
33,2017-10-29,SINOBANGLA,Dividend Declaration & EGM for amendment in AOA,0,0,0,dividend declaration  egm for amendment in aoa
34,2017-10-19,SINOBANGLA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
35,2017-07-30,SINOBANGLA,Query Response,0,1,1,query response
36,2017-06-19,SINOBANGLA,Query Response,0,1,1,query response
37,2017-04-30,SINOBANGLA,Q3 Financials,0,0,1,q3 financials
38,2017-04-23,SINOBANGLA,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
39,2017-01-31,SINOBANGLA,Q2 Financials,0,0,1,q2 financials
40,2017-01-24,SINOBANGLA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
41,2017-01-24,SINOBANGLA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
42,2016-12-20,SINOBANGLA,Credit Rating,0,0,0,credit rating
43,2016-12-20,SINOBANGLA,Credit Rating Result,0,0,0,credit rating result
44,2016-12-18,SINOBANGLA,Factory expansion,0,0,0,factory expansion
45,2016-11-23,SINOBANGLA,Suspension for record date,1,1,0,suspension for record date
46,2016-11-13,SINOBANGLA,Q1 Financials,0,0,1,q1 financials
47,2016-11-13,SINOBANGLA,Q1 Financials,0,0,1,q1 financials
48,2016-11-10,SINOBANGLA,Spot for AGM,0,0,0,spot for agm
49,2016-11-07,SINOBANGLA,Board Meeting,0,1,0,board meeting
50,2016-10-30,SINOBANGLA,Prohibition on providing loan,0,0,1,prohibition on providing loan
51,2016-10-30,SINOBANGLA,Category Change,0,0,1,category change
52,2016-10-30,SINOBANGLA,Price Limit Open,0,0,1,price limit open
53,2016-10-30,SINOBANGLA,Dividend Declaration,0,0,1,dividend declaration
54,2016-10-19,SINOBANGLA,Board Meeting,0,0,0,board meeting
55,2016-06-13,SINOBANGLA,Dividend Disbursement,0,0,1,dividend disbursement
56,2016-05-30,SINOBANGLA,Q2 Financials,0,0,0,q2 financials
57,2016-05-22,SINOBANGLA,Board Meeting,1,0,1,board meeting
58,2016-03-16,SINOBANGLA,Resumption after Record date,0,0,0,resumption after record date
59,2016-03-15,SINOBANGLA,Suspension for Record date,0,0,0,suspension for record date
60,2016-03-14,SINOBANGLA,Q1,0,0,0,q1
61,2016-03-13,SINOBANGLA,Spot for AGM,0,0,0,spot for agm
62,2016-02-28,SINOBANGLA,Price Limit Open,1,0,0,price limit open
63,2016-02-28,SINOBANGLA,Dividend Declaration,1,0,0,dividend declaration
64,2016-02-18,SINOBANGLA, Board Meeting,1,0,0,board meeting
65,2015-12-29,SINOBANGLA, Credit Rating Result,1,0,1,credit rating result
66,2015-10-21,SINOBANGLA,Address Change of Registered Office,1,0,0,address change of registered office
67,2015-08-30,SINOBANGLA,Q3 Financials,1,1,1,q3 financials
68,2015-06-15,SINOBANGLA,Dividend Disbursement,1,1,0,dividend disbursement
69,2015-05-28,SINOBANGLA,Half Yearly Financials,0,0,0,half yearly financials
70,2015-03-19,SINOBANGLA,Resumption News after Record Date,0,0,0,resumption news after record date
71,2015-03-18,SINOBANGLA,Suspension News for Record date,1,0,0,suspension news for record date
72,2015-03-15,SINOBANGLA,Q1 Financials,0,0,0,q1 financials
73,2015-03-15,SINOBANGLA,Spot News for AGM,0,0,0,spot news for agm
