,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,SKTRIMS,Credit Rating Result,0,1,0,credit rating result
1,2019-04-24,SKTRIMS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
2,2019-03-10,SKTRIMS,Investment decision by the Board of Directors,1,1,0,investment decision by the board of directors
3,2019-02-07,SKTRIMS,Board decision to invest in Dominage Steel (Additional Information),0,0,0,board decision to invest in dominage steel additional information
4,2019-02-07,SKTRIMS,Board decision to invest in Dominage Steel Building Systems Limited,0,0,0,board decision to invest in dominage steel building systems limited
5,2019-01-31,SKTRIMS,Q2 Financials,0,0,0,q2 financials
6,2019-01-27,SKTRIMS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
7,2019-01-23,SKTRIMS,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
8,2019-01-23,SKTRIMS,Category Change,0,1,0,category change
9,2019-01-23,SKTRIMS,Dividend Disbursement,0,1,0,dividend disbursement
10,2018-12-05,SKTRIMS,To invest 30% shares of Shahjalal Asset Management Limited,0,0,0,to invest 30 shares of shahjalal asset management limited
11,2018-11-22,SKTRIMS,Resumption after record date,0,0,0,resumption after record date
12,2018-11-20,SKTRIMS,Suspension for Record date,1,0,0,suspension for record date
13,2018-11-18,SKTRIMS,Spot News,1,1,1,spot news
14,2018-11-15,SKTRIMS,Q1 Financials,1,0,0,q1 financials
15,2018-11-11,SKTRIMS,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
16,2018-10-29,SKTRIMS,Price Limit Open,1,1,1,price limit open
18,2018-10-29,SKTRIMS,Dividend Declaration,1,1,1,dividend declaration
19,2018-10-21,SKTRIMS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
20,2018-10-07,SKTRIMS,Board Decision to invest Tk. 4.50 crore in Anik Trims Limited,0,0,0,board decision to invest tk. 4.50 crore in anik trims limited
21,2018-10-02,SKTRIMS,Query Response,1,1,0,query response
23,2018-07-15,SKTRIMS,Q3 Financials,1,1,0,q3 financials
27,2018-07-15,SKTRIMS,Q3 Financials,1,1,0,q3 financials
28,2018-07-15,SKTRIMS,Prohibition on providing loan facilities to purchase securities,1,1,0,prohibition on providing loan facilities to purchase securities
29,2018-07-15,SKTRIMS,Trading of New Security,1,1,0,trading of new security
