,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,SONARBAINS,Q1 Financials,0,1,0,q1 financials
1,2019-04-28,SONARBAINS,Price Limit Open,0,1,0,price limit open
2,2019-04-28,SONARBAINS,Dividend Declaration,0,1,0,dividend declaration
3,2019-04-21,SONARBAINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-04-21,SONARBAINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
5,2019-01-15,SONARBAINS,Query Response,0,0,0,query response
6,2018-10-23,SONARBAINS,Q3 Financials,0,1,0,q3 financials
7,2018-10-15,SONARBAINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
8,2018-08-07,SONARBAINS,Dividend Disbursement,0,0,0,dividend disbursement
9,2018-07-26,SONARBAINS,Q2 Financials,0,0,0,q2 financials
10,2018-07-22,SONARBAINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
11,2018-06-25,SONARBAINS,Credit Rating Result,1,0,1,credit rating result
12,2018-05-24,SONARBAINS,Resumption after record date,0,0,0,resumption after record date
13,2018-05-23,SONARBAINS,Suspension for Record Date,0,0,0,suspension for record date
14,2018-05-21,SONARBAINS,Spot News,1,0,0,spot news
15,2018-05-03,SONARBAINS,Q1 Financials,0,0,0,q1 financials
16,2018-05-03,SONARBAINS,Price Limit Open,0,0,0,price limit open
17,2018-05-03,SONARBAINS,Dividend Declaration,0,0,0,dividend declaration
18,2018-04-23,SONARBAINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
19,2017-10-31,SONARBAINS,Q3 Financials,0,0,0,q3 financials
20,2017-10-23,SONARBAINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
21,2017-08-17,SONARBAINS,Dividend Disbursement,0,0,0,dividend disbursement
22,2017-08-17,SONARBAINS,Buy confirmations of Sponsors Directors,0,0,0,buy confirmations of sponsors directors
