,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,SOUTHEASTB,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
1,2018-10-30,SOUTHEASTB,Q3 Financials,1,0,0,q3 financials
2,2018-10-23,SOUTHEASTB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
3,2018-07-30,SOUTHEASTB,Q2 Financials,1,1,1,q2 financials
4,2018-07-23,SOUTHEASTB,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2018-07-04,SOUTHEASTB,Dividend Disbursement,0,0,0,dividend disbursement
6,2018-06-28,SOUTHEASTB,Credit Rating Result,0,0,0,credit rating result
7,2018-06-27,SOUTHEASTB,Buy confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
8,2018-06-19,SOUTHEASTB,Buy Declaration of a Sponsor Director,1,0,0,buy declaration of a sponsor director
9,2018-06-18,SOUTHEASTB,Buy confirmation of a Sponsor Director,0,1,0,buy confirmation of a sponsor director
10,2018-06-05,SOUTHEASTB,Buy Declaration of a Sponsor Director,1,1,1,buy declaration of a sponsor director
11,2018-06-04,SOUTHEASTB,Buy Confirmation of a Director,0,1,1,buy confirmation of a director
12,2018-05-27,SOUTHEASTB,Buy Declaration of a Director,0,0,0,buy declaration of a director
13,2018-05-23,SOUTHEASTB,Resumption after record date,0,1,0,resumption after record date
14,2018-05-22,SOUTHEASTB,Suspension for Record Date,0,0,1,suspension for record date
15,2018-05-22,SOUTHEASTB,Date change of the AGM,0,0,1,date change of the agm
16,2018-05-21,SOUTHEASTB,Buy Confirmation of a Director,1,0,0,buy confirmation of a director
17,2018-05-20,SOUTHEASTB,Spot News,0,1,0,spot news
18,2018-05-15,SOUTHEASTB,Buy declaration of a Director,0,0,0,buy declaration of a director
19,2018-05-14,SOUTHEASTB,Q1 Financials,0,0,0,q1 financials
20,2018-05-07,SOUTHEASTB,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
21,2018-05-07,SOUTHEASTB,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
22,2018-04-30,SOUTHEASTB,Price Limit Open,0,0,0,price limit open
23,2018-04-30,SOUTHEASTB,Dividend Declaration,0,0,0,dividend declaration
24,2018-04-19,SOUTHEASTB,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
25,2018-04-05,SOUTHEASTB,Board decision to sell 13 decimals land with 5 storied old building,1,0,0,board decision to sell 13 decimals land with 5 storied old building
26,2018-03-08,SOUTHEASTB,BSEC approval to issue 7-Years Floating Non-Convertible Bond,0,0,0,bsec approval to issue 7-years floating non-convertible bond
27,2017-10-30,SOUTHEASTB,Q3 Financials,1,0,1,q3 financials
29,2017-10-30,SOUTHEASTB,Issuing Non Convertible Subordinated Bond & forming a Subsidiary,1,0,1,issuing non convertible subordinated bond  forming a subsidiary
30,2017-10-23,SOUTHEASTB,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
31,2017-08-27,SOUTHEASTB,Non consideration of Rights issuance by BSEC,1,1,0,non consideration of rights issuance by bsec
32,2017-07-26,SOUTHEASTB,Q2 Financials,0,1,0,q2 financials
33,2017-07-19,SOUTHEASTB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
34,2017-07-04,SOUTHEASTB,Dividend Disbursement,1,1,1,dividend disbursement
35,2017-06-21,SOUTHEASTB,Appointment of Managing Director,0,1,0,appointment of managing director
36,2017-06-05,SOUTHEASTB,Credit Rating Result,0,0,0,credit rating result
37,2017-05-15,SOUTHEASTB,Q1 Financials,0,0,1,q1 financials
38,2017-05-07,SOUTHEASTB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
39,2017-04-27,SOUTHEASTB,Resumption after Record Date,0,0,0,resumption after record date
40,2017-04-26,SOUTHEASTB,Suspension for Record Date,1,0,0,suspension for record date
41,2017-04-24,SOUTHEASTB,Spot News for EGM & AGM,0,1,1,spot news for egm  agm
42,2017-04-09,SOUTHEASTB,Price Limit Open,0,0,0,price limit open
