,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,SPCERAMICS,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,SPCERAMICS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-01-31,SPCERAMICS,Q2 Financials,0,0,0,q2 financials
4,2019-01-23,SPCERAMICS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-07,SPCERAMICS,Query Response,0,0,0,query response
6,2018-11-26,SPCERAMICS,Resumption after record date,0,0,0,resumption after record date
7,2018-11-25,SPCERAMICS,Suspension for Record date,0,0,0,suspension for record date
8,2018-11-14,SPCERAMICS,Q1 Financials,0,0,0,q1 financials
9,2018-11-11,SPCERAMICS,Spot News,0,0,0,spot news
10,2018-11-07,SPCERAMICS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
11,2018-10-28,SPCERAMICS,Price Limit Open,0,1,1,price limit open
12,2018-10-28,SPCERAMICS,Dividend Declaration,0,1,1,dividend declaration
13,2018-10-18,SPCERAMICS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
14,2018-07-22,SPCERAMICS,Query Response,1,0,0,query response
15,2018-07-15,SPCERAMICS,Credit Rating Result,0,0,1,credit rating result
16,2018-04-30,SPCERAMICS,Q3 Financials,0,0,0,q3 financials
17,2018-04-23,SPCERAMICS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
18,2018-01-30,SPCERAMICS,Q2 Financials,0,0,1,q2 financials
19,2018-01-22,SPCERAMICS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
20,2017-11-15,SPCERAMICS,Resumption after record date,0,0,0,resumption after record date
21,2017-11-14,SPCERAMICS,Suspension for Record Date,1,0,0,suspension for record date
22,2017-11-14,SPCERAMICS,Q1 Financials,1,0,0,q1 financials
23,2017-11-07,SPCERAMICS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
24,2017-11-01,SPCERAMICS,Spot News,1,0,0,spot news
25,2017-10-26,SPCERAMICS,Price Limit Open,1,0,0,price limit open
27,2017-10-26,SPCERAMICS,Dividend Declaration,1,0,0,dividend declaration
28,2017-10-22,SPCERAMICS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
29,2017-10-05,SPCERAMICS,Query Response,0,0,0,query response
30,2017-06-15,SPCERAMICS,Query Response,1,0,0,query response
33,2017-04-30,SPCERAMICS,Q3 Financials,1,0,0,q3 financials
34,2017-04-23,SPCERAMICS,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
35,2017-01-29,SPCERAMICS,Q2 Financials,0,0,0,q2 financials
36,2017-01-22,SPCERAMICS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
37,2017-01-16,SPCERAMICS,Query Response,0,1,1,query response
38,2016-11-15,SPCERAMICS,Q1 Financials,1,0,1,q1 financials
39,2016-11-09,SPCERAMICS,Board Meeting,1,1,0,board meeting
40,2016-10-09,SPCERAMICS,Price Limit Open,0,1,0,price limit open
41,2016-10-09,SPCERAMICS,Dividend Declaration,0,1,0,dividend declaration
42,2016-09-29,SPCERAMICS,Board Meeting,0,0,0,board meeting
43,2016-05-12,SPCERAMICS,Resumption after Record date,0,0,0,resumption after record date
44,2016-05-11,SPCERAMICS,Suspension for Record date,1,0,0,suspension for record date
45,2016-05-08,SPCERAMICS,Postponement of AGM,1,0,0,postponement of agm
46,2016-04-27,SPCERAMICS,Spot News for AGM,0,0,0,spot news for agm
47,2016-04-21,SPCERAMICS,Price Limit Open,0,0,0,price limit open
48,2016-04-21,SPCERAMICS,Dividend Declaration,0,0,0,dividend declaration
49,2016-04-13,SPCERAMICS,Board Meeting,0,0,0,board meeting
50,2015-10-29,SPCERAMICS,Q3 Financials,0,0,0,q3 financials
51,2015-10-21,SPCERAMICS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
52,2015-10-08,SPCERAMICS,Query Response,1,0,0,query response
53,2015-07-30,SPCERAMICS,Q2 Financials,0,0,0,q2 financials
54,2015-06-16,SPCERAMICS,Credit Rating Result,0,0,0,credit rating result
55,2015-05-21,SPCERAMICS,Resumption News after Record Date,0,0,0,resumption news after record date
56,2015-05-20,SPCERAMICS,Suspension News for Record Date,0,0,0,suspension news for record date
57,2015-05-14,SPCERAMICS,Q1 Financials,0,0,0,q1 financials
58,2015-05-07,SPCERAMICS,Spot Market,1,0,0,spot market
59,2015-04-29,SPCERAMICS,Price Limit Open,1,0,0,price limit open
60,2015-04-29,SPCERAMICS,Dividend Declaration,1,0,0,dividend declaration
61,2015-04-23,SPCERAMICS,Board Meeeting,1,0,0,board meeeting
62,2014-11-02,SPCERAMICS,Q3 earnings,0,0,0,q3 earnings
63,2014-08-03,SPCERAMICS,H/Y Earnings,0,0,0,hy earnings
64,2014-07-06,SPCERAMICS,DSE query,0,0,0,dse query
65,2014-05-18,SPCERAMICS,trade resume,0,0,1,trade resume
66,2014-05-15,SPCERAMICS,will resume after record date,1,0,0,will resume after record date
67,2014-05-15,SPCERAMICS,Q1 Earning,1,0,0,q1 earning
68,2014-04-30,SPCERAMICS,no price limit,1,0,0,no price limit
69,2014-04-30,SPCERAMICS,no dividend,1,0,0,no dividend
70,2014-04-27,SPCERAMICS,Board Meeting,1,0,0,board meeting
71,2013-10-31,SPCERAMICS,Q3 Earnings,0,0,0,q3 earnings
72,2013-07-31,SPCERAMICS,Q2 Earnings,0,0,0,q2 earnings
73,2013-05-20,SPCERAMICS,Trading Resume after Record Date,0,0,0,trading resume after record date
74,2013-05-19,SPCERAMICS,Trade Suspension on Record date,0,0,0,trade suspension on record date
75,2013-05-16,SPCERAMICS,Q1 Earnings,1,0,0,q1 earnings
76,2013-05-14,SPCERAMICS,Spot Market Trading,1,1,1,spot market trading
77,2013-05-02,SPCERAMICS,Corporate Declaration,1,0,0,corporate declaration
78,2013-04-25,SPCERAMICS,Board meeting,0,0,0,board meeting
79,2012-11-01,SPCERAMICS,Q3 Earnings 2012,0,0,0,q3 earnings 2012
80,2012-07-08,SPCERAMICS,- The Company has informed...,0,0,0,the company has informed
81,2012-05-21,SPCERAMICS,- Normal trading of the shares...,0,0,0,normal trading of the shares
82,2012-05-15,SPCERAMICS,- Trading of the shares....,0,0,1,trading of the shares.
83,2012-04-23,SPCERAMICS,- As per regulation ...,0,0,0,as per regulation
84,2011-11-01,SPCERAMICS,- As per un-audited...,1,0,1,as per un-audited
85,2011-07-31,SPCERAMICS,- (H/Y): As per un-audited...,0,0,0,hy: as per un-audited
86,2011-07-24,SPCERAMICS,- In response to a DSE query...,0,0,0,in response to a dse query
87,2011-07-06,SPCERAMICS,-The Company has informed...,1,1,0,-the company has informed
