,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,SPCL,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
1,2019-04-28,SPCL,Q3 Financials,0,0,0,q3 financials
2,2019-04-21,SPCL,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
3,2019-02-25,SPCL,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
4,2019-02-17,SPCL,Bonus Dividend Disbursement,0,0,0,bonus dividend disbursement
6,2019-02-10,SPCL,Acquisition of shares of Midland East Power Co. Ltd.,0,0,0,acquisition of shares of midland east power co. ltd.
7,2019-01-28,SPCL,Q2 Financials,0,0,0,q2 financials
8,2019-01-24,SPCL,Credit Rating Result,0,0,0,credit rating result
9,2019-01-21,SPCL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2018-12-03,SPCL,Resumption after record date,0,0,0,resumption after record date
11,2018-12-02,SPCL,Suspension for Record date,1,0,0,suspension for record date
12,2018-11-28,SPCL,Spot News,1,0,0,spot news
14,2018-11-27,SPCL,Commencement of Commercial Operation of 150 MW HFO Fired Power Plant,0,1,0,commencement of commercial operation of 150 mw hfo fired power plant
15,2018-11-11,SPCL,Q1 Financials,0,0,0,q1 financials
16,2018-11-04,SPCL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
17,2018-10-25,SPCL,Price Limit Open,0,0,0,price limit open
19,2018-10-25,SPCL,Dividend Declaration,0,0,0,dividend declaration
20,2018-10-17,SPCL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
22,2018-07-15,SPCL,Entering into a Joint Venture Consortium agreement of associate company,1,0,0,entering into a joint venture consortium agreement of associate company
23,2018-07-08,SPCL,Query Response,1,0,0,query response
24,2018-05-03,SPCL,Sale Confirmation of Sponsors,0,0,0,sale confirmation of sponsors
25,2018-05-03,SPCL,Sale Confirmation of Sponsors Directors,0,0,0,sale confirmation of sponsors directors
26,2018-04-30,SPCL,Q3 Financials,0,0,0,q3 financials
27,2018-04-25,SPCL,Sale declaration of a Sponsor,0,1,0,sale declaration of a sponsor
28,2018-04-23,SPCL,Sale declarations of Sponsors Directors,0,0,0,sale declarations of sponsors directors
29,2018-04-22,SPCL,Sale Confirmations of Sponsors Director,0,0,0,sale confirmations of sponsors director
30,2018-04-22,SPCL,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
