,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,SQUARETEXT,Q3 Financials,1,0,0,q3 financials
1,2019-04-23,SQUARETEXT,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
2,2019-01-31,SQUARETEXT,Q2 Financials,0,0,0,q2 financials
3,2019-01-28,SQUARETEXT,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
4,2019-01-24,SQUARETEXT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-06,SQUARETEXT,Appointment of Chairman & Managing Director,1,0,1,appointment of chairman  managing director
6,2019-01-03,SQUARETEXT,Dividend Disbursement,1,0,0,dividend disbursement
7,2018-12-27,SQUARETEXT,Credit Rating Result,0,0,0,credit rating result
8,2018-11-27,SQUARETEXT,Resumption after record date,0,0,1,resumption after record date
9,2018-11-26,SQUARETEXT,Suspension for Record date,1,0,0,suspension for record date
10,2018-11-22,SQUARETEXT,Spot News,1,0,0,spot news
11,2018-11-14,SQUARETEXT,Q1 Financials,0,1,0,q1 financials
12,2018-11-07,SQUARETEXT,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
13,2018-10-22,SQUARETEXT,To Build a Yarn Production and Fiber Dyeing Facility,0,0,0,to build a yarn production and fiber dyeing facility
14,2018-10-22,SQUARETEXT,Price Limit Open,0,0,0,price limit open
16,2018-10-22,SQUARETEXT,"Dividend Declaration, BMRE & Land purchase for expansion",0,0,0,"dividend declaration, bmre  land purchase for expansion"
17,2018-10-08,SQUARETEXT,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
18,2018-04-30,SQUARETEXT,Q3 Financials,0,0,0,q3 financials
19,2018-04-23,SQUARETEXT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-01-31,SQUARETEXT,Q2 Financials,0,0,0,q2 financials
21,2018-01-24,SQUARETEXT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
22,2018-01-14,SQUARETEXT,Dividend Disbursement,0,0,1,dividend disbursement
23,2018-01-01,SQUARETEXT,Credit Rating Result,1,0,0,credit rating result
24,2017-12-12,SQUARETEXT,Stock Dividend Disbursement,0,0,1,stock dividend disbursement
25,2017-11-14,SQUARETEXT,Q1 Financials,0,0,0,q1 financials
26,2017-11-09,SQUARETEXT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2017-11-08,SQUARETEXT,Resumption after record date,0,0,0,resumption after record date
28,2017-11-07,SQUARETEXT,Suspension for Record Date,0,0,0,suspension for record date
29,2017-11-05,SQUARETEXT,Spot News,0,0,0,spot news
30,2017-10-24,SQUARETEXT,Approval of Merger by the Board,0,0,0,approval of merger by the board
31,2017-10-17,SQUARETEXT,Built a Yarn Production Capacity,0,1,1,built a yarn production capacity
32,2017-10-17,SQUARETEXT,Price Limit Open,0,1,1,price limit open
34,2017-10-17,SQUARETEXT,Dividend Declaration and BMRE & Land purchase for expansion,0,1,1,dividend declaration and bmre  land purchase for expansion
35,2017-10-08,SQUARETEXT,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
36,2017-08-20,SQUARETEXT,Transmission of shares of a late Sponsor among his successors,0,0,1,transmission of shares of a late sponsor among his successors
37,2017-05-02,SQUARETEXT,Q3 Financials,0,0,0,q3 financials
38,2017-04-25,SQUARETEXT,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
39,2017-01-30,SQUARETEXT,Q2 Financials,0,0,0,q2 financials
40,2017-01-23,SQUARETEXT,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
41,2016-11-13,SQUARETEXT,Q1 Financials,0,0,1,q1 financials
42,2016-11-08,SQUARETEXT,Board Meeting,0,1,1,board meeting
43,2016-09-26,SQUARETEXT,Dividend Disbursement,0,1,1,dividend disbursement
44,2016-09-21,SQUARETEXT,Credit Rating Result,1,1,0,credit rating result
45,2016-08-23,SQUARETEXT,Resumption after record date,0,0,0,resumption after record date
46,2016-08-22,SQUARETEXT,Suspension news for record date,1,0,0,suspension news for record date
47,2016-08-18,SQUARETEXT,Spot for AGM,1,0,0,spot for agm
48,2016-08-02,SQUARETEXT,Price Limit Open,1,0,0,price limit open
49,2016-08-02,SQUARETEXT,"Dividend Declaration, BMRE & Land purchase for expansion",1,0,0,"dividend declaration, bmre  land purchase for expansion"
50,2016-07-21,SQUARETEXT,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
51,2016-05-04,SQUARETEXT,Change of Income Year,0,0,0,change of income year
52,2015-10-28,SQUARETEXT,Q3 Financials,1,1,0,q3 financials
53,2015-10-21,SQUARETEXT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
54,2015-08-31,SQUARETEXT,Credit Rating Result,0,1,1,credit rating result
55,2015-07-30,SQUARETEXT,Q2 Financials,1,0,0,q2 financials
56,2015-06-25,SQUARETEXT,Dividend Disbursement,0,0,0,dividend disbursement
57,2015-05-20,SQUARETEXT,Resumption News after Record Date,0,1,0,resumption news after record date
58,2015-05-19,SQUARETEXT,Suspension News for Record Date,1,0,1,suspension news for record date
59,2015-05-17,SQUARETEXT,Spot News for AGM,0,1,1,spot news for agm
60,2015-05-11,SQUARETEXT,Q1 Financials,0,1,1,q1 financials
61,2015-04-08,SQUARETEXT,Price Limit Open,0,0,0,price limit open
62,2015-04-08,SQUARETEXT,Dividend Declaration & approval of investment plan,0,0,0,dividend declaration  approval of investment plan
63,2015-04-02,SQUARETEXT,Board Meeting,0,0,0,board meeting
64,2014-10-30,SQUARETEXT,Q3 Earnings,1,0,0,q3 earnings
65,2014-07-23,SQUARETEXT,H/Y Earnings,1,0,0,hy earnings
66,2014-06-24,SQUARETEXT,credited the bonus shares,1,1,1,credited the bonus shares
67,2014-05-20,SQUARETEXT,trade resume,0,1,0,trade resume
68,2014-05-19,SQUARETEXT,trade suspension,0,0,1,trade suspension
69,2014-05-15,SQUARETEXT,Spot Market and Block/Odd lot transactions,1,0,0,spot market and blockodd lot transactions
70,2014-05-14,SQUARETEXT,Q1 Earnings,0,1,0,q1 earnings
71,2014-04-27,SQUARETEXT,no price limit,0,0,0,no price limit
72,2014-04-27,SQUARETEXT,20% Cash and 10% Stock Dividend,0,0,0,20 cash and 10 stock dividend
73,2014-04-21,SQUARETEXT,Board Meeting,0,1,0,board meeting
74,2013-11-14,SQUARETEXT,Credit Rating,0,0,0,credit rating
75,2013-10-31,SQUARETEXT,Q3 Earnings,0,0,0,q3 earnings
76,2013-09-23,SQUARETEXT,Sponsors Share Sell,0,0,0,sponsors share sell
77,2013-07-31,SQUARETEXT,Q2 Earnings,0,1,0,q2 earnings
78,2013-06-19,SQUARETEXT,Credited Bonous Share,1,0,0,credited bonous share
79,2013-05-13,SQUARETEXT,Q1 Earnings,0,1,0,q1 earnings
80,2013-05-09,SQUARETEXT,trade suspension,0,0,0,trade suspension
81,2013-05-06,SQUARETEXT,Spot Market,1,1,0,spot market
82,2013-04-28,SQUARETEXT,Corporate Declaration,1,0,0,corporate declaration
83,2012-10-30,SQUARETEXT,Q3 Earnings 2012,0,0,0,q3 earnings 2012
84,2012-10-21,SQUARETEXT,Credit Rating,0,1,0,credit rating
85,2012-05-13,SQUARETEXT,- (Q1): As per un-audited quarterly accounts...,0,0,0,q1: as per un-audited quarterly accounts
86,2012-05-13,SQUARETEXT,- continuation of news of SQUARETEXT-Q1...,0,0,0,continuation of news of squaretext-q1
87,2012-04-29,SQUARETEXT,- Trading of the shares...,0,0,0,trading of the shares
88,2012-04-24,SQUARETEXT,- Trading of the shares...,0,0,0,trading of the shares
89,2012-04-05,SQUARETEXT,- As per regulation...,1,0,0,as per regulation
91,2011-10-30,SQUARETEXT,- As per un-audited...,0,1,1,as per un-audited
92,2011-07-31,SQUARETEXT,- (H/Y): As per un-audited...,0,1,0,hy: as per un-audited
94,2011-07-31,SQUARETEXT,- The Company has informed...,0,1,0,the company has informed
