,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,SQURPHARMA,Q3 Financials,0,1,0,q3 financials
1,2019-04-23,SQURPHARMA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
2,2019-01-30,SQURPHARMA,Q2 Financials,0,0,0,q2 financials
3,2019-01-28,SQURPHARMA,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
4,2019-01-24,SQURPHARMA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2019-01-03,SQURPHARMA,Dividend Disbursement,1,0,0,dividend disbursement
6,2018-12-27,SQURPHARMA,Credit Rating Result,1,0,0,credit rating result
7,2018-11-27,SQURPHARMA,Resumption after record date,0,1,1,resumption after record date
8,2018-11-26,SQURPHARMA,Suspension for Record date,0,0,1,suspension for record date
9,2018-11-22,SQURPHARMA,Spot News,1,0,0,spot news
10,2018-11-14,SQURPHARMA,Q1 Financials,0,0,0,q1 financials
11,2018-11-07,SQURPHARMA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
12,2018-10-22,SQURPHARMA,Price Limit Open,0,0,0,price limit open
14,2018-10-22,SQURPHARMA,"Dividend Declaration, BMRE, Capital Machinery & Land purchase",0,0,0,"dividend declaration, bmre, capital machinery  land purchase"
15,2018-10-08,SQURPHARMA,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
16,2018-04-30,SQURPHARMA,Q3 Financials,0,0,0,q3 financials
17,2018-04-23,SQURPHARMA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2018-01-30,SQURPHARMA,Q2 Financials,0,0,1,q2 financials
19,2018-01-24,SQURPHARMA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-01-14,SQURPHARMA,Dividend Disbursement,0,1,1,dividend disbursement
21,2017-12-27,SQURPHARMA,Credit Rating Result,0,1,0,credit rating result
22,2017-12-12,SQURPHARMA,Stock Dividend Disbursement,1,0,0,stock dividend disbursement
23,2017-11-14,SQURPHARMA,Q1 Financials,1,1,1,q1 financials
24,2017-11-09,SQURPHARMA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
25,2017-11-08,SQURPHARMA,Resumption after record date,0,0,0,resumption after record date
26,2017-11-07,SQURPHARMA,Suspension for Record Date,1,0,0,suspension for record date
27,2017-11-05,SQURPHARMA,Spot News,0,1,1,spot news
28,2017-10-24,SQURPHARMA,Approval of Merger by the Board,0,0,0,approval of merger by the board
29,2017-10-17,SQURPHARMA,Price Limit Open,0,1,1,price limit open
31,2017-10-17,SQURPHARMA,"Dividend Declaration & BMRE, Capital Machineries, Land for expansion",0,1,1,"dividend declaration  bmre, capital machineries, land for expansion"
32,2017-10-08,SQURPHARMA,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
33,2017-08-20,SQURPHARMA,Transmission of shares of a late Sponsor among his successors,0,1,0,transmission of shares of a late sponsor among his successors
34,2017-06-11,SQURPHARMA,Agreements for manufacturing products to meet increased demand,0,1,0,agreements for manufacturing products to meet increased demand
35,2017-05-02,SQURPHARMA,Q3 Financials,1,1,0,q3 financials
36,2017-04-25,SQURPHARMA,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
37,2017-01-29,SQURPHARMA,Q2 Financials,0,0,0,q2 financials
38,2017-01-23,SQURPHARMA,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
39,2017-01-17,SQURPHARMA,Dividend Disbursement,1,0,1,dividend disbursement
40,2017-01-09,SQURPHARMA,Decision to establish a Subsidiary Company in Kenya,1,1,1,decision to establish a subsidiary company in kenya
41,2016-12-27,SQURPHARMA,Credit Rating Result,0,1,0,credit rating result
42,2016-12-19,SQURPHARMA,Bonus Dividend Disbursement,1,0,1,bonus dividend disbursement
43,2016-11-14,SQURPHARMA,Resumption after record,0,1,0,resumption after record
44,2016-11-14,SQURPHARMA,Q1 Financials,0,1,0,q1 financials
45,2016-11-13,SQURPHARMA,Suspension for record,0,0,1,suspension for record
46,2016-11-09,SQURPHARMA,Spot for AGM,1,1,0,spot for agm
47,2016-11-08,SQURPHARMA,Board Meeting,1,1,1,board meeting
48,2016-10-17,SQURPHARMA,Price Limit Open,0,1,0,price limit open
49,2016-10-17,SQURPHARMA,Dividend Declaration and BMRE,0,1,0,dividend declaration and bmre
50,2016-10-09,SQURPHARMA, Board Meeting,0,0,0,board meeting
