,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,STANDARINS,Q1 Financials,0,0,0,q1 financials
1,2019-04-30,STANDARINS,Price Limit Open,0,0,0,price limit open
2,2019-04-30,STANDARINS,Dividend Declaration,0,0,0,dividend declaration
3,2019-04-15,STANDARINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2019-04-15,STANDARINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
5,2019-01-20,STANDARINS,Query Response,1,1,0,query response
6,2019-01-01,STANDARINS,Query Response,0,0,0,query response
7,2018-10-28,STANDARINS,Q3 Financials,0,1,0,q3 financials
8,2018-10-17,STANDARINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
9,2018-08-28,STANDARINS,Credit Rating Result,0,0,0,credit rating result
10,2018-07-29,STANDARINS,Q2 Financials,1,0,0,q2 financials
11,2018-07-17,STANDARINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-07-16,STANDARINS,Dividend Disbursement,1,0,0,dividend disbursement
13,2018-05-23,STANDARINS,Resumption after record date,0,1,0,resumption after record date
14,2018-05-22,STANDARINS,Suspension for Record Date,0,0,1,suspension for record date
15,2018-05-20,STANDARINS,Spot News,0,0,0,spot news
16,2018-05-03,STANDARINS,Q1 Financials,1,0,0,q1 financials
17,2018-05-03,STANDARINS,Price Limit Open,1,0,0,price limit open
18,2018-05-03,STANDARINS,Dividend Declaration,1,0,0,dividend declaration
19,2018-04-17,STANDARINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
20,2018-04-17,STANDARINS,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
21,2017-12-12,STANDARINS,Query Response (Repeat News),1,0,1,query response repeat news
22,2017-12-10,STANDARINS,Query Response,0,0,1,query response
23,2017-10-26,STANDARINS,Q3 Financials,1,0,0,q3 financials
24,2017-10-19,STANDARINS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
25,2017-08-07,STANDARINS,Prohibition on providing loan facilities to purchase securities,1,0,1,prohibition on providing loan facilities to purchase securities
26,2017-08-07,STANDARINS,Category Change,1,0,1,category change
27,2017-08-03,STANDARINS,Dividend Disbursement,1,0,0,dividend disbursement
28,2017-07-30,STANDARINS,Q2 Financials,0,1,1,q2 financials
29,2017-07-24,STANDARINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
30,2017-07-05,STANDARINS,Resumption after Record Date,0,0,0,resumption after record date
31,2017-07-04,STANDARINS,Suspension for Record Date,0,0,0,suspension for record date
32,2017-06-18,STANDARINS,Spot News,1,0,1,spot news
33,2017-06-08,STANDARINS,Q1 Financials,1,0,0,q1 financials
34,2017-06-08,STANDARINS,Price Limit Open,1,0,0,price limit open
