,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,STANDBANKL,Price Limit Open,0,0,1,price limit open
2,2019-04-28,STANDBANKL,Dividend Declaration,0,0,1,dividend declaration
3,2019-04-18,STANDBANKL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
4,2019-01-28,STANDBANKL,To issue coupon bearing non-convertible fully redeemable debt,0,1,0,to issue coupon bearing non-convertible fully redeemable debt
5,2018-10-25,STANDBANKL,Q3 Financials,0,0,0,q3 financials
6,2018-10-21,STANDBANKL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
7,2018-09-24,STANDBANKL,Sale Confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
8,2018-09-20,STANDBANKL,Confirmation of share transfer by an Independent Director,1,0,0,confirmation of share transfer by an independent director
9,2018-09-16,STANDBANKL,Declaration of share transfer by an Independent Director,0,1,0,declaration of share transfer by an independent director
10,2018-08-09,STANDBANKL,Sale Declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
11,2018-08-09,STANDBANKL,Sale confirmation of a Sponsor,1,0,0,sale confirmation of a sponsor
12,2018-07-31,STANDBANKL,Sale declaration of a Sponsor,0,0,1,sale declaration of a sponsor
13,2018-07-31,STANDBANKL,Q2 Financials,0,0,1,q2 financials
14,2018-07-24,STANDBANKL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-07-04,STANDBANKL,Credit Rating Result,1,1,0,credit rating result
16,2018-05-28,STANDBANKL,Dividend Disbursement,0,1,0,dividend disbursement
17,2018-05-23,STANDBANKL,Sale Confirmation of a Sponsor,0,1,0,sale confirmation of a sponsor
18,2018-05-15,STANDBANKL,Sale declaration of a Sponsor,1,0,0,sale declaration of a sponsor
19,2018-05-10,STANDBANKL,Q1 Financials,0,0,0,q1 financials
20,2018-05-07,STANDBANKL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
21,2018-04-25,STANDBANKL,Resumption after record date,0,0,0,resumption after record date
22,2018-04-24,STANDBANKL,Suspension for Record Date,0,0,0,suspension for record date
23,2018-04-22,STANDBANKL,Spot News,1,1,0,spot news
24,2018-04-05,STANDBANKL,Price Limit Open,0,0,0,price limit open
26,2018-04-05,STANDBANKL,Dividend Declaration,0,0,0,dividend declaration
27,2018-03-28,STANDBANKL,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
28,2017-10-31,STANDBANKL,Sale confirmation of a Sponsor,1,1,1,sale confirmation of a sponsor
29,2017-10-31,STANDBANKL,Q3 Financials,1,1,1,q3 financials
30,2017-10-25,STANDBANKL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2017-10-24,STANDBANKL,Receiving shares as a nominee from late Sponsor through transmission,1,0,0,receiving shares as a nominee from late sponsor through transmission
32,2017-10-19,STANDBANKL,Transmission of Deceased Sponsor's shares to his nominees,1,0,0,transmission of deceased sponsor's shares to his nominees
33,2017-10-10,STANDBANKL,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
34,2017-10-02,STANDBANKL,Buy confirmation of a Director,1,0,0,buy confirmation of a director
35,2017-09-21,STANDBANKL,Buy declaration of a Director,1,0,0,buy declaration of a director
36,2017-09-05,STANDBANKL,Sale declaration of a Sponsor,1,0,1,sale declaration of a sponsor
37,2017-08-27,STANDBANKL,Completion of Bonus shares transmission of a late Sponsor to his nom,1,1,1,completion of bonus shares transmission of a late sponsor to his nom
38,2017-08-09,STANDBANKL,Bonus shares transmission of a late Sponsor to his nominee,1,1,0,bonus shares transmission of a late sponsor to his nominee
39,2017-07-24,STANDBANKL,Q2 Financials,1,1,1,q2 financials
40,2017-07-19,STANDBANKL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2017-06-22,STANDBANKL,Credit Rating Result,1,0,0,credit rating result
42,2017-06-04,STANDBANKL,Confirmation of Transmission of deceased Sponsor's shares to his son,0,1,1,confirmation of transmission of deceased sponsor's shares to his son
43,2017-06-01,STANDBANKL,Dividend Disbursement,1,0,0,dividend disbursement
44,2017-05-11,STANDBANKL,Q1 Financials,0,0,0,q1 financials
45,2017-05-04,STANDBANKL,Share transmission of a late Sponsor to his nominee,1,0,0,share transmission of a late sponsor to his nominee
46,2017-05-04,STANDBANKL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
47,2017-04-30,STANDBANKL,Issuance of Non-Convertible Coupon Bearing Subordinated Debt,0,0,0,issuance of non-convertible coupon bearing subordinated debt
48,2017-04-13,STANDBANKL,Resumption after record date,0,0,0,resumption after record date
49,2017-04-12,STANDBANKL,Suspension for Record Date,0,0,0,suspension for record date
50,2017-04-10,STANDBANKL,Spot News,0,0,0,spot news
52,2017-03-23,STANDBANKL,Price Limit Open,0,0,0,price limit open
53,2017-03-23,STANDBANKL,Dividend Declaration,0,0,0,dividend declaration
54,2017-03-16,STANDBANKL,Board Meeting,1,0,0,board meeting
55,2016-10-31,STANDBANKL,Q3 Financials,0,1,1,q3 financials
56,2016-10-20,STANDBANKL,Board Meeting,0,0,0,board meeting
57,2016-10-06,STANDBANKL,Assumed the office of the Managing Director & CEO,1,0,0,assumed the office of the managing director  ceo
58,2016-10-03,STANDBANKL,Confirmation of sale by a Sponsor,1,1,1,confirmation of sale by a sponsor
59,2016-09-25,STANDBANKL,Declaration of sale by a Sponsor,0,0,0,declaration of sale by a sponsor
60,2016-09-18,STANDBANKL,Confirmation of sale by a Sponsor/Director,1,0,0,confirmation of sale by a sponsordirector
61,2016-08-21,STANDBANKL,Declaration of sale by a Sponsor/Director,0,0,1,declaration of sale by a sponsordirector
62,2016-07-31,STANDBANKL,Q2 Financials,0,0,1,q2 financials
63,2016-07-26,STANDBANKL,Buy Confirmation,0,1,0,buy confirmation
64,2016-07-26,STANDBANKL,Buy Confirmation of a Sponsor,0,1,0,buy confirmation of a sponsor
65,2016-07-24,STANDBANKL,Board Meeting,0,0,0,board meeting
66,2016-07-24,STANDBANKL,Board Meeting,0,0,0,board meeting
67,2016-07-10,STANDBANKL,Issuance of Coupon Bearing Non-Convertible Sub-Ordinated Debt,1,1,1,issuance of coupon bearing non-convertible sub-ordinated debt
68,2016-06-30,STANDBANKL,Credit Rating Result,1,0,0,credit rating result
69,2016-06-08,STANDBANKL,Dividend Disbursement,0,1,0,dividend disbursement
70,2016-06-08,STANDBANKL,Buy Declaration of a Sponsor,0,1,0,buy declaration of a sponsor
71,2016-05-02,STANDBANKL,Q1 Financials,0,1,0,q1 financials
72,2016-04-27,STANDBANKL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
73,2016-04-20,STANDBANKL,Resumption after Record date,0,0,0,resumption after record date
74,2016-04-19,STANDBANKL,Suspension for Record date,0,0,0,suspension for record date
75,2016-04-17,STANDBANKL,Spot News for AGM,0,0,0,spot news for agm
76,2016-03-30,STANDBANKL,Price Limit Open,1,1,0,price limit open
77,2016-03-30,STANDBANKL,Dividend Declaration,1,1,0,dividend declaration
78,2016-03-22,STANDBANKL, Board Meeting,0,0,0,board meeting
79,2015-11-01,STANDBANKL,Confirmation of sale,1,0,0,confirmation of sale
