,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,STYLECRAFT,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,STYLECRAFT,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-04-11,STYLECRAFT,Sale Confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
3,2019-04-08,STYLECRAFT,Confirmation of share transfer by a Director,0,0,0,confirmation of share transfer by a director
4,2019-04-07,STYLECRAFT,Declaration of share transfer by a Director,0,0,0,declaration of share transfer by a director
5,2019-04-07,STYLECRAFT,Declaration of share transfer by a Director,0,0,0,declaration of share transfer by a director
6,2019-02-27,STYLECRAFT,Sale Declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
7,2019-02-20,STYLECRAFT,Placing the shares in PublicMarket from Spot Market as per BSEC Order,1,0,0,placing the shares in publicmarket from spot market as per bsec order
8,2019-01-31,STYLECRAFT,Q2 Financials,0,0,0,q2 financials
9,2019-01-24,STYLECRAFT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2019-01-13,STYLECRAFT,Dividend Disbursement,1,0,0,dividend disbursement
11,2018-12-17,STYLECRAFT,Credit Rating Result,0,1,1,credit rating result
12,2018-12-09,STYLECRAFT,Confirmation of share transfer by a Director,0,1,0,confirmation of share transfer by a director
13,2018-12-06,STYLECRAFT,Declaration of share transfer by a Director,1,0,0,declaration of share transfer by a director
14,2018-11-22,STYLECRAFT,Enquiry Committee Formation for investigation as per BSEC Order,0,0,0,enquiry committee formation for investigation as per bsec order
15,2018-11-20,STYLECRAFT,Query Response,0,0,0,query response
16,2018-11-15,STYLECRAFT,Q1 Financials,0,0,0,q1 financials
17,2018-11-08,STYLECRAFT,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2018-11-04,STYLECRAFT,Resumption after Record Date,0,0,0,resumption after record date
19,2018-11-01,STYLECRAFT,Suspension for Record Date,1,0,0,suspension for record date
20,2018-10-30,STYLECRAFT,Spot News,1,0,1,spot news
21,2018-10-11,STYLECRAFT,"Restated financials for the year ended on June 30, 2017",0,0,0,"restated financials for the year ended on june 30, 2017"
