,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,SUMITPOWER,Q3 Financials,0,0,0,q3 financials
1,2019-04-17,SUMITPOWER,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
3,2019-01-31,SUMITPOWER,Decision to transfer ownership of land to SGIIPL,0,0,0,decision to transfer ownership of land to sgiipl
4,2019-01-28,SUMITPOWER,Q2 Financials,0,0,1,q2 financials
5,2019-01-22,SUMITPOWER,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
6,2019-01-08,SUMITPOWER,Dividend Disbursement,1,0,1,dividend disbursement
7,2018-12-05,SUMITPOWER,Emphasis of Matter,1,1,0,emphasis of matter
8,2018-11-13,SUMITPOWER,Q1 Financials,1,0,0,q1 financials
9,2018-11-11,SUMITPOWER,Resumption after Record Date,0,0,1,resumption after record date
10,2018-11-08,SUMITPOWER,Suspension for Record Date,0,0,0,suspension for record date
11,2018-11-08,SUMITPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-11-06,SUMITPOWER,Spot News,0,0,0,spot news
13,2018-10-22,SUMITPOWER,Price Limit Open,1,0,1,price limit open
15,2018-10-22,SUMITPOWER,Dividend Declaration,1,0,1,dividend declaration
16,2018-10-15,SUMITPOWER,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
17,2018-07-16,SUMITPOWER,Commencement of Commercial Operation of Power Plant of Ace Alliance,0,0,1,commencement of commercial operation of power plant of ace alliance
18,2018-05-17,SUMITPOWER,Credit Rating Result,0,0,0,credit rating result
19,2018-05-13,SUMITPOWER,Starting of commercial operation of Summit Gazipur II Power Limited,0,0,0,starting of commercial operation of summit gazipur ii power limited
20,2018-04-30,SUMITPOWER,Q3 Financials,0,0,0,q3 financials
21,2018-04-22,SUMITPOWER,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
23,2018-04-03,SUMITPOWER,Board decision to transfer ownership of land in favor of subsidiary,0,1,1,board decision to transfer ownership of land in favor of subsidiary
24,2018-03-21,SUMITPOWER,Buy confirmation of a Corporate Sponsor,0,0,0,buy confirmation of a corporate sponsor
26,2018-03-18,SUMITPOWER,Buy declaration of a Corporate Sponsor,0,1,0,buy declaration of a corporate sponsor
27,2018-03-06,SUMITPOWER,Board approval for share transfer from SHL to SCL,0,0,0,board approval for share transfer from shl to scl
28,2018-01-28,SUMITPOWER,Q2 Financials,0,1,0,q2 financials
29,2018-01-21,SUMITPOWER,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
30,2017-11-30,SUMITPOWER,Resumption after record date,0,0,0,resumption after record date
31,2017-11-29,SUMITPOWER,Suspension for Record Date,0,0,0,suspension for record date
32,2017-11-27,SUMITPOWER,Dividend Disbursement,0,0,0,dividend disbursement
33,2017-11-27,SUMITPOWER,Spot News for EGM,0,0,0,spot news for egm
34,2017-11-12,SUMITPOWER,Q1 Financials,0,0,0,q1 financials
38,2017-11-12,SUMITPOWER,Decision to hold an EGM,0,0,0,decision to hold an egm
39,2017-11-05,SUMITPOWER,Board Meeting schedule under LR 16(1) (Correction),0,0,0,board meeting schedule under lr 161 correction
40,2017-11-05,SUMITPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
41,2017-10-23,SUMITPOWER,Emphasis of Matter,0,0,0,emphasis of matter
43,2017-10-23,SUMITPOWER,Emphasis of Matter,0,0,0,emphasis of matter
44,2017-09-27,SUMITPOWER,Resumption after Record Date,0,0,0,resumption after record date
45,2017-09-26,SUMITPOWER,Suspension for Record Date,0,0,0,suspension for record date
46,2017-09-24,SUMITPOWER,Spot News,0,1,0,spot news
47,2017-09-10,SUMITPOWER,Dividend Declaration (Revised Information),0,0,0,dividend declaration revised information
48,2017-09-10,SUMITPOWER,Price Limit Open,0,0,0,price limit open
49,2017-09-10,SUMITPOWER,Dividend Declaration,0,0,0,dividend declaration
51,2017-08-30,SUMITPOWER,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
53,2017-08-16,SUMITPOWER,The Company and SCL received LOI from BPDB,0,1,0,the company and scl received loi from bpdb
54,2017-04-30,SUMITPOWER,Q3 Financials,0,0,0,q3 financials
55,2017-04-24,SUMITPOWER,Revised Board Meeting schedule under LR 16(1),0,1,1,revised board meeting schedule under lr 161
56,2017-04-23,SUMITPOWER,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
57,2017-04-13,SUMITPOWER,ACE ALLIANCE signed a Power Purchase Agreement with BPDB,0,0,0,ace alliance signed a power purchase agreement with bpdb
58,2017-04-13,SUMITPOWER,ACE ALLIANCE signed a Power Purchase Agreement with BPDB,0,0,0,ace alliance signed a power purchase agreement with bpdb
59,2017-03-05,SUMITPOWER, Credit Rating,0,0,0,credit rating
60,2017-02-01,SUMITPOWER,Q2 Financials,0,0,0,q2 financials
61,2017-01-25,SUMITPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
62,2016-12-29,SUMITPOWER,Extension of contract with BPDB for next 5 years,0,0,0,extension of contract with bpdb for next 5 years
63,2016-12-20,SUMITPOWER,Emphasis of Matter,1,0,1,emphasis of matter
64,2016-10-13,SUMITPOWER,Extending the current financial year for 18 months,0,0,0,extending the current financial year for 18 months
65,2016-10-13,SUMITPOWER,Q1,0,0,0,q1
66,2016-10-10,SUMITPOWER,6 Months Audited Financials,1,0,0,6 months audited financials
67,2016-10-09,SUMITPOWER,Resumption of trading of shares,0,1,0,resumption of trading of shares
68,2016-10-09,SUMITPOWER,Crediting shares arising from the amalgamation,0,1,0,crediting shares arising from the amalgamation
69,2016-10-09,SUMITPOWER,will raise Paid-up Capital,0,1,0,will raise paid-up capital
70,2016-10-06,SUMITPOWER,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
71,2016-10-05,SUMITPOWER,Consent accorded by BSEC for raising Paid-up Capital,0,0,0,consent accorded by bsec for raising paid-up capital
72,2016-09-22,SUMITPOWER,64% shares Acquisition of Ace Alliance Power Ltd. (Additional Info),0,0,0,64 shares acquisition of ace alliance power ltd. additional info
73,2016-09-21,SUMITPOWER,Acquisition of 64% shares of Ace Alliance Power Ltd.,0,0,0,acquisition of 64 shares of ace alliance power ltd.
74,2016-08-28,SUMITPOWER,Suspension of trading of shares,0,0,0,suspension of trading of shares
75,2016-08-23,SUMITPOWER,Trade suspension and adjustment of Price and shares for amalgamation,0,0,0,trade suspension and adjustment of price and shares for amalgamation
76,2016-08-03,SUMITPOWER,Share transfer books closing Record,1,0,0,share transfer books closing record
77,2016-07-28,SUMITPOWER,"Court Order for Amalgamation Scheme of SPPCL, SUPCL and SNPL with SPL",1,0,0,"court order for amalgamation scheme of sppcl, supcl and snpl with spl"
78,2016-05-31,SUMITPOWER,Cash Dividend Disbursement,0,0,1,cash dividend disbursement
79,2016-05-15,SUMITPOWER,Q1 Financials,0,0,1,q1 financials
80,2016-05-12,SUMITPOWER,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
81,2016-05-09,SUMITPOWER,Board Meeting,0,1,1,board meeting
82,2016-04-05,SUMITPOWER,Resumption after Record,0,1,0,resumption after record
83,2016-04-04,SUMITPOWER,Suspension for Record date for AGM & EGM,1,0,1,suspension for record date for agm  egm
84,2016-03-31,SUMITPOWER,Spot for AGM & EGM,0,0,0,spot for agm  egm
85,2016-03-29,SUMITPOWER,EGM for Amalgamation purpose,1,0,0,egm for amalgamation purpose
86,2016-03-16,SUMITPOWER,Price Limit Open,0,0,0,price limit open
87,2016-03-16,SUMITPOWER,Dividend Declaration,0,0,0,dividend declaration
88,2016-03-09,SUMITPOWER,Board Meeting,0,0,0,board meeting
89,2015-12-29,SUMITPOWER,Credit Rating Result,1,0,1,credit rating result
90,2015-10-25,SUMITPOWER,Q3 Financials,1,0,0,q3 financials
91,2015-10-19,SUMITPOWER,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
92,2015-07-26,SUMITPOWER,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
93,2015-07-13,SUMITPOWER,Half Yearly Financials,0,1,0,half yearly financials
94,2015-07-06,SUMITPOWER,Dividend Disbursement,0,1,1,dividend disbursement
95,2015-06-02,SUMITPOWER,Query Response,1,0,1,query response
96,2015-05-25,SUMITPOWER,Change of Venue of AGM,1,0,1,change of venue of agm
97,2015-05-17,SUMITPOWER,Resumption News after Record Date,0,0,1,resumption news after record date
98,2015-05-17,SUMITPOWER,Q1 Financials,0,0,1,q1 financials
99,2015-05-14,SUMITPOWER,Suspension News for Record Date,1,0,0,suspension news for record date
100,2015-05-12,SUMITPOWER,Spot News for AGM,0,1,1,spot news for agm
101,2015-05-04,SUMITPOWER,Price Limit Open,0,0,1,price limit open
