,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,TAKAFULINS,Buy Declaration of a Public Shareholder Director,0,0,0,buy declaration of a public shareholder director
1,2019-04-15,TAKAFULINS,Price Limit Open,0,0,1,price limit open
3,2019-04-15,TAKAFULINS,Dividend Declaration,0,0,1,dividend declaration
4,2019-03-31,TAKAFULINS,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
5,2019-03-11,TAKAFULINS,Query Response,1,0,0,query response
6,2018-11-01,TAKAFULINS,Buy Confirmation of Public Shareholder Directors,1,0,0,buy confirmation of public shareholder directors
7,2018-10-30,TAKAFULINS,Buy Confirmation of a Sponsor,1,0,1,buy confirmation of a sponsor
8,2018-10-30,TAKAFULINS,Sale Confirmation of a Director,1,0,1,sale confirmation of a director
9,2018-10-30,TAKAFULINS,Buy Declarations of Public Shareholder Directors,1,0,1,buy declarations of public shareholder directors
10,2018-10-28,TAKAFULINS,Q3 Financials,0,1,1,q3 financials
11,2018-10-23,TAKAFULINS,Sale declaration of a Public Shareholder Director,0,0,0,sale declaration of a public shareholder director
12,2018-10-21,TAKAFULINS,Buy Confirmation of a Director,0,1,0,buy confirmation of a director
13,2018-10-18,TAKAFULINS,Buy declaration of a Sponsor,0,0,0,buy declaration of a sponsor
14,2018-10-17,TAKAFULINS,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-10-16,TAKAFULINS,Buy declaration of a Director,1,0,0,buy declaration of a director
16,2018-08-01,TAKAFULINS,Q2 Financials,0,1,0,q2 financials
17,2018-07-19,TAKAFULINS,Credit Rating Result,1,0,0,credit rating result
18,2018-07-18,TAKAFULINS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
19,2018-06-12,TAKAFULINS,Dividend Disbursement,1,0,0,dividend disbursement
20,2018-05-14,TAKAFULINS,Elected  Chairman,0,0,1,elected  chairman
21,2018-05-14,TAKAFULINS,Q1 Financials,0,0,1,q1 financials
22,2018-05-06,TAKAFULINS,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
23,2018-04-24,TAKAFULINS,Buy confirmation of a Public Shareholder Director,0,0,1,buy confirmation of a public shareholder director
24,2018-04-23,TAKAFULINS,Buy Confirmation of a Public Shareholder Director,0,0,0,buy confirmation of a public shareholder director
25,2018-04-23,TAKAFULINS,Resumption after record date,0,0,0,resumption after record date
26,2018-04-22,TAKAFULINS,Suspension for Record Date,0,0,0,suspension for record date
27,2018-04-18,TAKAFULINS,Spot News,0,0,0,spot news
28,2018-04-17,TAKAFULINS,Buy Declaration of a Public Shareholder Director,1,0,0,buy declaration of a public shareholder director
29,2018-04-08,TAKAFULINS,Buy Declaration of a Public Shareholder Director,0,1,0,buy declaration of a public shareholder director
30,2018-04-04,TAKAFULINS,Price Limit Open,1,1,0,price limit open
32,2018-04-04,TAKAFULINS,Dividend Declaration,1,1,0,dividend declaration
33,2018-03-21,TAKAFULINS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
34,2017-10-31,TAKAFULINS,Q3 Financials,0,1,1,q3 financials
35,2017-10-22,TAKAFULINS,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
36,2017-08-16,TAKAFULINS,Sale confirmation of a Sponsor,1,1,0,sale confirmation of a sponsor
37,2017-08-01,TAKAFULINS,Sale declaration of a Sponsor,0,1,0,sale declaration of a sponsor
38,2017-08-01,TAKAFULINS,Sale declaration of a Sponsor,0,1,0,sale declaration of a sponsor
39,2017-08-01,TAKAFULINS,Sale declaration of a Sponsor,0,1,0,sale declaration of a sponsor
40,2017-07-31,TAKAFULINS,Q2 Financials,0,0,1,q2 financials
41,2017-07-23,TAKAFULINS,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
42,2017-07-20,TAKAFULINS,Appointment of Chief Executive Officer,1,0,0,appointment of chief executive officer
43,2017-06-19,TAKAFULINS,Dividend Disbursement,0,0,1,dividend disbursement
44,2017-06-18,TAKAFULINS,Credit Rating Result,0,0,0,credit rating result
45,2017-04-27,TAKAFULINS,Resumption after Record Date,0,0,0,resumption after record date
46,2017-04-26,TAKAFULINS,Suspension for Record Date,0,0,0,suspension for record date
47,2017-04-24,TAKAFULINS,Spot News,1,1,0,spot news
48,2017-04-09,TAKAFULINS,Q1 Financials,0,0,1,q1 financials
49,2017-04-09,TAKAFULINS,Price Limit Open,0,0,1,price limit open
51,2017-04-09,TAKAFULINS,Dividend Declaration and decision to form a Merchant Bank,0,0,1,dividend declaration and decision to form a merchant bank
