,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,TALLUSPIN,Q3 Financials,1,0,0,q3 financials
1,2019-04-28,TALLUSPIN,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
2,2019-01-31,TALLUSPIN,Q2 Financials,0,0,0,q2 financials
3,2019-01-27,TALLUSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2018-12-20,TALLUSPIN,Resumption after record date,0,0,0,resumption after record date
5,2018-12-19,TALLUSPIN,Suspension for Record date,0,0,0,suspension for record date
6,2018-12-06,TALLUSPIN,Q1 Financials,1,0,0,q1 financials
7,2018-12-05,TALLUSPIN,Spot News,0,1,0,spot news
8,2018-12-02,TALLUSPIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
9,2018-11-29,TALLUSPIN,Price Limit Open,1,0,0,price limit open
10,2018-11-29,TALLUSPIN,Dividend Declaration,1,0,0,dividend declaration
11,2018-11-25,TALLUSPIN,Reschedule of Board Meeting under LR 19(1),0,0,1,reschedule of board meeting under lr 191
12,2018-11-14,TALLUSPIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
13,2018-05-10,TALLUSPIN,Q3 Financials,1,0,0,q3 financials
14,2018-04-30,TALLUSPIN,Reschedule of Board Meeting under LR 16(1),0,0,0,reschedule of board meeting under lr 161
15,2018-04-24,TALLUSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-02-15,TALLUSPIN,Q2 Financials,0,0,0,q2 financials
17,2018-02-11,TALLUSPIN,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
18,2018-01-25,TALLUSPIN,Resumption after record date,0,0,0,resumption after record date
19,2018-01-24,TALLUSPIN,Suspension for Record Date,0,0,0,suspension for record date
20,2018-01-11,TALLUSPIN,Spot for EGM,1,0,0,spot for egm
21,2018-01-04,TALLUSPIN,Name Change in the EGM,1,0,0,name change in the egm
22,2017-12-14,TALLUSPIN,Resumption after record date,0,0,0,resumption after record date
23,2017-12-13,TALLUSPIN,Suspension for Record Date,1,0,0,suspension for record date
24,2017-12-04,TALLUSPIN,Q1 Financials,0,0,0,q1 financials
25,2017-11-30,TALLUSPIN,Spot News,1,0,0,spot news
26,2017-11-29,TALLUSPIN,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
27,2017-11-26,TALLUSPIN,Price Limit Open,0,0,1,price limit open
28,2017-11-26,TALLUSPIN,Dividend Declaration,0,0,1,dividend declaration
29,2017-11-19,TALLUSPIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
30,2017-10-03,TALLUSPIN,Appointment of Chairman,1,0,0,appointment of chairman
31,2017-09-10,TALLUSPIN,Query Response,0,0,0,query response
32,2017-09-10,TALLUSPIN,Query Response,0,0,0,query response
33,2017-05-02,TALLUSPIN,Q3 Financials,0,0,1,q3 financials
34,2017-04-24,TALLUSPIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
35,2017-01-31,TALLUSPIN,Q2 Financials,0,0,0,q2 financials
36,2017-01-24,TALLUSPIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
37,2016-12-04,TALLUSPIN,Suspension for Record Date,0,0,1,suspension for record date
38,2016-11-21,TALLUSPIN,Spot for AGM,1,1,0,spot for agm
39,2016-11-13,TALLUSPIN,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
40,2016-11-13,TALLUSPIN,Category Change,0,0,0,category change
41,2016-11-13,TALLUSPIN,Price Limit Open,0,0,0,price limit open
42,2016-11-13,TALLUSPIN,Dividend Declaration,0,0,0,dividend declaration
43,2016-11-13,TALLUSPIN,Prohibition on providing loan,0,0,0,prohibition on providing loan
44,2016-11-13,TALLUSPIN,Category Change,0,0,0,category change
45,2016-11-13,TALLUSPIN,Price Limit Open,0,0,0,price limit open
46,2016-11-13,TALLUSPIN,Dividend Declaration,0,0,0,dividend declaration
47,2016-11-10,TALLUSPIN,Board Meeting,0,0,0,board meeting
48,2016-11-01,TALLUSPIN,Board Meeting,0,0,1,board meeting
49,2016-05-08,TALLUSPIN,Board Meeting,0,1,0,board meeting
50,2016-01-31,TALLUSPIN,Q2 Financials,0,0,0,q2 financials
51,2016-01-25,TALLUSPIN,Board Meeting,0,0,1,board meeting
52,2016-01-13,TALLUSPIN,Prohibition on providing loan,0,0,0,prohibition on providing loan
53,2016-01-13,TALLUSPIN,Category Change,0,0,0,category change
54,2016-01-12,TALLUSPIN,Dividend Disbursement,0,0,0,dividend disbursement
55,2015-12-15,TALLUSPIN,Resumption after Record date,0,0,0,resumption after record date
56,2015-12-14,TALLUSPIN,Suspension for Record Date,0,0,0,suspension for record date
57,2015-12-13,TALLUSPIN,Change of AGM Date,0,0,0,change of agm date
58,2015-12-01,TALLUSPIN,Spot for AGM,1,0,0,spot for agm
59,2015-11-29,TALLUSPIN,Q1,0,0,1,q1
60,2015-11-25,TALLUSPIN,Board Meeting,0,1,0,board meeting
61,2015-11-25,TALLUSPIN,Price Limit Open,0,1,0,price limit open
