,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,TITASGAS,Q3 Financials,0,1,0,q3 financials
1,2019-04-18,TITASGAS,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
2,2019-01-28,TITASGAS,Q2 Financials,1,0,1,q2 financials
3,2019-01-27,TITASGAS,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
4,2019-01-22,TITASGAS,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
12,2018-12-04,TITASGAS,Basis for Qualified Opinion,1,0,0,basis for qualified opinion
13,2018-11-18,TITASGAS,Resumption after record date,0,0,0,resumption after record date
14,2018-11-15,TITASGAS,Suspension for Record Date,0,0,0,suspension for record date
15,2018-11-13,TITASGAS,Spot News,1,0,0,spot news
16,2018-11-12,TITASGAS,Q1 Financials,1,1,0,q1 financials
17,2018-11-06,TITASGAS,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
18,2018-11-04,TITASGAS,Distribution Charge and Gas price rate,0,0,0,distribution charge and gas price rate
19,2018-11-04,TITASGAS,Distribution Charge and Gas price rate,0,0,0,distribution charge and gas price rate
20,2018-11-04,TITASGAS,Distribution Charge and Gas price rate,0,0,0,distribution charge and gas price rate
21,2018-10-28,TITASGAS,Price Limit Open,1,0,0,price limit open
22,2018-10-28,TITASGAS,Dividend Declaration,1,0,0,dividend declaration
23,2018-10-17,TITASGAS,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
24,2018-04-16,TITASGAS,Q3 Financials,0,1,1,q3 financials
25,2018-04-09,TITASGAS,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
26,2018-01-29,TITASGAS,Q2 Financials,1,0,0,q2 financials
27,2018-01-23,TITASGAS,Dividend Disbursement,1,1,1,dividend disbursement
28,2018-01-21,TITASGAS,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
29,2017-11-30,TITASGAS,Updating information of Margin Account Holders,0,0,0,updating information of margin account holders
30,2017-11-16,TITASGAS,Resumption after record date,0,0,0,resumption after record date
31,2017-11-15,TITASGAS,Suspension for Record Date,1,0,0,suspension for record date
32,2017-11-13,TITASGAS,Spot News,0,0,1,spot news
33,2017-11-13,TITASGAS,Q1 Financials,0,0,1,q1 financials
34,2017-11-07,TITASGAS,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
35,2017-10-26,TITASGAS,Price Limit Open,0,0,0,price limit open
36,2017-10-26,TITASGAS,Dividend Declaration,0,0,0,dividend declaration
37,2017-10-18,TITASGAS,Reschedule of Board Meeting schedule under LR 19(1),0,0,0,reschedule of board meeting schedule under lr 191
38,2017-10-16,TITASGAS,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
39,2017-04-20,TITASGAS,Q3 Financials,0,0,0,q3 financials
40,2017-04-17,TITASGAS,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
41,2017-02-26,TITASGAS,Re-fixation of Gas Price,0,0,0,re-fixation of gas price
42,2017-01-26,TITASGAS,Q2 Financials,0,0,0,q2 financials
43,2016-11-17,TITASGAS,Resumption after record date,1,0,0,resumption after record date
44,2016-11-17,TITASGAS,Resumption after record date,1,0,0,resumption after record date
45,2016-11-16,TITASGAS,Suspension for record date,1,1,0,suspension for record date
46,2016-11-14,TITASGAS,Q1 Financials,0,1,1,q1 financials
47,2016-11-14,TITASGAS,Spot for AGM,0,1,1,spot for agm
48,2016-11-08,TITASGAS,Board Meeting,1,0,1,board meeting
49,2016-10-30,TITASGAS,Price Limit Open,0,0,0,price limit open
50,2016-10-30,TITASGAS,Dividend Declaration,0,0,0,dividend declaration
51,2016-10-18,TITASGAS,Board Meeting,1,0,0,board meeting
52,2016-04-28,TITASGAS,Q3 Financials,0,0,0,q3 financials
53,2016-04-24,TITASGAS,Qualified Opinion,0,0,0,qualified opinion
54,2016-04-21,TITASGAS,Board Meeting (Q3),1,0,0,board meeting q3
55,2016-04-05,TITASGAS,Clarification of news,0,0,1,clarification of news
56,2016-02-01,TITASGAS,Q2 Financials,0,0,1,q2 financials
57,2016-01-25,TITASGAS,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
58,2016-01-25,TITASGAS,Board Meeting,0,0,0,board meeting
59,2015-12-01,TITASGAS,Information for Margin Account Holders,0,0,0,information for margin account holders
60,2015-12-01,TITASGAS,Resumption after Record date,0,0,0,resumption after record date
61,2015-11-30,TITASGAS,Suspension for Record Date,0,0,0,suspension for record date
62,2015-11-26,TITASGAS,Spot for AGM,0,0,0,spot for agm
63,2015-11-15,TITASGAS,Enquiry Committee formation by BSEC,0,1,0,enquiry committee formation by bsec
64,2015-11-12,TITASGAS,Appeal against the order of BERC,1,0,0,appeal against the order of berc
65,2015-11-11,TITASGAS,Q1 Financials,0,1,0,q1 financials
66,2015-11-11,TITASGAS,Price Limit Open,0,1,0,price limit open
67,2015-11-11,TITASGAS,Dividend Declaration,0,1,0,dividend declaration
68,2015-11-02,TITASGAS,Board Meeting,0,0,0,board meeting
69,2015-11-02,TITASGAS,Board Meeting,0,0,0,board meeting
70,2015-04-29,TITASGAS,Q3 Financials,0,0,0,q3 financials
71,2015-01-29,TITASGAS,H/Y,0,0,0,hy
72,2014-11-16,TITASGAS,Q1 Earning,0,1,0,q1 earning
73,2014-11-10,TITASGAS,Qualified Opinion,1,0,1,qualified opinion
74,2014-11-06,TITASGAS,trade resume,0,0,0,trade resume
75,2014-11-05,TITASGAS,trade suspension,0,0,0,trade suspension
76,2014-11-02,TITASGAS,trade suspension on record date,0,0,0,trade suspension on record date
77,2014-10-26,TITASGAS,recommended 38% cash dividend,0,0,0,recommended 38 cash dividend
78,2014-10-21,TITASGAS,meeting of the Board of Directors,1,0,0,meeting of the board of directors
