,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
1,2019-04-30,TOSRIFA,Share Transmission of deceased shareholder to her successors,0,0,0,share transmission of deceased shareholder to her successors
3,2019-04-28,TOSRIFA,Share Transmission of deceased shareholder to the successors,1,0,0,share transmission of deceased shareholder to the successors
4,2019-04-28,TOSRIFA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-04-24,TOSRIFA,Sale Confirmation of a Director,0,0,0,sale confirmation of a director
6,2019-03-03,TOSRIFA,Sale Declaration of a Director,0,0,0,sale declaration of a director
7,2019-01-31,TOSRIFA,Q2 Financials,0,0,0,q2 financials
8,2019-01-30,TOSRIFA,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
9,2019-01-29,TOSRIFA,Dividend Disbursement,0,1,0,dividend disbursement
10,2019-01-24,TOSRIFA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
11,2019-01-17,TOSRIFA,Sale Confirmation of a Director,0,0,0,sale confirmation of a director
14,2018-12-24,TOSRIFA,Emphasis of Matter,0,0,1,emphasis of matter
15,2018-12-17,TOSRIFA,"Date, Time and Venue of the AGM",1,0,0,"date, time and venue of the agm"
16,2018-12-13,TOSRIFA,Sale Confirmation of a Director,0,0,0,sale confirmation of a director
17,2018-12-04,TOSRIFA,Sale Declaration of a Director,1,0,0,sale declaration of a director
18,2018-11-28,TOSRIFA,Credit Rating Result,0,0,0,credit rating result
19,2018-11-27,TOSRIFA,Sale Declaration of a Director,0,0,0,sale declaration of a director
20,2018-11-18,TOSRIFA,Resumption after record date,0,0,0,resumption after record date
21,2018-11-15,TOSRIFA,Suspension for Record Date,0,0,0,suspension for record date
22,2018-11-15,TOSRIFA,Q1 Financials,0,0,0,q1 financials
23,2018-11-13,TOSRIFA,Spot News,0,0,0,spot news
24,2018-11-12,TOSRIFA,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
25,2018-10-29,TOSRIFA,Price Limit Open,1,0,0,price limit open
26,2018-10-29,TOSRIFA,Dividend Declaration,1,0,0,dividend declaration
27,2018-10-21,TOSRIFA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
28,2018-09-03,TOSRIFA,Accepted the term loan facility and got natural gas connection,1,0,0,accepted the term loan facility and got natural gas connection
30,2018-09-03,TOSRIFA,Accepted the term loan facility and got natural gas connection,1,0,0,accepted the term loan facility and got natural gas connection
31,2018-08-07,TOSRIFA,Query Response,0,0,1,query response
32,2018-07-05,TOSRIFA,Query Response,0,0,0,query response
33,2018-04-30,TOSRIFA,Q3 Financials,0,0,0,q3 financials
34,2018-04-23,TOSRIFA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
38,2018-02-20,TOSRIFA,Emphasis of Matter & Other Matter,0,0,0,emphasis of matter  other matter
39,2018-01-31,TOSRIFA,Q2 Financials,0,0,0,q2 financials
40,2018-01-28,TOSRIFA,Dividend Disbursement,0,0,0,dividend disbursement
41,2018-01-24,TOSRIFA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
42,2017-12-03,TOSRIFA,Commencement of Partial Commercial Operation of BMRE Dyeing Unit,0,0,0,commencement of partial commercial operation of bmre dyeing unit
43,2017-11-28,TOSRIFA,Credit Rating Result,1,0,1,credit rating result
44,2017-11-20,TOSRIFA,Resumption after record date,0,0,0,resumption after record date
