,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,TRUSTBANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-04-23,TRUSTBANK,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
2,2018-11-29,TRUSTBANK,Board Decision to Purchase Land,0,0,0,board decision to purchase land
3,2018-10-18,TRUSTBANK,Q3 Financials,0,0,0,q3 financials
5,2018-10-14,TRUSTBANK,Consent accorded by BSEC to issue Subordinated Bond,1,0,0,consent accorded by bsec to issue subordinated bond
6,2018-10-11,TRUSTBANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
7,2018-07-22,TRUSTBANK,Q2 Financials,0,0,0,q2 financials
8,2018-07-15,TRUSTBANK,Appointment of Director and Chairman,0,0,1,appointment of director and chairman
9,2018-07-15,TRUSTBANK,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
10,2018-07-02,TRUSTBANK,Dividend Disbursement,0,0,0,dividend disbursement
11,2018-06-27,TRUSTBANK,Credit Rating Result,0,0,0,credit rating result
12,2018-05-22,TRUSTBANK,Resumption after record date,0,0,1,resumption after record date
13,2018-05-21,TRUSTBANK,Suspension for Record Date,1,0,0,suspension for record date
14,2018-05-17,TRUSTBANK,Spot News,0,0,0,spot news
15,2018-04-30,TRUSTBANK,Q1 Financials,0,0,0,q1 financials
16,2018-04-30,TRUSTBANK,Price Limit Open,0,0,0,price limit open
18,2018-04-30,TRUSTBANK,Dividend Declaration,0,0,0,dividend declaration
19,2018-04-24,TRUSTBANK,Reschedule of Board Meeting under LR 19(1),1,1,0,reschedule of board meeting under lr 191
20,2018-04-24,TRUSTBANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
21,2018-04-18,TRUSTBANK,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
22,2018-02-26,TRUSTBANK,Appointment of MD and CEO,0,1,1,appointment of md and ceo
23,2017-10-30,TRUSTBANK,Q3 Financials,0,0,0,q3 financials
