,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-03-10,TUNGHAI,Visit result on the Factory and Head Office of the Company,0,0,1,visit result on the factory and head office of the company
1,2019-03-07,TUNGHAI,Visit result on the Factory and Head Office of the Company,0,0,0,visit result on the factory and head office of the company
2,2019-03-06,TUNGHAI,Visit result on the Factory and Head Office of the Company,0,0,0,visit result on the factory and head office of the company
3,2019-03-05,TUNGHAI,Visit result on the Factory and Head Office of the Company,0,0,0,visit result on the factory and head office of the company
4,2019-03-04,TUNGHAI,Visit result on the Factory and Head Office of the Company,0,0,0,visit result on the factory and head office of the company
5,2018-01-01,TUNGHAI,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
6,2018-01-01,TUNGHAI,Category Change,0,0,0,category change
7,2017-07-13,TUNGHAI,Query Response,1,0,0,query response
8,2017-05-18,TUNGHAI,Enquiry Committee formed by BSEC,0,0,0,enquiry committee formed by bsec
9,2017-04-30,TUNGHAI,Q3 Financials,0,0,0,q3 financials
10,2017-04-24,TUNGHAI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
11,2017-04-12,TUNGHAI,Query Response,1,1,0,query response
12,2017-01-30,TUNGHAI,Q2 Financials,0,1,0,q2 financials
13,2017-01-25,TUNGHAI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
14,2017-01-25,TUNGHAI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2017-01-22,TUNGHAI,Dividend Disbursement,1,0,0,dividend disbursement
16,2017-01-19,TUNGHAI,Query Response,1,0,0,query response
17,2016-12-21,TUNGHAI,Emphasis of Matter,0,1,0,emphasis of matter
18,2016-11-24,TUNGHAI,Resumption after record date,1,0,0,resumption after record date
19,2016-11-21,TUNGHAI,Spot for EGM & AGM,1,1,0,spot for egm  agm
20,2016-11-16,TUNGHAI,Q1 Financials,0,1,0,q1 financials
21,2016-11-10,TUNGHAI,Board Meeting,0,0,0,board meeting
22,2016-10-30,TUNGHAI,Dividend Declaration & EGM for increasing Authorized Capital,1,1,0,dividend declaration  egm for increasing authorized capital
23,2016-10-30,TUNGHAI,Price Limit Open,1,1,0,price limit open
24,2016-10-20,TUNGHAI,Board meeting,0,0,0,board meeting
25,2015-10-29,TUNGHAI,Q3 Financials,1,0,0,q3 financials
26,2015-10-25,TUNGHAI,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2015-10-14,TUNGHAI,Credit Rating Result,0,0,0,credit rating result
28,2015-09-20,TUNGHAI,Dividend Disbursement,0,0,0,dividend disbursement
29,2015-08-03,TUNGHAI,Q2 Financials,0,1,0,q2 financials
30,2015-07-02,TUNGHAI, Resumption News after Record Date,0,0,0,resumption news after record date
31,2015-06-30,TUNGHAI,Suspension News for Record Date,1,0,0,suspension news for record date
32,2015-05-18,TUNGHAI,Q1 Financials,1,0,1,q1 financials
33,2015-04-30,TUNGHAI,no price limit today,1,0,0,no price limit today
34,2015-04-30,TUNGHAI,Dividend,1,0,0,dividend
35,2015-04-29,TUNGHAI,Board Meeting schedule under LR 30,0,1,0,board meeting schedule under lr 30
36,2014-12-21,TUNGHAI,now in A category,1,1,0,now in a category
37,2014-12-21,TUNGHAI,credited the bonus shares,1,1,0,credited the bonus shares
38,2014-11-05,TUNGHAI,trade resume,0,0,0,trade resume
39,2014-11-02,TUNGHAI,Q3 earnings,0,0,0,q3 earnings
40,2014-10-30,TUNGHAI,Spot Market Transaction,1,0,0,spot market transaction
41,2014-10-21,TUNGHAI,no price limit,0,1,0,no price limit
42,2014-10-21,TUNGHAI,10% stock dividend,0,1,0,10 stock dividend
43,2014-10-19,TUNGHAI,meeting of the Board of Directors,0,0,0,meeting of the board of directors
44,2014-09-17,TUNGHAI,H/Y,0,0,0,hy
45,2014-09-01,TUNGHAI,Q1,0,0,1,q1
46,2014-09-01,TUNGHAI,trade debut (Repeat),0,0,1,trade debut repeat
47,2014-08-28,TUNGHAI,will commence at DSE,0,0,0,will commence at dse
