,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,UCB,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
2,2018-11-19,UCB,Formation of a Subsidiary Company to Provide Mobile Financial Services,1,1,0,formation of a subsidiary company to provide mobile financial services
3,2018-11-15,UCB,Appointment of Managing Director,0,0,0,appointment of managing director
4,2018-11-12,UCB,Withdrawal of Authorized Representative,0,0,0,withdrawal of authorized representative
6,2018-11-07,UCB,Consent accorded by BSEC for issuing Subordinated Bond,1,0,0,consent accorded by bsec for issuing subordinated bond
7,2018-10-24,UCB,Q3 Financials,0,0,0,q3 financials
8,2018-10-18,UCB,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
9,2018-09-10,UCB,Withdrawal of Authorized Representative,0,1,0,withdrawal of authorized representative
10,2018-08-30,UCB,"Issuance of Unsecured, Non-Convertible, Non-Listed & Redeemable Sub. Bond",1,0,0,"issuance of unsecured, non-convertible, non-listed  redeemable sub. bond"
11,2018-07-10,UCB,Q2 Financials,1,0,0,q2 financials
12,2018-07-03,UCB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-07-02,UCB,Buy confirmation of a Sponsor Director,0,0,0,buy confirmation of a sponsor director
14,2018-06-11,UCB,Buy declaration of a Sponsor Director,1,0,0,buy declaration of a sponsor director
15,2018-06-04,UCB,Dividend Disbursement,0,0,1,dividend disbursement
16,2018-05-15,UCB,Q1 Financials (Correction News),1,0,0,q1 financials correction news
17,2018-05-15,UCB,Q1 Financials,1,0,0,q1 financials
18,2018-05-10,UCB,Credit Rating Result,0,0,0,credit rating result
19,2018-05-09,UCB,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
20,2018-04-15,UCB,Time and Venue of AGM,0,1,1,time and venue of agm
21,2018-04-11,UCB,Resumption after record date,0,0,0,resumption after record date
22,2018-04-10,UCB,Suspension for Record Date,0,0,0,suspension for record date
23,2018-04-08,UCB,Spot News,1,1,0,spot news
24,2018-03-21,UCB,Price Limit Open (Correction),0,1,0,price limit open correction
26,2018-03-21,UCB,Furnishing e-TIN Number and Information relating to Margin Loan,0,1,0,furnishing e-tin number and information relating to margin loan
27,2018-03-21,UCB,Price Limit Open,0,1,0,price limit open
28,2018-03-21,UCB,Dividend Declaration,0,1,0,dividend declaration
29,2018-03-13,UCB,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
31,2017-12-17,UCB,Consent accorded by BSEC for issuing Subordinated Bond,0,1,1,consent accorded by bsec for issuing subordinated bond
32,2017-11-05,UCB,Withdrawal of Authorized Representatives,0,1,1,withdrawal of authorized representatives
33,2017-11-01,UCB,Q3 Financials,1,0,0,q3 financials
34,2017-10-26,UCB,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
35,2017-10-24,UCB,Sale confirmation of a Sponsor,0,1,1,sale confirmation of a sponsor
36,2017-10-05,UCB,Sale declaration of a Sponsor,1,0,0,sale declaration of a sponsor
