,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,UNIONCAP,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
2,2018-10-31,UNIONCAP,Q3 Financials,1,0,0,q3 financials
3,2018-10-24,UNIONCAP,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2018-07-30,UNIONCAP,Q2 Financials,0,0,1,q2 financials
5,2018-07-29,UNIONCAP,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
6,2018-07-23,UNIONCAP,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
7,2018-07-15,UNIONCAP,Dividend Disbursement,0,1,0,dividend disbursement
8,2018-06-28,UNIONCAP,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
9,2018-06-28,UNIONCAP,Category Change,0,0,0,category change
10,2018-06-07,UNIONCAP,Credit Rating Result,0,0,0,credit rating result
11,2018-05-28,UNIONCAP,Resumption after record date,0,0,1,resumption after record date
12,2018-05-27,UNIONCAP,Suspension for Record Date,0,0,0,suspension for record date
13,2018-05-23,UNIONCAP,Spot News,0,1,0,spot news
14,2018-05-14,UNIONCAP,Q1 Financials,1,0,0,q1 financials
15,2018-05-07,UNIONCAP,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
16,2018-04-26,UNIONCAP,Price Limit Open,1,0,0,price limit open
18,2018-04-26,UNIONCAP,Dividend Declaration,1,0,0,dividend declaration
19,2018-04-18,UNIONCAP,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
20,2017-10-31,UNIONCAP,Sale confirmation of a Sponsor,0,1,1,sale confirmation of a sponsor
21,2017-10-31,UNIONCAP,Q3 Financials,0,1,1,q3 financials
22,2017-10-23,UNIONCAP,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
23,2017-10-11,UNIONCAP,Sale Confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
24,2017-10-11,UNIONCAP,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
25,2017-10-05,UNIONCAP,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
26,2017-09-27,UNIONCAP,BSEC accorded Consent for issuance of Non-Convertible Subordinated Bond,0,0,0,bsec accorded consent for issuance of non-convertible subordinated bond
27,2017-09-27,UNIONCAP,BSEC accorded Consent for issuance of Non-Convertible Subordinated Bond,0,0,0,bsec accorded consent for issuance of non-convertible subordinated bond
28,2017-08-31,UNIONCAP,Sale confirmation of a Nominated Director,1,0,0,sale confirmation of a nominated director
29,2017-08-23,UNIONCAP,Sale declaration of a Nominated Director,1,0,0,sale declaration of a nominated director
30,2017-07-31,UNIONCAP,Q2 Financials,1,1,0,q2 financials
31,2017-07-27,UNIONCAP,Sale confirmation of a Sponsor,0,0,0,sale confirmation of a sponsor
32,2017-07-24,UNIONCAP,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
33,2017-07-18,UNIONCAP,Sale declaration of a Sponsor,0,0,0,sale declaration of a sponsor
34,2017-07-13,UNIONCAP,Dividend Disbursement,0,0,0,dividend disbursement
35,2017-07-09,UNIONCAP,Dividend Disbursement,1,1,0,dividend disbursement
36,2017-06-18,UNIONCAP,Audited Q1 Financials,0,0,1,audited q1 financials
37,2017-06-11,UNIONCAP,Board meeting to review and approve Q1 audited financials,1,0,1,board meeting to review and approve q1 audited financials
38,2017-06-11,UNIONCAP,Board meeting to review and approve Q1 audited financials,1,0,1,board meeting to review and approve q1 audited financials
39,2017-05-31,UNIONCAP,Resumption after Record Date,0,0,0,resumption after record date
40,2017-05-30,UNIONCAP,Suspension for Record Date,0,0,0,suspension for record date
41,2017-05-28,UNIONCAP,Spot News,0,0,0,spot news
42,2017-05-28,UNIONCAP,Credit Rating Result,0,0,0,credit rating result
43,2017-05-08,UNIONCAP,Issuance of Subordinated Redeemable Non-convertible Bonds,1,0,0,issuance of subordinated redeemable non-convertible bonds
44,2017-05-08,UNIONCAP,Q1 Financials,1,0,0,q1 financials
45,2017-05-08,UNIONCAP,Price Limit Open,1,0,0,price limit open
47,2017-05-08,UNIONCAP,Dividend Declaration,1,0,0,dividend declaration
48,2017-05-02,UNIONCAP,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
49,2017-04-30,UNIONCAP,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
50,2016-12-11,UNIONCAP,Agreement for purchase of floor Space,0,1,0,agreement for purchase of floor space
51,2016-10-31,UNIONCAP,Q3 Financials,0,1,1,q3 financials
52,2016-10-25,UNIONCAP,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
53,2016-10-02,UNIONCAP,Query Response,1,0,0,query response
54,2016-09-21,UNIONCAP,Confirmation of sale by a Sponsor,1,1,0,confirmation of sale by a sponsor
