,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-21,UNIQUEHRL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
1,2019-01-28,UNIQUEHRL,Q2 Financials,0,1,1,q2 financials
2,2019-01-22,UNIQUEHRL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
3,2019-01-06,UNIQUEHRL,Dividend Disbursement,0,0,0,dividend disbursement
4,2018-12-26,UNIQUEHRL,Credit Rating Result,0,0,0,credit rating result
7,2018-11-15,UNIQUEHRL,Information regarding Margin Loan,1,0,0,information regarding margin loan
8,2018-11-14,UNIQUEHRL,Q1 Financials,0,1,0,q1 financials
9,2018-11-13,UNIQUEHRL,Resumption after Record Date,0,0,1,resumption after record date
10,2018-11-13,UNIQUEHRL,Buy Intimation,0,0,1,buy intimation
11,2018-11-12,UNIQUEHRL,Suspension for Record Date,0,0,0,suspension for record date
12,2018-11-08,UNIQUEHRL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
13,2018-11-08,UNIQUEHRL,Spot News,1,0,0,spot news
15,2018-11-06,UNIQUEHRL,Updating Information,1,1,1,updating information
16,2018-10-24,UNIQUEHRL,Price Limit Open,0,0,0,price limit open
17,2018-10-24,UNIQUEHRL,Dividend Declaration,0,0,0,dividend declaration
18,2018-10-16,UNIQUEHRL,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
20,2018-09-30,UNIQUEHRL,Equity Investment in Unique Meghnaghat  Power Ltd.,0,1,1,equity investment in unique meghnaghat  power ltd.
22,2018-06-27,UNIQUEHRL,LOI received from BPDB under the Consortium,0,0,0,loi received from bpdb under the consortium
23,2018-04-30,UNIQUEHRL,Q3 Financials,0,0,0,q3 financials
24,2018-04-22,UNIQUEHRL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
25,2018-03-07,UNIQUEHRL,"Decision to open ""HANSA""; a premium residence by the Company",1,1,0,decision to open hansa; a premium residence by the company
26,2018-02-20,UNIQUEHRL,Buy Confirmation,1,0,0,buy confirmation
27,2018-02-06,UNIQUEHRL,Buy Intimation,1,0,1,buy intimation
28,2018-01-30,UNIQUEHRL,Dividend Disbursement,0,0,0,dividend disbursement
29,2018-01-30,UNIQUEHRL,Q2 Financials,0,0,0,q2 financials
30,2018-01-24,UNIQUEHRL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
31,2017-12-13,UNIQUEHRL,Credit Rating Result,0,1,0,credit rating result
32,2017-11-30,UNIQUEHRL,Resumption after record date,0,0,0,resumption after record date
33,2017-11-29,UNIQUEHRL,Suspension for Record Date,0,0,0,suspension for record date
34,2017-11-28,UNIQUEHRL,Buy confirmation of an Independent Director,0,0,0,buy confirmation of an independent director
35,2017-11-27,UNIQUEHRL,Spot News,0,0,0,spot news
37,2017-11-26,UNIQUEHRL,Updating information of Margin Account Holders,0,0,0,updating information of margin account holders
39,2017-11-26,UNIQUEHRL,Furnishing 12 digits e-TIN Number,0,0,0,furnishing 12 digits e-tin number
40,2017-11-14,UNIQUEHRL,Q1 Financials,0,1,1,q1 financials
41,2017-11-09,UNIQUEHRL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
42,2017-11-06,UNIQUEHRL,Buy declaration of an Independent Director,1,0,0,buy declaration of an independent director
43,2017-10-29,UNIQUEHRL,Price Limit Open,1,0,1,price limit open
45,2017-10-29,UNIQUEHRL,Dividend Declaration,1,0,1,dividend declaration
46,2017-10-19,UNIQUEHRL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
47,2017-04-30,UNIQUEHRL,Q3 Financials,1,0,0,q3 financials
48,2017-04-30,UNIQUEHRL,Reschedule of Board Meeting schedule under LR 16(1),1,0,0,reschedule of board meeting schedule under lr 161
49,2017-04-27,UNIQUEHRL,Reschedule of Board Meeting schedule under LR 16(1),1,0,0,reschedule of board meeting schedule under lr 161
50,2017-04-24,UNIQUEHRL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
51,2017-04-06,UNIQUEHRL,Confirmation of transfer by a Sponsor Director,1,0,0,confirmation of transfer by a sponsor director
52,2017-04-02,UNIQUEHRL,Declaration of transfer by a Sponsor Director,0,0,1,declaration of transfer by a sponsor director
53,2017-02-06,UNIQUEHRL,Buy Confirmation of Sponsors/Directors,0,1,1,buy confirmation of sponsorsdirectors
54,2017-01-29,UNIQUEHRL,Q2 Financials,0,0,1,q2 financials
55,2017-01-23,UNIQUEHRL,Dividend Disbursement,1,0,0,dividend disbursement
56,2017-01-22,UNIQUEHRL, Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
57,2017-01-22,UNIQUEHRL,Appointment of Managing Director,1,1,0,appointment of managing director
58,2017-01-18,UNIQUEHRL,Buy Declaration of Sponsors/Directors,0,1,0,buy declaration of sponsorsdirectors
59,2016-12-04,UNIQUEHRL,Extra Ordinary and Special Resolution for AGM,1,0,0,extra ordinary and special resolution for agm
60,2016-11-28,UNIQUEHRL,Credit Rating Result,0,1,0,credit rating result
61,2016-11-15,UNIQUEHRL,Q1 Financials,0,0,1,q1 financials
62,2016-11-13,UNIQUEHRL,Board Meeting,1,0,0,board meeting
63,2016-11-13,UNIQUEHRL,Board Meeting,1,0,0,board meeting
64,2016-11-10,UNIQUEHRL,Resumption after record date,0,0,0,resumption after record date
65,2016-11-09,UNIQUEHRL,Suspension for record date,0,0,0,suspension for record date
66,2016-11-07,UNIQUEHRL,Spot for AGM,0,0,0,spot for agm
67,2016-10-25,UNIQUEHRL,Updating information of Margin Account Holders,1,0,0,updating information of margin account holders
68,2016-10-25,UNIQUEHRL,Furnishing 12 digits e-TIN Number,1,0,0,furnishing 12 digits e-tin number
69,2016-10-20,UNIQUEHRL,Price Limit Open,0,0,0,price limit open
70,2016-10-20,UNIQUEHRL,Dividend Declaration,0,0,0,dividend declaration
71,2016-10-13,UNIQUEHRL,Board Meeting,0,0,0,board meeting
72,2016-05-24,UNIQUEHRL,Change of Financial year,1,0,0,change of financial year
73,2016-03-21,UNIQUEHRL,Land Purchase,1,0,0,land purchase
74,2015-10-20,UNIQUEHRL,Q3 Financials,0,1,0,q3 financials
75,2015-08-16,UNIQUEHRL, Dividend Disbursement,0,0,1,dividend disbursement
76,2015-07-27,UNIQUEHRL, Half Yearly Financials,0,0,0,half yearly financials
77,2015-07-14,UNIQUEHRL,Credit Rating,0,0,0,credit rating
78,2015-05-26,UNIQUEHRL,Buy Declaration of a Corporate Sponsor/Director,0,0,1,buy declaration of a corporate sponsordirector
79,2015-05-24,UNIQUEHRL,Resumption News after Record Date,0,1,0,resumption news after record date
80,2015-05-21,UNIQUEHRL,Suspension News for Record Date,1,0,0,suspension news for record date
81,2015-05-19,UNIQUEHRL,Spot News for AGM,1,0,1,spot news for agm
82,2015-05-17,UNIQUEHRL,Q1 Financials,1,1,1,q1 financials
83,2015-04-30,UNIQUEHRL,no price limit today,0,0,0,no price limit today
84,2015-04-30,UNIQUEHRL,Dividend,0,0,0,dividend
85,2015-04-29,UNIQUEHRL,Board Meeting schedule under LR 30,1,0,0,board meeting schedule under lr 30
86,2015-03-09,UNIQUEHRL,Agreement Signing,0,0,1,agreement signing
87,2014-10-30,UNIQUEHRL,Q3 Earnings,0,0,0,q3 earnings
88,2014-07-24,UNIQUEHRL,H/Y Earnings,1,0,0,hy earnings
89,2014-05-27,UNIQUEHRL,Credit Rating,0,0,0,credit rating
90,2014-05-07,UNIQUEHRL,has been credited Cash Dividend,0,0,0,has been credited cash dividend
91,2014-04-28,UNIQUEHRL,Q1 Earning,0,0,0,q1 earning
92,2014-03-18,UNIQUEHRL,trade resume,0,0,1,trade resume
93,2014-03-09,UNIQUEHRL,no price limit,0,0,1,no price limit
94,2014-03-09,UNIQUEHRL,25% cash dividend,0,0,1,25 cash dividend
95,2014-03-04,UNIQUEHRL,Board meeting,0,0,0,board meeting
96,2013-10-31,UNIQUEHRL,Q3 Earnings,0,0,0,q3 earnings
97,2013-10-03,UNIQUEHRL,Sponsors Share Sell,0,0,0,sponsors share sell
98,2013-08-19,UNIQUEHRL,Sponsors Share Sell,0,0,0,sponsors share sell
99,2013-08-19,UNIQUEHRL,Investment in New Company,0,0,0,investment in new company
100,2013-07-28,UNIQUEHRL,Q 2 Earnings,0,1,0,q 2 earnings
101,2013-06-30,UNIQUEHRL,Letter of Intent,0,0,1,letter of intent
102,2013-05-20,UNIQUEHRL,Trade Resume after Record Date,0,0,0,trade resume after record date
103,2013-05-19,UNIQUEHRL,Trade Suspension on Record date,1,0,0,trade suspension on record date
104,2013-05-15,UNIQUEHRL,Q1 Earnings,0,1,0,q1 earnings
105,2013-05-14,UNIQUEHRL,Spot Market Trading,1,0,1,spot market trading
106,2013-05-12,UNIQUEHRL,AGM,1,1,1,agm
107,2013-04-30,UNIQUEHRL,Corporate Declaration,0,0,1,corporate declaration
108,2013-04-28,UNIQUEHRL,Board Meeting,0,0,0,board meeting
109,2013-02-05,UNIQUEHRL,Credit Rating,1,0,0,credit rating
110,2012-11-20,UNIQUEHRL,Category Change,1,0,1,category change
111,2012-11-20,UNIQUEHRL,Non Marginable due to category change,1,0,1,non marginable due to category change
112,2012-10-30,UNIQUEHRL,Q3 Earnings 2012,0,0,0,q3 earnings 2012
113,2012-09-25,UNIQUEHRL,trading will resume after record date,0,0,0,trading will resume after record date
114,2012-09-24,UNIQUEHRL,trading will be suspended on record date,1,0,0,trading will be suspended on record date
115,2012-09-20,UNIQUEHRL,AGM venue,0,0,0,agm venue
116,2012-09-19,UNIQUEHRL,trading will be in the spot market,1,0,0,trading will be in the spot market
117,2012-09-16,UNIQUEHRL,corporate declaration,0,0,1,corporate declaration
