,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-03-18,UNITEDFIN,Resumption after record date,0,0,1,resumption after record date
1,2019-03-14,UNITEDFIN,Suspension for Record date,0,0,0,suspension for record date
2,2019-03-12,UNITEDFIN,Spot News,0,0,0,spot news
3,2019-02-24,UNITEDFIN,"To issue Zero Coupon Bonds of Tk. 5,000 mn. through Private Placement",0,1,0,"to issue zero coupon bonds of tk. 5,000 mn. through private placement"
4,2019-02-24,UNITEDFIN,Price Limit Open,0,1,0,price limit open
5,2019-02-24,UNITEDFIN,Dividend Declaration,0,1,0,dividend declaration
6,2019-02-12,UNITEDFIN,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
7,2019-01-15,UNITEDFIN,Query Response,0,0,1,query response
9,2018-10-21,UNITEDFIN,Q3 Financials,1,0,0,q3 financials
10,2018-10-14,UNITEDFIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
11,2018-09-24,UNITEDFIN,Sale Confirmation of a Corporate Sponsor Director,0,0,0,sale confirmation of a corporate sponsor director
12,2018-09-17,UNITEDFIN,Sale Declaration of a Corporate Sponsor Director,0,0,1,sale declaration of a corporate sponsor director
13,2018-09-13,UNITEDFIN,Sale Confirmation of a Corporate Sponsor Director,0,0,0,sale confirmation of a corporate sponsor director
14,2018-09-05,UNITEDFIN,Sale Confirmation of a Corporate Sponsor Director,0,1,0,sale confirmation of a corporate sponsor director
15,2018-09-04,UNITEDFIN,Sale Declaration of a Corporate Sponsor Director,0,0,1,sale declaration of a corporate sponsor director
16,2018-08-27,UNITEDFIN,Sale Declaration of a Corporate Sponsor Director,0,1,0,sale declaration of a corporate sponsor director
17,2018-07-26,UNITEDFIN,Q2 Financials,0,0,0,q2 financials
18,2018-07-19,UNITEDFIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
19,2018-07-12,UNITEDFIN,Credit Rating Result,1,0,0,credit rating result
20,2018-05-16,UNITEDFIN,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
21,2018-05-15,UNITEDFIN,Dividend Disbursement,0,1,0,dividend disbursement
22,2018-04-30,UNITEDFIN,Q1 Financials,0,0,0,q1 financials
23,2018-04-22,UNITEDFIN,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
24,2018-03-18,UNITEDFIN,Resumption after record date,0,0,0,resumption after record date
25,2018-03-15,UNITEDFIN,Suspension for Record Date,1,0,0,suspension for record date
26,2018-03-13,UNITEDFIN,Spot News,0,0,1,spot news
27,2018-02-25,UNITEDFIN,Price Limit Open,0,0,1,price limit open
28,2018-02-25,UNITEDFIN,Dividend Declaration,0,0,1,dividend declaration
29,2018-02-13,UNITEDFIN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
30,2017-10-22,UNITEDFIN,Q3 Financials,0,0,0,q3 financials
31,2017-10-16,UNITEDFIN,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
32,2017-07-25,UNITEDFIN,Q2 Financials,1,1,0,q2 financials
33,2017-07-18,UNITEDFIN,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
34,2017-06-14,UNITEDFIN,Sale confirmation of a Director,1,0,0,sale confirmation of a director
35,2017-06-08,UNITEDFIN,Sale declaration of the Managing Director,1,0,0,sale declaration of the managing director
36,2017-05-21,UNITEDFIN,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
37,2017-05-14,UNITEDFIN,Q1 Financials,0,0,0,q1 financials
38,2017-05-09,UNITEDFIN,Dividend Disbursement,1,0,0,dividend disbursement
39,2017-05-07,UNITEDFIN,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
40,2017-03-13,UNITEDFIN,Spot News,1,0,0,spot news
41,2017-02-26,UNITEDFIN,Price Limit Open,1,1,1,price limit open
42,2017-02-26,UNITEDFIN,Dividend Declaration,1,1,1,dividend declaration
43,2016-10-30,UNITEDFIN,Q3 Financials,1,1,0,q3 financials
44,2016-10-24,UNITEDFIN,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
45,2016-07-24,UNITEDFIN,Q2 Financials,0,0,0,q2 financials
46,2016-05-09,UNITEDFIN,Stock Dividend Disbursement,0,1,1,stock dividend disbursement
47,2016-03-10,UNITEDFIN,Resumption after Record,0,0,0,resumption after record
48,2016-03-09,UNITEDFIN,Suspension for Record,1,0,0,suspension for record
49,2016-03-07,UNITEDFIN,Spot for AGM,1,1,1,spot for agm
50,2016-02-18,UNITEDFIN, Price Limit Open,0,0,0,price limit open
51,2016-02-18,UNITEDFIN,Dividend Declaration,0,0,0,dividend declaration
52,2016-02-10,UNITEDFIN,Board Meeting,0,0,0,board meeting
53,2015-10-25,UNITEDFIN,Confirmation of sale by an Ex Officio Director,1,1,0,confirmation of sale by an ex officio director
54,2015-10-18,UNITEDFIN,Q3 Financials,0,0,0,q3 financials
55,2015-10-12,UNITEDFIN,Declaration of sale by an Ex Officio Director,1,0,0,declaration of sale by an ex officio director
56,2015-07-07,UNITEDFIN,Half Yearly Financials,0,0,1,half yearly financials
57,2015-06-14,UNITEDFIN,Buy confirmation of Nominated Director,0,1,0,buy confirmation of nominated director
58,2015-05-21,UNITEDFIN,Buy Declaration of a Nominated Director,0,0,0,buy declaration of a nominated director
59,2015-05-14,UNITEDFIN,Q1 Financials,0,0,0,q1 financials
60,2015-05-10,UNITEDFIN,Stock Dividend Disbursement,1,0,0,stock dividend disbursement
61,2015-05-07,UNITEDFIN,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
62,2015-03-18,UNITEDFIN,Resumption News after Record Date,0,0,0,resumption news after record date
63,2015-03-16,UNITEDFIN,Suspension News for Record date,1,0,0,suspension news for record date
64,2015-03-12,UNITEDFIN,Spot News for AGM,0,0,0,spot news for agm
65,2015-03-08,UNITEDFIN,Price Limit Open,0,0,0,price limit open
66,2015-03-08,UNITEDFIN,Dividend Declaration,0,0,0,dividend declaration
67,2015-03-04,UNITEDFIN,Board Meeting,0,0,0,board meeting
