,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-21,UPGDCL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-03-24,UPGDCL,Credit Rating Result,0,0,0,credit rating result
2,2019-02-03,UPGDCL,Q2 Financials,1,1,0,q2 financials
3,2019-01-29,UPGDCL,Financial Performance disclosure session,0,0,1,financial performance disclosure session
4,2019-01-28,UPGDCL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
5,2019-01-27,UPGDCL,Query Response,1,1,0,query response
7,2018-12-27,UPGDCL,Off Market Transaction as per BSEC approval,0,0,0,off market transaction as per bsec approval
9,2018-12-09,UPGDCL,Final and Interim Dividend declared by the Subsidiary Company of UPGDCL,1,0,1,final and interim dividend declared by the subsidiary company of upgdcl
10,2018-12-02,UPGDCL,Cash Dividend Disbursement,0,0,0,cash dividend disbursement
11,2018-11-18,UPGDCL,Q1 Financials,1,0,0,q1 financials
14,2018-11-14,UPGDCL,Decision to acquire 99% shares of a sister concern; UEL,1,1,0,decision to acquire 99 shares of a sister concern; uel
15,2018-11-12,UPGDCL,New Date of Board Meeting schedule under LR 16(1),0,1,1,new date of board meeting schedule under lr 161
16,2018-11-04,UPGDCL,Dividend Disbursement,0,0,0,dividend disbursement
18,2018-10-31,UPGDCL,Information for Brokerage Houses/DPs/TREC Holders regarding Margin Loan,1,0,0,information for brokerage housesdpstrec holders regarding margin loan
19,2018-10-28,UPGDCL,Postponement of Board Meeting schedule under LR 16(1),0,0,0,postponement of board meeting schedule under lr 161
23,2018-10-25,UPGDCL,Off Market Transaction as per BSEC approval,1,0,0,off market transaction as per bsec approval
25,2018-10-24,UPGDCL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
26,2018-10-09,UPGDCL,Query Response,1,0,0,query response
27,2018-10-02,UPGDCL,Updating information,0,1,1,updating information
28,2018-09-06,UPGDCL,Resumption after record date,0,0,0,resumption after record date
29,2018-09-05,UPGDCL,Suspension for Record Date,0,0,0,suspension for record date
30,2018-09-03,UPGDCL,Spot News,1,0,0,spot news
31,2018-08-09,UPGDCL,Price Limit Open,1,0,0,price limit open
32,2018-08-09,UPGDCL,Dividend Declaration,1,0,0,dividend declaration
33,2018-08-01,UPGDCL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
36,2018-06-28,UPGDCL,Decision to acquire majority shares in the United Ashuganj Energy Ltd.,0,0,0,decision to acquire majority shares in the united ashuganj energy ltd.
37,2018-06-19,UPGDCL,Query Response,1,1,0,query response
39,2018-05-17,UPGDCL,Query Response on a news published in the newspaper,1,0,0,query response on a news published in the newspaper
40,2018-05-07,UPGDCL,Query Response,1,1,1,query response
41,2018-04-23,UPGDCL,Q3 Financials,1,1,1,q3 financials
42,2018-04-17,UPGDCL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
43,2018-04-17,UPGDCL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
44,2018-02-26,UPGDCL,Dividend Disbursement,0,0,0,dividend disbursement
45,2018-02-26,UPGDCL,Credit Rating Result,0,0,0,credit rating result
46,2018-02-15,UPGDCL,Dividend Disbursement,0,0,0,dividend disbursement
48,2018-01-28,UPGDCL,Information for Brokerage Houses/DPs/TREC Holders regarding Margin Loan,0,1,0,information for brokerage housesdpstrec holders regarding margin loan
49,2018-01-28,UPGDCL,Q2 Financials,0,1,0,q2 financials
50,2018-01-24,UPGDCL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
51,2018-01-14,UPGDCL,Time and Venue of the AGM,0,0,1,time and venue of the agm
53,2018-01-11,UPGDCL,Completion of Sponsor Share Transfer to UEL & Board reconstitution,0,0,0,completion of sponsor share transfer to uel  board reconstitution
54,2018-01-08,UPGDCL,Resumption after record date,0,0,1,resumption after record date
55,2018-01-07,UPGDCL,Suspension for Record date,1,0,0,suspension for record date
56,2018-01-03,UPGDCL,Spot News,1,1,0,spot news
