,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,USMANIAGL,Q3 Financials,0,0,0,q3 financials
1,2019-04-21,USMANIAGL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
3,2019-01-31,USMANIAGL,Q2 Financials,0,0,0,q2 financials
4,2019-01-24,USMANIAGL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
5,2019-01-22,USMANIAGL,Dividend Disbursement,0,0,0,dividend disbursement
6,2018-12-05,USMANIAGL,Change of AGM Date,0,0,0,change of agm date
7,2018-11-22,USMANIAGL,Resumption after record date,0,0,0,resumption after record date
8,2018-11-20,USMANIAGL,Suspension for Record date,1,0,0,suspension for record date
9,2018-11-18,USMANIAGL,Spot News,1,0,1,spot news
10,2018-10-30,USMANIAGL,Dividend Declaration (Additional information),0,0,0,dividend declaration additional information
11,2018-10-30,USMANIAGL,Q1 Financials,0,0,0,q1 financials
12,2018-10-30,USMANIAGL,Price Limit Open,0,0,0,price limit open
13,2018-10-30,USMANIAGL,Dividend Declaration,0,0,0,dividend declaration
14,2018-10-28,USMANIAGL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
15,2018-10-22,USMANIAGL,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
16,2018-07-25,USMANIAGL,Revaluation of Fixed Assets of the Company,0,0,0,revaluation of fixed assets of the company
17,2018-06-19,USMANIAGL,Query Response,0,1,0,query response
18,2018-05-08,USMANIAGL,Sale Confirmation of a Corporate Director,1,0,0,sale confirmation of a corporate director
19,2018-04-30,USMANIAGL,Q3 Financials,0,0,0,q3 financials
20,2018-04-22,USMANIAGL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
21,2018-04-17,USMANIAGL,Query Response,0,1,0,query response
22,2018-04-11,USMANIAGL,Sale declaration of a Corporate Director,1,1,0,sale declaration of a corporate director
23,2018-03-13,USMANIAGL,Sale confirmation of Corporate Directors,0,1,1,sale confirmation of corporate directors
24,2018-03-12,USMANIAGL,Buy confirmation of a Corporate Director,0,0,1,buy confirmation of a corporate director
25,2018-02-08,USMANIAGL,Sale/Buy declarations of Corporate Directors,1,0,0,salebuy declarations of corporate directors
26,2018-02-08,USMANIAGL,Query Response,1,0,0,query response
27,2018-01-29,USMANIAGL,Dividend Disbursement,1,0,0,dividend disbursement
28,2018-01-22,USMANIAGL,Q2 Financials,1,0,1,q2 financials
29,2018-01-16,USMANIAGL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
30,2017-12-10,USMANIAGL,Query Response,1,0,0,query response
31,2017-11-22,USMANIAGL,Resumption after record date,0,1,0,resumption after record date
32,2017-11-21,USMANIAGL,Suspension for Record Date,1,0,1,suspension for record date
33,2017-11-19,USMANIAGL,Spot for AGM,1,0,1,spot for agm
34,2017-10-31,USMANIAGL,Q1 Financials,1,1,0,q1 financials
35,2017-10-31,USMANIAGL,Price Limit Open,1,1,0,price limit open
36,2017-10-31,USMANIAGL,Dividend Declaration,1,1,0,dividend declaration
37,2017-10-22,USMANIAGL,Board Meeting schedule under LR 19(1),0,0,1,board meeting schedule under lr 191
38,2017-10-22,USMANIAGL,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
39,2017-09-07,USMANIAGL,Query Response,0,0,0,query response
40,2017-05-02,USMANIAGL,Q3 Financials,1,1,0,q3 financials
41,2017-04-25,USMANIAGL,Revised Board Meeting schedule under LR 16(1),0,0,1,revised board meeting schedule under lr 161
42,2017-04-23,USMANIAGL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
43,2017-01-29,USMANIAGL,Q2 Financials (Revised NAV),0,1,0,q2 financials revised nav
44,2017-01-26,USMANIAGL,Q2 Financials,0,0,0,q2 financials
45,2017-01-24,USMANIAGL,Dividend Disbursement,0,0,0,dividend disbursement
46,2017-01-22,USMANIAGL,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
47,2016-11-27,USMANIAGL,Resumption after record date,0,1,1,resumption after record date
48,2016-11-24,USMANIAGL,Suspension for record date,1,0,0,suspension for record date
49,2016-11-22,USMANIAGL,Spot for AGM,0,0,1,spot for agm
50,2016-11-01,USMANIAGL,Q1 Financials,0,1,1,q1 financials
51,2016-11-01,USMANIAGL,Price Limit Open,0,1,1,price limit open
52,2016-11-01,USMANIAGL,Dividend Declaration,0,1,1,dividend declaration
53,2016-10-23,USMANIAGL, Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
54,2016-10-23,USMANIAGL,Board Meeting schedule under LR 19(1),0,1,1,board meeting schedule under lr 191
55,2016-08-07,USMANIAGL,Query Response,1,0,0,query response
56,2016-04-21,USMANIAGL,Q3,0,0,0,q3
57,2016-04-21,USMANIAGL,Q3 Financials,0,0,0,q3 financials
58,2016-04-19,USMANIAGL,Board Meeting,0,0,0,board meeting
59,2016-01-25,USMANIAGL,Q2 Financials,1,0,0,q2 financials
60,2016-01-24,USMANIAGL,Board Meeting,1,1,0,board meeting
61,2016-01-24,USMANIAGL,Dividend Disbursement,1,1,0,dividend disbursement
62,2015-11-26,USMANIAGL,Resumption News after Record date,0,0,0,resumption news after record date
63,2015-11-25,USMANIAGL,Suspension News for Record Date,0,0,0,suspension news for record date
64,2015-11-23,USMANIAGL,Spot News for AGM,1,0,0,spot news for agm
65,2015-11-02,USMANIAGL,Price Limit Open,1,1,0,price limit open
66,2015-11-02,USMANIAGL,Dividend Declaration,1,1,0,dividend declaration
67,2015-10-27,USMANIAGL,Board Meeting,0,0,0,board meeting
68,2015-10-26,USMANIAGL,Board Meeting,1,0,0,board meeting
69,2015-09-13,USMANIAGL,Q3 Financials (Repeat),1,0,0,q3 financials repeat
70,2015-04-30,USMANIAGL,Q3,0,0,0,q3
71,2015-02-24,USMANIAGL,Query Response,1,0,1,query response
72,2015-01-27,USMANIAGL,H/Y,1,0,0,hy
73,2014-11-20,USMANIAGL,Trade Resume,0,0,0,trade resume
74,2014-11-19,USMANIAGL,Trade suspended,0,0,0,trade suspended
75,2014-11-17,USMANIAGL,Spot Market and Block/Odd lot transactions,0,1,0,spot market and blockodd lot transactions
76,2014-11-11,USMANIAGL,Q1 Earnings,1,1,1,q1 earnings
77,2014-10-29,USMANIAGL,recommended 11% cash and 10% Stock Dividend,1,0,0,recommended 11 cash and 10 stock dividend
78,2014-10-26,USMANIAGL,Board Meeting,0,0,0,board meeting
79,2014-10-15,USMANIAGL,DSE query,0,1,0,dse query
80,2014-04-24,USMANIAGL,Q3 Earnings,0,0,0,q3 earnings
81,2014-02-12,USMANIAGL,27th AGM,0,1,0,27th agm
82,2014-01-28,USMANIAGL,H/Y Earnings,0,0,0,hy earnings
83,2013-12-30,USMANIAGL,non marginable,1,0,1,non marginable
84,2013-12-30,USMANIAGL,Category Change,1,0,1,category change
85,2013-12-24,USMANIAGL,AGM,0,0,0,agm
86,2013-11-07,USMANIAGL,trade resume after record date,0,0,0,trade resume after record date
87,2013-11-06,USMANIAGL,trade suspension on record date,0,0,0,trade suspension on record date
88,2013-11-04,USMANIAGL,Q1 Earnings,1,0,0,q1 earnings
89,2013-11-03,USMANIAGL,Record Date,1,1,0,record date
90,2013-10-27,USMANIAGL,Corporate Action,0,0,1,corporate action
91,2013-10-27,USMANIAGL,No Price Limit,0,0,1,no price limit
92,2013-04-29,USMANIAGL,Q3 Earnings,0,0,0,q3 earnings
93,2013-01-30,USMANIAGL,,0,0,0,
94,2013-01-29,USMANIAGL,H/Y Earnings 2012-13,1,0,0,hy earnings 2012-13
95,2012-11-07,USMANIAGL,Q1 Earnings 2012,1,1,0,q1 earnings 2012
96,2012-10-30,USMANIAGL,corporate declaration,0,1,0,corporate declaration
97,2012-01-03,USMANIAGL,- The Company has informed...,1,1,0,the company has informed
98,2011-11-15,USMANIAGL,- As per un-audited...,0,1,1,as per un-audited
99,2011-10-31,USMANIAGL,- Normal trading of the shares...,0,1,0,normal trading of the shares
100,2011-10-30,USMANIAGL,- Trading of the shares...,1,0,1,trading of the shares
101,2011-10-25,USMANIAGL,- Trading of the shares...,0,1,0,trading of the shares
102,2011-10-24,USMANIAGL,- The Company has further...,0,0,1,the company has further
103,2011-10-23,USMANIAGL,- The Board of Directors ...,0,0,0,the board of directors
104,2011-10-23,USMANIAGL,- There will be no price limit...,0,0,0,there will be no price limit
105,2011-10-18,USMANIAGL,- As per regulation...,0,1,0,as per regulation
