,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,UTTARABANK,Price Limit Open,0,0,1,price limit open
2,2019-04-28,UTTARABANK,Dividend Declaration,0,0,1,dividend declaration
3,2019-04-18,UTTARABANK,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
4,2018-10-23,UTTARABANK,Q3 Financials,0,1,0,q3 financials
5,2018-10-17,UTTARABANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
6,2018-07-26,UTTARABANK,Q2 Financials,0,0,0,q2 financials
7,2018-07-22,UTTARABANK,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
8,2018-07-02,UTTARABANK,Credit Rating Result,0,0,0,credit rating result
9,2018-06-20,UTTARABANK,Dividend Disbursement,1,1,0,dividend disbursement
10,2018-05-10,UTTARABANK,Q1 Financials,0,0,0,q1 financials
11,2018-05-06,UTTARABANK,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
12,2018-05-03,UTTARABANK,Resumption after record date,0,0,0,resumption after record date
13,2018-04-30,UTTARABANK,Suspension for Record Date,0,0,0,suspension for record date
14,2018-04-25,UTTARABANK,Spot News,1,0,0,spot news
15,2018-04-09,UTTARABANK,Price Limit Open,1,0,0,price limit open
17,2018-04-09,UTTARABANK,Dividend Declaration,1,0,0,dividend declaration
18,2018-04-01,UTTARABANK,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
19,2017-10-25,UTTARABANK,Q3 Financials,1,1,0,q3 financials
20,2017-10-18,UTTARABANK,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
21,2017-08-16,UTTARABANK,Query Response,1,0,0,query response
22,2017-07-26,UTTARABANK,Q2 Financials,1,0,0,q2 financials
23,2017-07-20,UTTARABANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
24,2017-06-15,UTTARABANK,Credit Rating Result,1,0,0,credit rating result
25,2017-06-14,UTTARABANK,Cash Dividend Disbursement,1,1,0,cash dividend disbursement
26,2017-05-16,UTTARABANK,Q1 Financials,0,0,1,q1 financials
27,2017-05-08,UTTARABANK,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
28,2017-05-04,UTTARABANK,Resumption after Record Date,0,0,0,resumption after record date
29,2017-05-03,UTTARABANK,Suspension for Record Date,1,0,0,suspension for record date
30,2017-04-30,UTTARABANK,Spot News,1,0,1,spot news
31,2017-04-13,UTTARABANK,Price Limit Open,1,0,0,price limit open
33,2017-04-13,UTTARABANK,Dividend Declaration,1,0,0,dividend declaration
34,2017-04-05,UTTARABANK,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
35,2016-10-16,UTTARABANK,Q3 Financials,0,0,0,q3 financials
36,2016-10-09,UTTARABANK, Board Meeting,1,0,0,board meeting
37,2016-07-18,UTTARABANK,Q2 Financials,1,0,0,q2 financials
38,2016-07-14,UTTARABANK,Board Meeting,1,0,0,board meeting
39,2016-06-23,UTTARABANK,Credit Rating Result,0,0,0,credit rating result
40,2016-05-15,UTTARABANK,Appointment of Managing Director,1,1,1,appointment of managing director
41,2016-05-12,UTTARABANK,Cash Dividend Disbursement,1,0,0,cash dividend disbursement
42,2016-05-08,UTTARABANK,Q1,1,1,1,q1
43,2016-04-28,UTTARABANK,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
44,2016-04-07,UTTARABANK,Resumption after Record,0,0,0,resumption after record
45,2016-04-06,UTTARABANK,Suspension for Record,0,0,0,suspension for record
46,2016-04-04,UTTARABANK,Spot for AGM,1,0,0,spot for agm
47,2016-03-20,UTTARABANK,Dividend Declaration,0,1,0,dividend declaration
48,2016-03-08,UTTARABANK,Board Meeting,1,1,1,board meeting
49,2015-10-25,UTTARABANK,Q3 Financials,0,0,1,q3 financials
50,2015-10-20,UTTARABANK,Q3 Financials,1,0,0,q3 financials
51,2015-10-15,UTTARABANK,Board Meeting,1,0,0,board meeting
52,2015-08-02,UTTARABANK,Q2 Financials,1,1,0,q2 financials
53,2015-05-14,UTTARABANK,Q1 Financials,0,0,0,q1 financials
54,2015-04-01,UTTARABANK,Record Date,0,0,0,record date
55,2015-03-31,UTTARABANK,Trade Suspension,1,0,0,trade suspension
56,2015-03-29,UTTARABANK,Spot News for AGM,1,0,1,spot news for agm
57,2015-03-24,UTTARABANK,Furnishing 12 digit e-TIN Number,1,1,0,furnishing 12 digit e-tin number
58,2015-03-24,UTTARABANK,Furnishing 12 digit e-TIN Number,1,1,0,furnishing 12 digit e-tin number
59,2015-03-22,UTTARABANK,Price Limit Open,0,1,1,price limit open
60,2015-03-22,UTTARABANK,Dividend Declaration,0,1,1,dividend declaration
61,2015-03-19,UTTARABANK,Board Meeting schedule under LR 30,0,0,0,board meeting schedule under lr 30
62,2014-10-29,UTTARABANK,Q3 Earnings,1,0,0,q3 earnings
63,2014-09-17,UTTARABANK,Sponsors sale,0,1,0,sponsors sale
64,2014-08-28,UTTARABANK,sponsor share buy/sell,1,0,0,sponsor share buysell
