,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
1,2019-04-23,VAMLBDMF1,Q2 Financials,0,0,0,q2 financials
2,2019-04-21,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
3,2019-04-17,VAMLBDMF1,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
4,2019-04-15,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
5,2019-04-07,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
6,2019-03-31,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
7,2019-03-24,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
8,2019-03-18,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
9,2019-03-10,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
10,2019-03-03,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
11,2019-02-24,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
12,2019-02-17,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
13,2019-02-10,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
14,2019-02-03,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
15,2019-01-27,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
16,2019-01-20,VAMLBDMF1,Q1 Financials,1,0,0,q1 financials
17,2019-01-20,VAMLBDMF1,Weekly NAV,1,0,0,weekly nav
18,2019-01-16,VAMLBDMF1,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
19,2019-01-13,VAMLBDMF1,Weekly NAV,1,0,0,weekly nav
20,2019-01-06,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
21,2019-01-01,VAMLBDMF1,Weekly NAV,0,1,0,weekly nav
22,2018-12-24,VAMLBDMF1,Dividend Disbursement,0,0,0,dividend disbursement
23,2018-12-23,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
24,2018-12-17,VAMLBDMF1,Weekly NAV,0,1,0,weekly nav
25,2018-12-09,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
33,2018-12-03,VAMLBDMF1,Emphasis of Matters,0,0,0,emphasis of matters
34,2018-12-02,VAMLBDMF1,Resumption after record date,0,0,0,resumption after record date
35,2018-12-02,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
36,2018-11-29,VAMLBDMF1,Suspension for Record date,0,0,0,suspension for record date
37,2018-11-27,VAMLBDMF1,Spot News,0,0,0,spot news
38,2018-11-25,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
40,2018-11-20,VAMLBDMF1,Updating information,0,0,0,updating information
41,2018-11-18,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
42,2018-11-11,VAMLBDMF1,Weekly NAV,0,1,0,weekly nav
43,2018-11-08,VAMLBDMF1,Price Limit Open,0,0,0,price limit open
44,2018-11-08,VAMLBDMF1,Dividend Declaration,0,0,0,dividend declaration
45,2018-11-04,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
46,2018-11-01,VAMLBDMF1,Meeting of Trustee committee under LR 19(1),0,0,0,meeting of trustee committee under lr 191
47,2018-10-28,VAMLBDMF1,Weekly NAV,1,0,0,weekly nav
48,2018-10-21,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
49,2018-10-14,VAMLBDMF1,Weekly NAV,1,0,0,weekly nav
50,2018-10-07,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
51,2018-09-30,VAMLBDMF1,Weekly NAV,1,0,0,weekly nav
52,2018-09-23,VAMLBDMF1,Weekly NAV,0,1,0,weekly nav
53,2018-09-16,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
54,2018-09-09,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
55,2018-09-03,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
56,2018-08-26,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
57,2018-08-19,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
58,2018-08-12,VAMLBDMF1,Weekly NAV,0,0,0,weekly nav
