,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-28,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
1,2019-04-25,VAMLRBBF,Q1 Financials,0,0,0,q1 financials
2,2019-04-23,VAMLRBBF,Dividend Disbursement,0,0,0,dividend disbursement
3,2019-04-21,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
4,2019-04-18,VAMLRBBF,Trustee Committee Meeting schedule under LR 16(1),0,0,0,trustee committee meeting schedule under lr 161
5,2019-04-15,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
6,2019-04-07,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
7,2019-03-31,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
16,2019-03-25,VAMLRBBF,Emphasis of Matter,1,0,0,emphasis of matter
17,2019-03-24,VAMLRBBF,Resumption after record date,0,1,0,resumption after record date
18,2019-03-24,VAMLRBBF,Weekly NAV,0,1,0,weekly nav
19,2019-03-21,VAMLRBBF,Suspension for Record date,0,0,0,suspension for record date
20,2019-03-19,VAMLRBBF,Spot News,0,1,0,spot news
21,2019-03-18,VAMLRBBF,Weekly NAV,0,0,1,weekly nav
22,2019-03-10,VAMLRBBF,Weekly NAV,1,1,0,weekly nav
24,2019-03-07,VAMLRBBF,Updating information,0,0,0,updating information
25,2019-03-03,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
26,2019-03-03,VAMLRBBF,Price Limit Open,0,0,0,price limit open
27,2019-03-03,VAMLRBBF,Dividend Declaration,0,0,0,dividend declaration
28,2019-02-24,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
29,2019-02-20,VAMLRBBF,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
30,2019-02-17,VAMLRBBF,Weekly NAV,1,0,0,weekly nav
31,2019-02-10,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
32,2019-02-03,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
33,2019-01-27,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
34,2019-01-20,VAMLRBBF,Weekly NAV,0,1,0,weekly nav
35,2019-01-13,VAMLRBBF,Weekly NAV,1,1,0,weekly nav
36,2019-01-06,VAMLRBBF,Weekly NAV,1,0,1,weekly nav
37,2019-01-01,VAMLRBBF,Weekly NAV,1,0,1,weekly nav
38,2018-12-23,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
39,2018-12-17,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
40,2018-12-09,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
45,2018-12-03,VAMLRBBF,Emphasis of Matters,1,0,1,emphasis of matters
46,2018-12-02,VAMLRBBF,Weekly NAV,0,1,0,weekly nav
47,2018-11-25,VAMLRBBF,Weekly NAV,1,1,0,weekly nav
48,2018-11-18,VAMLRBBF,Weekly NAV,0,0,1,weekly nav
49,2018-11-11,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
50,2018-11-04,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
51,2018-10-28,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
52,2018-10-23,VAMLRBBF,Q3 Financials,0,0,0,q3 financials
53,2018-10-21,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
54,2018-10-17,VAMLRBBF,Trustee Committee Meeting schedule under LR 16(1),0,1,0,trustee committee meeting schedule under lr 161
55,2018-10-14,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
56,2018-10-07,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
57,2018-09-30,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
58,2018-09-23,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
59,2018-09-16,VAMLRBBF,Weekly NAV,0,0,0,weekly nav
