,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,VFSTDL,VFS Thread Dyeing Limited,0,0,0,vfs thread dyeing limited
2,2019-03-10,VFSTDL,Utilization of 100% IPO Fund and set-up of its new machinery,1,0,0,utilization of 100 ipo fund and set-up of its new machinery
3,2019-01-28,VFSTDL,EPS for 3 months period,0,0,0,eps for 3 months period
4,2019-01-28,VFSTDL,Q2 Financials,0,0,0,q2 financials
5,2019-01-22,VFSTDL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
6,2019-01-13,VFSTDL,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
7,2019-01-13,VFSTDL,Category Change,0,0,0,category change
8,2019-01-13,VFSTDL,Dividend Disbursement,0,0,0,dividend disbursement
9,2018-11-15,VFSTDL,Resumption after Record Date,0,0,0,resumption after record date
10,2018-11-14,VFSTDL,Suspension for Record Date,1,0,0,suspension for record date
11,2018-11-14,VFSTDL,Q1 Financials,1,0,0,q1 financials
12,2018-11-12,VFSTDL,Spot News,0,0,1,spot news
13,2018-11-08,VFSTDL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
14,2018-10-28,VFSTDL,Price Limit Open,1,0,1,price limit open
15,2018-10-28,VFSTDL,Dividend Declaration,1,0,1,dividend declaration
16,2018-10-18,VFSTDL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
17,2018-10-09,VFSTDL,Query Response (Repeat News),1,1,0,query response repeat news
18,2018-10-08,VFSTDL,Query Response,0,1,1,query response
19,2018-09-09,VFSTDL,Q3 Financials,0,0,0,q3 financials
20,2018-09-09,VFSTDL,Q3 Financials,0,0,0,q3 financials
21,2018-09-09,VFSTDL,Q3 Financials,0,0,0,q3 financials
22,2018-09-09,VFSTDL,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
23,2018-09-09,VFSTDL,Trading of New Security,0,0,0,trading of new security
