,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-24,WATACHEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-04-15,WATACHEM,Contract for Import of Plant,0,0,1,contract for import of plant
3,2019-03-27,WATACHEM,"Approval of BMRE and set-up of units, plants at the factory",1,0,0,"approval of bmre and set-up of units, plants at the factory"
4,2019-03-03,WATACHEM,Unit-2,1,0,0,unit-2
5,2019-01-31,WATACHEM,Q2 Financials,0,0,0,q2 financials
6,2019-01-27,WATACHEM,Dividend Disbursement,1,1,0,dividend disbursement
7,2019-01-24,WATACHEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2019-01-17,WATACHEM,Query Response,1,0,0,query response
17,2018-12-03,WATACHEM,Qualified Opinion,1,1,0,qualified opinion
18,2018-11-25,WATACHEM,Change of venue for AGM,1,0,0,change of venue for agm
19,2018-11-20,WATACHEM,Resumption after record date,0,0,0,resumption after record date
20,2018-11-19,WATACHEM,Suspension for Record date,1,0,0,suspension for record date
21,2018-11-15,WATACHEM,Spot News,0,0,0,spot news
22,2018-11-15,WATACHEM,"Date, Time and Venue of the AGM",0,0,0,"date, time and venue of the agm"
23,2018-11-15,WATACHEM,Q1 Financials,0,0,0,q1 financials
24,2018-11-08,WATACHEM,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
25,2018-10-30,WATACHEM,Price Limit Open,0,0,0,price limit open
26,2018-10-30,WATACHEM,Dividend Declaration,0,0,0,dividend declaration
27,2018-10-23,WATACHEM,Board Meeting schedule under LR 19(1),0,1,0,board meeting schedule under lr 191
28,2018-07-24,WATACHEM,Credit Rating Result,0,0,0,credit rating result
29,2018-07-24,WATACHEM,Credit Rating Result,0,0,0,credit rating result
30,2018-04-25,WATACHEM,Q3 Financials,1,0,0,q3 financials
31,2018-04-19,WATACHEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
32,2018-03-27,WATACHEM,Query Response,1,1,0,query response
33,2018-01-31,WATACHEM,Q2 Financials,1,0,0,q2 financials
34,2018-01-25,WATACHEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-12-28,WATACHEM,Dividend Disbursement,0,0,0,dividend disbursement
36,2017-12-06,WATACHEM,Query Response,1,1,0,query response
37,2017-11-20,WATACHEM,"Date, Time and Venue of the AGM",0,0,1,"date, time and venue of the agm"
38,2017-11-20,WATACHEM,Resumption after record date,0,0,1,resumption after record date
39,2017-11-19,WATACHEM,Suspension for Record Date,0,0,0,suspension for record date
40,2017-11-15,WATACHEM,Spot News,0,0,0,spot news
41,2017-11-14,WATACHEM,Q1 Financials,0,0,0,q1 financials
42,2017-11-09,WATACHEM,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
43,2017-10-30,WATACHEM,Price Limit Open,1,1,0,price limit open
44,2017-10-30,WATACHEM,Dividend Declaration,1,1,0,dividend declaration
45,2017-10-22,WATACHEM,Board Meeting schedule under LR 19(1),1,0,1,board meeting schedule under lr 191
46,2017-10-18,WATACHEM,Query Response,1,0,0,query response
47,2017-05-02,WATACHEM,Q3 Financials,0,0,0,q3 financials
48,2017-04-24,WATACHEM,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
49,2017-01-31,WATACHEM,Q2 Financials,0,0,0,q2 financials
50,2017-01-25,WATACHEM,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
51,2016-12-22,WATACHEM,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
52,2016-12-11,WATACHEM,Q1,1,0,0,q1
53,2016-12-07,WATACHEM,news regarding Dividend Declaration for the 12 months period,0,0,0,news regarding dividend declaration for the 12 months period
