,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-03-04,WMSHIPYARD,Resumption after record date,0,0,0,resumption after record date
1,2019-03-03,WMSHIPYARD,Suspension for Record date,0,0,0,suspension for record date
2,2019-02-27,WMSHIPYARD,Spot News for EGM,0,0,0,spot news for egm
5,2019-02-10,WMSHIPYARD,Revision of Rights Offer,0,0,1,revision of rights offer
6,2019-01-23,WMSHIPYARD,Q2 Financials,0,1,0,q2 financials
7,2019-01-17,WMSHIPYARD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
8,2018-12-24,WMSHIPYARD,Credit Rating Result,0,0,1,credit rating result
9,2018-11-25,WMSHIPYARD,Dividend Disbursement,1,1,1,dividend disbursement
10,2018-11-13,WMSHIPYARD,Q1 Financials,0,0,1,q1 financials
11,2018-11-11,WMSHIPYARD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
12,2018-10-08,WMSHIPYARD,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
13,2018-10-02,WMSHIPYARD,Resumption after Record Date,0,0,0,resumption after record date
14,2018-10-01,WMSHIPYARD,Suspension for Record Date,0,0,0,suspension for record date
15,2018-09-27,WMSHIPYARD,Spot News,0,0,0,spot news
16,2018-09-20,WMSHIPYARD,Sale Declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
17,2018-09-18,WMSHIPYARD,"Change of NOCFPS for the year ended on June 30, 2018",0,1,0,"change of nocfps for the year ended on june 30, 2018"
18,2018-09-11,WMSHIPYARD,Updating information,0,0,1,updating information
19,2018-09-11,WMSHIPYARD,Price Limit Open,0,0,1,price limit open
20,2018-09-11,WMSHIPYARD,Dividend Declaration,0,0,1,dividend declaration
21,2018-08-29,WMSHIPYARD,Board Meeting schedule under LR 19(1),1,1,0,board meeting schedule under lr 191
22,2018-08-14,WMSHIPYARD,Resumption after record date,0,0,0,resumption after record date
23,2018-08-13,WMSHIPYARD,Suspension for Record Date,0,0,0,suspension for record date
24,2018-08-09,WMSHIPYARD,Spot for EGM,1,0,0,spot for egm
25,2018-07-25,WMSHIPYARD,Revised the issue price and ratio of the proposed Rights issuance,1,1,0,revised the issue price and ratio of the proposed rights issuance
27,2018-07-23,WMSHIPYARD,Revised the issue price and ratio of the proposed Rights issuance,0,0,1,revised the issue price and ratio of the proposed rights issuance
29,2018-06-10,WMSHIPYARD,MOU signed by the Company with The Shalimar Works Limited (SWL),0,0,0,mou signed by the company with the shalimar works limited swl
30,2018-05-10,WMSHIPYARD,Sale confirmation of a Corporate Sponsor,1,0,0,sale confirmation of a corporate sponsor
31,2018-05-10,WMSHIPYARD,Sale Confirmation of a Director,1,0,0,sale confirmation of a director
32,2018-04-30,WMSHIPYARD,Q3 Financials,1,0,0,q3 financials
33,2018-04-23,WMSHIPYARD,Sale Confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
34,2018-04-23,WMSHIPYARD,Sale declaration of a Director,0,0,0,sale declaration of a director
35,2018-04-22,WMSHIPYARD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
36,2018-04-15,WMSHIPYARD,Sale confirmations of Sponsors Directors,0,0,0,sale confirmations of sponsors directors
37,2018-04-12,WMSHIPYARD,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
38,2018-04-08,WMSHIPYARD,Bangladesh Bank circular for Ship Building Industry of Bangladesh,1,0,0,bangladesh bank circular for ship building industry of bangladesh
39,2018-03-28,WMSHIPYARD,Sale declaration of a Sponsor Director,0,1,0,sale declaration of a sponsor director
40,2018-03-22,WMSHIPYARD,Sale declaration of a Corporate Sponsor,1,0,0,sale declaration of a corporate sponsor
41,2018-03-22,WMSHIPYARD,Sale declaration of a Corporate Sponsor,1,0,0,sale declaration of a corporate sponsor
42,2018-03-22,WMSHIPYARD,Sale declaration of a Director,1,0,0,sale declaration of a director
43,2018-03-22,WMSHIPYARD,Sale declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
44,2018-03-22,WMSHIPYARD,Sale declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
45,2018-03-22,WMSHIPYARD,Sale declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
46,2018-03-06,WMSHIPYARD,Sale Declaration of a Sponsors Director,1,0,0,sale declaration of a sponsors director
49,2018-02-13,WMSHIPYARD,Government Decision to allow incentive for shipbuilding industry,0,1,0,government decision to allow incentive for shipbuilding industry
50,2018-02-07,WMSHIPYARD,Dividend Disbursement,0,0,0,dividend disbursement
51,2018-01-29,WMSHIPYARD,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
52,2018-01-28,WMSHIPYARD,Sale confirmation of a Corporate Sponsor,0,0,0,sale confirmation of a corporate sponsor
53,2018-01-28,WMSHIPYARD,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
54,2018-01-28,WMSHIPYARD,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
55,2018-01-28,WMSHIPYARD,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
56,2018-01-25,WMSHIPYARD,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
57,2018-01-22,WMSHIPYARD,Sale declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
58,2018-01-22,WMSHIPYARD,Sale declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
59,2018-01-22,WMSHIPYARD,Sale declaration of a Sponsor Director,0,0,0,sale declaration of a sponsor director
60,2018-01-22,WMSHIPYARD,Sale confirmation of a Sponsor Director,0,0,0,sale confirmation of a sponsor director
61,2018-01-21,WMSHIPYARD,Sale confirmation of a Sponsor Director,1,0,0,sale confirmation of a sponsor director
62,2018-01-15,WMSHIPYARD,Sale declaration of a Corporate Sponsor,0,1,0,sale declaration of a corporate sponsor
63,2018-01-15,WMSHIPYARD,Sale declaration of a Sponsor Director,0,1,0,sale declaration of a sponsor director
64,2018-01-15,WMSHIPYARD,Sale declaration of a Sponsor Director,0,1,0,sale declaration of a sponsor director
65,2018-01-15,WMSHIPYARD,Stock Dividend Disbursement,0,1,0,stock dividend disbursement
66,2018-01-14,WMSHIPYARD,Q2 Financials,0,0,1,q2 financials
67,2018-01-10,WMSHIPYARD,Sale confirmation of a Corporate Sponsor,0,0,0,sale confirmation of a corporate sponsor
68,2018-01-07,WMSHIPYARD,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
69,2017-12-28,WMSHIPYARD,Credit Rating Result,0,0,0,credit rating result
70,2017-12-11,WMSHIPYARD,Sale declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
71,2017-12-11,WMSHIPYARD,Sale declaration of a Sponsor Director,1,0,0,sale declaration of a sponsor director
72,2017-12-07,WMSHIPYARD,Sale declaration of a Placement Holder,0,0,0,sale declaration of a placement holder
73,2017-12-05,WMSHIPYARD,Resumption after record date,0,0,0,resumption after record date
74,2017-12-04,WMSHIPYARD,Suspension for Record Date,0,0,0,suspension for record date
75,2017-11-30,WMSHIPYARD,Spot News for EGM & AGM,1,0,0,spot news for egm  agm
76,2017-11-12,WMSHIPYARD,Updating information,0,0,1,updating information
77,2017-11-12,WMSHIPYARD,Q1 Financials,0,0,1,q1 financials
79,2017-11-12,WMSHIPYARD,"Investment for Expansion Project to produce additional 30,000 tons",0,0,1,"investment for expansion project to produce additional 30,000 tons"
80,2017-11-12,WMSHIPYARD,Price Limit Open,0,0,1,price limit open
83,2017-11-12,WMSHIPYARD,"Dividend Declaration, increasing Authorized capital & Rights issue",0,0,1,"dividend declaration, increasing authorized capital  rights issue"
84,2017-10-31,WMSHIPYARD,Prohibition on providing loan facilities to purchase securities,1,1,0,prohibition on providing loan facilities to purchase securities
85,2017-10-31,WMSHIPYARD,Category Change,1,1,0,category change
86,2017-10-30,WMSHIPYARD,Board Meeting schedule under LR 16(1),0,1,1,board meeting schedule under lr 161
87,2017-10-30,WMSHIPYARD,Board Meeting schedule under LR 19(1) & to conduct EGM,0,1,1,board meeting schedule under lr 191  to conduct egm
88,2017-10-25,WMSHIPYARD,Stock Dividend Disbursement,0,0,0,stock dividend disbursement
91,2017-10-10,WMSHIPYARD,Clarification on calculation of stock dividend for years 2015 & 2016,0,1,0,clarification on calculation of stock dividend for years 2015  2016
92,2017-10-05,WMSHIPYARD,Q3 Financials,0,0,0,q3 financials
93,2017-09-26,WMSHIPYARD,Reschedule of Board Meeting under LR 16(1),0,0,1,reschedule of board meeting under lr 161
94,2017-09-26,WMSHIPYARD,Resumption after Record Date,0,0,1,resumption after record date
95,2017-09-25,WMSHIPYARD,Suspension for Record date,0,0,0,suspension for record date
96,2017-09-13,WMSHIPYARD,Postponement of Board Meeting schedule under LR 16(1),1,0,0,postponement of board meeting schedule under lr 161
97,2017-09-12,WMSHIPYARD,Spot News,1,1,0,spot news
98,2017-09-06,WMSHIPYARD,Reschedule of Board Meeting under LR 16(1),0,1,0,reschedule of board meeting under lr 161
99,2017-09-04,WMSHIPYARD,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
100,2017-09-04,WMSHIPYARD,Updating information,0,0,0,updating information
101,2017-09-04,WMSHIPYARD,Price Limit Open,0,0,0,price limit open
103,2017-09-04,WMSHIPYARD,Dividend Declaration & date of pending AGMs,0,0,0,dividend declaration  date of pending agms
104,2017-08-24,WMSHIPYARD,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
105,2017-08-02,WMSHIPYARD,Court judgement allowing for holding AGM,1,1,0,court judgement allowing for holding agm
106,2017-06-04,WMSHIPYARD,Resumption after Record Date,0,1,0,resumption after record date
107,2017-06-01,WMSHIPYARD,Suspension for Record Date,0,0,0,suspension for record date
108,2017-05-21,WMSHIPYARD,Spot News for EGM,1,0,0,spot news for egm
109,2017-05-14,WMSHIPYARD,EGM to appoint auditor,0,0,1,egm to appoint auditor
110,2017-04-11,WMSHIPYARD,"Status of AGM for the year ended on June 30, 2016",1,1,1,"status of agm for the year ended on june 30, 2016"
111,2016-12-14,WMSHIPYARD,Query Response,1,0,0,query response
112,2016-07-20,WMSHIPYARD,Credit Rating Result,1,0,0,credit rating result
113,2016-06-26,WMSHIPYARD,Court Order related to condoning of the AGM,1,1,1,court order related to condoning of the agm
114,2016-01-03,WMSHIPYARD,Prohibition on providing loan facilities to purchase securities,0,1,1,prohibition on providing loan facilities to purchase securities
115,2015-12-31,WMSHIPYARD,Category Change,0,0,0,category change
116,2015-05-14,WMSHIPYARD,Q3 Financials,0,0,0,q3 financials
117,2015-05-05,WMSHIPYARD,Confirmation of buy/sell by Sponsors/Directors,1,1,0,confirmation of buysell by sponsorsdirectors
118,2015-04-27,WMSHIPYARD,build 10 units of Cargo ships for India,0,0,0,build 10 units of cargo ships for india
119,2015-03-18,WMSHIPYARD,Confirmation of Sale by Sponsors/Directors.,0,0,0,confirmation of sale by sponsorsdirectors.
120,2015-03-10,WMSHIPYARD,Declaration of sale by Sponsors/Directors,0,0,1,declaration of sale by sponsorsdirectors
121,2015-03-09,WMSHIPYARD,Completion of sale by Sponsors/Director,0,0,0,completion of sale by sponsorsdirector
122,2015-02-15,WMSHIPYARD,Declaration of sale by Sponsors/Directors,1,0,0,declaration of sale by sponsorsdirectors
123,2015-02-15,WMSHIPYARD,Declaration of sale by Sponsors/Directors,1,0,0,declaration of sale by sponsorsdirectors
124,2015-02-08,WMSHIPYARD,Half Yearly Financials,0,0,1,half yearly financials
125,2015-01-29,WMSHIPYARD,Category Change,0,0,0,category change
126,2015-01-29,WMSHIPYARD,Dividend Disbursement,0,0,0,dividend disbursement
127,2014-11-30,WMSHIPYARD,Credit Rating,1,0,0,credit rating
128,2014-11-25,WMSHIPYARD,Q1 Earnings,0,0,1,q1 earnings
129,2014-11-20,WMSHIPYARD,Trade Resume,0,0,0,trade resume
130,2014-11-19,WMSHIPYARD,Trade suspended on record date,0,0,0,trade suspended on record date
