,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-25,YPL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
1,2019-04-11,YPL,Credit Rating Result,0,0,0,credit rating result
2,2019-01-31,YPL,Q2 Financials,0,0,0,q2 financials
3,2019-01-27,YPL,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
4,2019-01-01,YPL,Dividend Disbursement,1,1,1,dividend disbursement
5,2018-11-18,YPL,Resumption after record date,0,0,0,resumption after record date
6,2018-11-15,YPL,Suspension for Record Date,1,0,0,suspension for record date
7,2018-11-13,YPL,Spot News,1,0,1,spot news
8,2018-11-08,YPL,Q1 Financials,0,0,0,q1 financials
9,2018-11-04,YPL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
10,2018-10-29,YPL,Price Limit Open,1,1,1,price limit open
11,2018-10-29,YPL,Dividend Declaration,1,1,1,dividend declaration
12,2018-10-21,YPL,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
13,2018-05-03,YPL,Q3 Financials,0,0,0,q3 financials
14,2018-04-26,YPL,Credit Rating Result,0,0,0,credit rating result
15,2018-04-24,YPL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
16,2018-01-31,YPL,Q2 Financials,0,1,0,q2 financials
17,2018-01-24,YPL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
18,2018-01-11,YPL,Dividend Disbursement,0,0,0,dividend disbursement
19,2017-12-26,YPL,Halt of Major Production for two months remain opening 25% of its capacity,0,0,0,halt of major production for two months remain opening 25 of its capacity
20,2017-12-26,YPL,Halt of Major Production for two months remain opening 25% of its capacity,0,0,0,halt of major production for two months remain opening 25 of its capacity
21,2017-12-21,YPL,Prohibition on providing loan facilities to purchase securities,0,0,0,prohibition on providing loan facilities to purchase securities
22,2017-12-21,YPL,Category Change,0,0,0,category change
23,2017-11-16,YPL,Resumption after record date,0,0,0,resumption after record date
24,2017-11-15,YPL,Suspension for Record Date,0,0,0,suspension for record date
25,2017-11-15,YPL,Q1 Financials,0,0,0,q1 financials
26,2017-11-13,YPL,Spot News,0,0,0,spot news
27,2017-11-12,YPL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2017-10-29,YPL,Price Limit Open,0,0,1,price limit open
29,2017-10-29,YPL,Dividend Declaration,0,0,1,dividend declaration
30,2017-10-22,YPL,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
31,2017-05-25,YPL,Credit Rating Result,0,0,0,credit rating result
32,2017-05-02,YPL,Q3 Financials,1,0,0,q3 financials
33,2017-04-25,YPL,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
34,2017-01-31,YPL,Q2 Financials,0,1,0,q2 financials
35,2017-01-25,YPL,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
36,2017-01-08,YPL,Dividend Disbursement,0,1,0,dividend disbursement
37,2017-01-03,YPL,Address Change of Corporate & Registered,1,0,0,address change of corporate  registered
38,2016-11-17,YPL,Resumption after record date,1,0,0,resumption after record date
39,2016-11-16,YPL,Suspension for record date,1,1,0,suspension for record date
40,2016-11-15,YPL,Q1 Financials,1,1,1,q1 financials
41,2016-11-14,YPL,Spot for AGM,0,1,1,spot for agm
42,2016-11-09,YPL,Board Meeting,0,1,0,board meeting
43,2016-10-30,YPL,Price Limit Open,0,0,0,price limit open
44,2016-10-30,YPL,Dividend Declaration,0,0,0,dividend declaration
45,2016-10-20,YPL,Board Meeting,1,0,0,board meeting
46,2016-09-22,YPL,Q3 Financials of Yeakin Polymer Limited (Repeat),1,0,1,q3 financials of yeakin polymer limited repeat
47,2016-09-22,YPL,Prohibition on providing loan facilities to purchase securities,1,0,1,prohibition on providing loan facilities to purchase securities
48,2016-09-22,YPL,Trading of New Security,1,0,1,trading of new security
49,2016-09-21,YPL,Q3,0,1,0,q3
