,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-29,ZAHEENSPIN,Q3 Financials,0,1,0,q3 financials
1,2019-04-25,ZAHEENSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
2,2019-03-25,ZAHEENSPIN,Credit Rating Result,0,0,0,credit rating result
3,2019-02-17,ZAHEENSPIN,Transmission confirmation of Deceased Sponsor Director shares,0,0,0,transmission confirmation of deceased sponsor director shares
5,2019-02-04,ZAHEENSPIN,Share Transmission of Deceased Sponsor Director among his successors,0,0,0,share transmission of deceased sponsor director among his successors
6,2019-01-30,ZAHEENSPIN,Q2 Financials,0,0,0,q2 financials
7,2019-01-27,ZAHEENSPIN,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
8,2019-01-23,ZAHEENSPIN,Dividend Disbursement,0,1,0,dividend disbursement
9,2018-11-27,ZAHEENSPIN,Resumption after record date,0,0,0,resumption after record date
10,2018-11-26,ZAHEENSPIN,Suspension for Record date,0,0,0,suspension for record date
11,2018-11-22,ZAHEENSPIN,Spot News for EGM and AGM,0,0,0,spot news for egm and agm
12,2018-11-15,ZAHEENSPIN,Date Change of EGM & AGM,0,0,0,date change of egm  agm
13,2018-11-15,ZAHEENSPIN,Q1 Financials,0,0,0,q1 financials
14,2018-11-11,ZAHEENSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
15,2018-10-28,ZAHEENSPIN,Price Limit Open,0,0,1,price limit open
19,2018-10-28,ZAHEENSPIN,Dividend Declaration and Revision of Rights Issue,0,0,1,dividend declaration and revision of rights issue
20,2018-10-18,ZAHEENSPIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
21,2018-07-23,ZAHEENSPIN,BSEC accepted the proposed revision of Rights Offer,0,0,0,bsec accepted the proposed revision of rights offer
22,2018-07-22,ZAHEENSPIN,Appointment of Managing Director & CEO,1,0,0,appointment of managing director  ceo
23,2018-07-22,ZAHEENSPIN,Postponement of Board Meeting schedule under LR 19(1),1,0,0,postponement of board meeting schedule under lr 191
24,2018-07-18,ZAHEENSPIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
25,2018-04-30,ZAHEENSPIN,Q3 Financials,0,0,0,q3 financials
26,2018-04-24,ZAHEENSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
27,2018-04-05,ZAHEENSPIN,Resumption after record date,0,0,0,resumption after record date
28,2018-04-04,ZAHEENSPIN,Suspension for Record Date,0,0,0,suspension for record date
29,2018-04-02,ZAHEENSPIN,Record date for Rights entitlement,0,0,0,record date for rights entitlement
30,2018-03-11,ZAHEENSPIN,Subscription period and Record date for Rights Issuance,0,0,0,subscription period and record date for rights issuance
32,2018-03-08,ZAHEENSPIN,BSEC Approval for issuance of Rights Share,0,0,0,bsec approval for issuance of rights share
33,2018-01-31,ZAHEENSPIN,Q2 Financials,0,0,0,q2 financials
34,2018-01-25,ZAHEENSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-11-27,ZAHEENSPIN,Successful set up of an Electric Substation and Bus Bar Trunking,1,1,0,successful set up of an electric substation and bus bar trunking
36,2017-11-27,ZAHEENSPIN,Successful set up of an Electric Substation and Bus Bar Trunking,1,1,0,successful set up of an electric substation and bus bar trunking
37,2017-11-14,ZAHEENSPIN,Q1 Financials (Revised),0,0,0,q1 financials revised
38,2017-11-14,ZAHEENSPIN,Q1 Financials,0,0,0,q1 financials
39,2017-11-09,ZAHEENSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2017-10-17,ZAHEENSPIN,Dividend Disbursement,1,0,0,dividend disbursement
41,2017-09-24,ZAHEENSPIN,Authorized Capital increased of the Company,0,1,0,authorized capital increased of the company
42,2017-09-13,ZAHEENSPIN,Resumption after Record Date,0,0,0,resumption after record date
43,2017-09-12,ZAHEENSPIN,Suspension for Record Date,0,0,0,suspension for record date
44,2017-09-10,ZAHEENSPIN,Spot News,1,1,0,spot news
45,2017-08-20,ZAHEENSPIN,Price Limit Open,0,0,0,price limit open
49,2017-08-20,ZAHEENSPIN,Dividend Declaration and Right Share Issuance,0,0,0,dividend declaration and right share issuance
50,2017-08-10,ZAHEENSPIN,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
51,2017-06-14,ZAHEENSPIN,Credit Rating Result,0,0,0,credit rating result
52,2017-06-13,ZAHEENSPIN,EGM date Change,0,0,0,egm date change
53,2017-05-22,ZAHEENSPIN,Resumption after Record Date,0,1,0,resumption after record date
54,2017-05-21,ZAHEENSPIN,Suspension for Record Date for EGM,1,0,1,suspension for record date for egm
55,2017-05-17,ZAHEENSPIN,Spot News for EGM,0,1,0,spot news for egm
56,2017-04-30,ZAHEENSPIN,Q3 Financials,0,0,0,q3 financials
57,2017-04-30,ZAHEENSPIN,Price Limit Open,0,0,0,price limit open
59,2017-04-30,ZAHEENSPIN,Issuance of Right Share,0,0,0,issuance of right share
60,2017-04-24,ZAHEENSPIN,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
61,2017-02-06,ZAHEENSPIN,Confirmation of transfer by Sponsor/Director,1,0,1,confirmation of transfer by sponsordirector
62,2017-01-30,ZAHEENSPIN,Q2 Financials,1,1,1,q2 financials
63,2017-01-26,ZAHEENSPIN,Declaration of transfer by Sponsor/Director,0,0,0,declaration of transfer by sponsordirector
64,2017-01-26,ZAHEENSPIN,Declaration of transfer by Sponsor/Director,0,0,0,declaration of transfer by sponsordirector
65,2017-01-26,ZAHEENSPIN,Declaration of transfer by Sponsor/Director,0,0,0,declaration of transfer by sponsordirector
66,2017-01-23,ZAHEENSPIN, Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
67,2017-01-12,ZAHEENSPIN,Setting up a Capital Machinery of Rotor Spinning Machine,0,0,0,setting up a capital machinery of rotor spinning machine
68,2016-12-28,ZAHEENSPIN,Stock Dividend Disbursement,1,1,0,stock dividend disbursement
69,2016-11-14,ZAHEENSPIN,Q1 Financials,0,1,0,q1 financials
70,2016-11-08,ZAHEENSPIN,Revision of audited financial,0,0,0,revision of audited financial
71,2016-11-08,ZAHEENSPIN,Opening of L/C,0,0,0,opening of lc
72,2016-11-08,ZAHEENSPIN,Board Meeting,0,0,0,board meeting
73,2016-10-30,ZAHEENSPIN,Approval of 6 months accounts & import and installation of Machinery,1,0,1,approval of 6 months accounts  import and installation of machinery
74,2016-10-23,ZAHEENSPIN,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
75,2016-05-19,ZAHEENSPIN,Resumption after Record date,0,0,0,resumption after record date
76,2016-05-19,ZAHEENSPIN,Resumption after Record date,0,0,0,resumption after record date
77,2016-05-16,ZAHEENSPIN,Spot News,0,1,1,spot news
78,2016-05-15,ZAHEENSPIN,"The date, time and venue of the EGM",0,0,1,"the date, time and venue of the egm"
79,2016-05-09,ZAHEENSPIN,Resumption after Record date for EGM,0,1,1,resumption after record date for egm
80,2016-05-08,ZAHEENSPIN,Resumption after Record date,1,0,1,resumption after record date
81,2016-05-05,ZAHEENSPIN,Postponement of AGM,0,0,0,postponement of agm
82,2016-05-04,ZAHEENSPIN,Spot News for EGM,0,0,0,spot news for egm
83,2016-04-28,ZAHEENSPIN,Price Limit Open,0,0,0,price limit open
84,2016-04-28,ZAHEENSPIN,Dividend Declaration,0,0,0,dividend declaration
85,2016-04-21,ZAHEENSPIN,Reschedule of Board Meeting,0,0,0,reschedule of board meeting
86,2016-04-21,ZAHEENSPIN,Reschedule of Board Meeting,0,0,0,reschedule of board meeting
87,2016-04-17,ZAHEENSPIN,Issuance of Non-Convertible Preference shares,0,0,0,issuance of non-convertible preference shares
