,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-23,ZAHINTEX,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
1,2019-02-03,ZAHINTEX,Cash Dividend Disbursement,0,1,0,cash dividend disbursement
2,2019-01-31,ZAHINTEX,Q2 Financials,0,0,0,q2 financials
3,2019-01-21,ZAHINTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
4,2018-12-26,ZAHINTEX,Prohibition on providing loan facilities to purchase securities,0,1,0,prohibition on providing loan facilities to purchase securities
5,2018-12-26,ZAHINTEX,Category Change,0,1,0,category change
7,2018-12-04,ZAHINTEX,Emphasis of Matter,1,1,0,emphasis of matter
8,2018-11-20,ZAHINTEX,Resumption after record date,0,0,0,resumption after record date
9,2018-11-19,ZAHINTEX,Suspension for Record date,0,0,0,suspension for record date
10,2018-11-15,ZAHINTEX,Spot News,0,0,0,spot news
11,2018-11-13,ZAHINTEX,Q1 Financials,0,0,0,q1 financials
12,2018-11-01,ZAHINTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
13,2018-10-25,ZAHINTEX,Price Limit Open,0,0,0,price limit open
15,2018-10-25,ZAHINTEX,Dividend Declaration,0,0,0,dividend declaration
16,2018-10-09,ZAHINTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
17,2018-04-30,ZAHINTEX,Q3 Financials,0,0,0,q3 financials
18,2018-04-24,ZAHINTEX,Declaration of share transfer by a Sponsor Director,0,0,0,declaration of share transfer by a sponsor director
19,2018-04-19,ZAHINTEX,Board Meeting schedule under LR 16(1),1,0,0,board meeting schedule under lr 161
20,2018-04-08,ZAHINTEX,Address Change of the Information Department & Share Office,1,0,0,address change of the information department  share office
23,2018-02-01,ZAHINTEX,Emphasis of Matter,1,0,0,emphasis of matter
24,2018-02-01,ZAHINTEX,Dividend Disbursement,1,0,0,dividend disbursement
25,2018-01-30,ZAHINTEX,Credit Rating Result,0,0,1,credit rating result
26,2018-01-29,ZAHINTEX,Q2 Financials,1,0,0,q2 financials
27,2018-01-17,ZAHINTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2017-11-16,ZAHINTEX,Resumption after record date,0,0,0,resumption after record date
29,2017-11-15,ZAHINTEX,Suspension for Record Date,0,0,0,suspension for record date
30,2017-11-13,ZAHINTEX,Spot News,0,0,0,spot news
31,2017-10-31,ZAHINTEX,Q1 Financials,1,1,1,q1 financials
32,2017-10-29,ZAHINTEX,Price Limit Open,0,0,1,price limit open
33,2017-10-29,ZAHINTEX,Dividend Declaration,0,0,1,dividend declaration
34,2017-10-22,ZAHINTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
35,2017-10-11,ZAHINTEX,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
36,2017-05-07,ZAHINTEX,Confirmation of transfer by a Sponsor Director,1,0,0,confirmation of transfer by a sponsor director
37,2017-04-30,ZAHINTEX,Q3 Financials,0,0,0,q3 financials
38,2017-04-27,ZAHINTEX,Declaration of transfer by a Sponsor Director,0,0,0,declaration of transfer by a sponsor director
39,2017-04-23,ZAHINTEX,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
40,2017-04-11,ZAHINTEX,Confirmation of transfer by a Sponsor Director,1,0,1,confirmation of transfer by a sponsor director
41,2017-04-04,ZAHINTEX,Declaration of transfer by a Sponsor Director,0,0,1,declaration of transfer by a sponsor director
42,2017-02-07,ZAHINTEX,Dividend Disbursement,0,1,1,dividend disbursement
43,2017-01-31,ZAHINTEX,Q2 Financials,0,0,0,q2 financials
