,PublishDate,Scrip,Title,today,tomorrow,day_after_tomorrow,normalized_headline
0,2019-04-30,ZEALBANGLA,Q3 Financials,1,0,0,q3 financials
1,2019-04-28,ZEALBANGLA,Reschedule of Board Meeting under LR 16(1),0,0,1,reschedule of board meeting under lr 161
2,2019-04-28,ZEALBANGLA,Reschedule of Board Meeting under LR 16(1),0,0,1,reschedule of board meeting under lr 161
3,2019-04-21,ZEALBANGLA,Board Meeting schedule under LR 16(1),1,0,1,board meeting schedule under lr 161
4,2019-02-10,ZEALBANGLA,Credit Rating Result,0,0,0,credit rating result
5,2019-01-30,ZEALBANGLA,Q2 Financials,0,0,0,q2 financials
6,2019-01-21,ZEALBANGLA,Board Meeting schedule under LR 16(1),1,1,1,board meeting schedule under lr 161
9,2018-12-03,ZEALBANGLA,Audit Observations,0,0,0,audit observations
10,2018-11-18,ZEALBANGLA,Resumption after record date,0,0,0,resumption after record date
11,2018-11-15,ZEALBANGLA,Suspension for Record Date,0,0,0,suspension for record date
12,2018-11-13,ZEALBANGLA,Query Response,1,1,0,query response
13,2018-11-04,ZEALBANGLA,Spot News,0,0,0,spot news
14,2018-10-29,ZEALBANGLA,Q1 Financials,1,1,0,q1 financials
15,2018-10-29,ZEALBANGLA,Price Limit Open,1,1,0,price limit open
17,2018-10-29,ZEALBANGLA,Dividend Declaration,1,1,0,dividend declaration
18,2018-10-18,ZEALBANGLA,Board Meeting schedule under LR 19(1),1,0,0,board meeting schedule under lr 191
19,2018-08-07,ZEALBANGLA,Query Response,0,0,1,query response
20,2018-06-04,ZEALBANGLA,Query Response,1,1,0,query response
21,2018-04-25,ZEALBANGLA,Q3 Financials,0,0,0,q3 financials
22,2018-04-17,ZEALBANGLA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
23,2018-02-13,ZEALBANGLA,Q2 Financials (Repeat),0,0,0,q2 financials repeat
24,2018-01-28,ZEALBANGLA,Q2 Financials,0,1,0,q2 financials
25,2018-01-23,ZEALBANGLA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
28,2017-12-21,ZEALBANGLA,Audit Observations,0,0,0,audit observations
29,2017-12-13,ZEALBANGLA,Query Response,0,1,0,query response
30,2017-12-12,ZEALBANGLA,Q1 Financials (Repeat News),1,0,1,q1 financials repeat news
31,2017-11-27,ZEALBANGLA,Query Response,0,0,1,query response
32,2017-11-22,ZEALBANGLA,Change of AGM Date and Time,0,1,0,change of agm date and time
33,2017-11-16,ZEALBANGLA,Resumption after record date,0,0,0,resumption after record date
34,2017-11-15,ZEALBANGLA,Suspension for Record Date,0,0,0,suspension for record date
35,2017-11-02,ZEALBANGLA,Spot News,0,0,0,spot news
36,2017-10-26,ZEALBANGLA,Price Limit Open,1,0,0,price limit open
38,2017-10-26,ZEALBANGLA,Dividend Declaration,1,0,0,dividend declaration
39,2017-10-26,ZEALBANGLA,Q1 Financials,1,0,0,q1 financials
40,2017-10-22,ZEALBANGLA,Board Meeting schedule under LR 16(1),0,0,1,board meeting schedule under lr 161
41,2017-10-19,ZEALBANGLA,Board Meeting schedule under LR 19(1),0,0,0,board meeting schedule under lr 191
42,2017-08-30,ZEALBANGLA,Query Response,0,1,0,query response
43,2017-04-26,ZEALBANGLA,Q3 Financials,0,0,0,q3 financials
44,2017-04-19,ZEALBANGLA,Board Meeting schedule under LR 16(1),1,1,0,board meeting schedule under lr 161
45,2017-01-30,ZEALBANGLA,Q2 Financials,1,0,0,q2 financials
46,2017-01-23,ZEALBANGLA,Board Meeting schedule under LR 16(1),0,0,0,board meeting schedule under lr 161
47,2016-12-28,ZEALBANGLA,Query Response,1,0,0,query response
48,2016-12-26,ZEALBANGLA,Enquiry Committee formation by BSEC,0,0,1,enquiry committee formation by bsec
49,2016-12-11,ZEALBANGLA,Audit Observation,0,0,0,audit observation
50,2016-11-30,ZEALBANGLA,Query Response (Repeat),0,0,0,query response repeat
51,2016-11-30,ZEALBANGLA,Query Response,0,0,0,query response
52,2016-11-29,ZEALBANGLA,Query Response,1,0,0,query response
53,2016-11-17,ZEALBANGLA,Resumption after record date,1,0,0,resumption after record date
54,2016-11-16,ZEALBANGLA,Suspension for record date,0,1,0,suspension for record date
55,2016-11-03,ZEALBANGLA,Spot for AGM,0,0,0,spot for agm
56,2016-10-27,ZEALBANGLA, Q1 Financials,1,0,0,q1 financials
57,2016-10-27,ZEALBANGLA,Price Limit Open,1,0,0,price limit open
58,2016-10-27,ZEALBANGLA,Dividend Declaration,1,0,0,dividend declaration
59,2016-10-19,ZEALBANGLA,Board Meeting,0,0,0,board meeting
60,2016-08-11,ZEALBANGLA,Response by the Company of DSE Letter (Repeat),0,0,0,response by the company of dse letter repeat
61,2016-08-10,ZEALBANGLA,Response by the Company,0,0,0,response by the company
62,2016-07-25,ZEALBANGLA,Query Response,1,0,1,query response
63,2016-05-12,ZEALBANGLA,Q3  (Repeat),0,0,0,q3  repeat
64,2016-05-02,ZEALBANGLA,Q3 Financials,0,0,0,q3 financials
65,2016-04-27,ZEALBANGLA,Board Meeting schedule under LR 16(1),0,1,0,board meeting schedule under lr 161
66,2016-01-31,ZEALBANGLA,Q2 Financials,0,0,0,q2 financials
67,2016-01-25,ZEALBANGLA,Board Meeting,1,1,0,board meeting
68,2015-11-17,ZEALBANGLA,Resumption News after Record date,0,0,1,resumption news after record date
